N,L,K,active_limit_fraction,required_turned_off_fraction,heuristic,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log2_u_g_mean,log2_u_g_per_active_mean,u_bf_per_active_mean,active_count_mean,actual_active_fraction_mean,actual_turned_off_fraction_mean,elapsed_seconds_mean,elapsed_seconds_std,cases
1000,2,500,0.5,0.5,Coutino,15800.875091953392,0.0,222425.18445003033,0.0,62301391.326637805,0.0,25.892761046363336,0.051785522092726674,31.601750183906784,500.0,0.5,0.5,0.09659854200000062,0.0,1
1000,2,500,0.5,0.5,H1,14752.297190550016,0.0,364629.54794918,0.0,54233229.231109284,0.0,25.69267374009673,0.05138534748019346,29.504594381100034,500.0,0.5,0.5,0.006420666000000352,0.0,1
1000,2,500,0.5,0.5,H2,13675.87543330712,0.0,39.19966176152229,0.0,46769765.59700413,0.0,25.47907286241703,0.050958145724834064,27.35175086661424,500.0,0.5,0.5,0.09332341600000049,0.0,1
1000,2,500,0.5,0.5,MISO-EE,15115.63857424985,0.0,144942.82328650355,0.0,57055496.75913213,0.0,25.765862547485025,0.05356728180350317,31.42544402130946,481.0,0.481,0.519,0.19766120799999953,0.0,1
1000,2,500,0.5,0.5,Pareto-H2,13675.87543330712,0.0,39.19966176152229,0.0,46769765.59700413,0.0,25.47907286241703,0.050958145724834064,27.35175086661424,500.0,0.5,0.5,0.15021204099999963,0.0,1
1000,2,750,0.75,0.25,Coutino,23443.030743546522,0.0,677128.0363262892,0.0,137055279.6549676,0.0,27.030182663952317,0.03604024355193642,31.257374324728698,750.0,0.75,0.25,0.10418712500000005,0.0,1
1000,2,750,0.75,0.25,H1,21860.38202894062,0.0,749307.8464226127,0.0,119112963.74164405,0.0,26.827755197556865,0.03577034026340915,29.147176038587496,750.0,0.75,0.25,0.010122083999999976,0.0,1
1000,2,750,0.75,0.25,H2,21134.776691418614,0.0,17.49799758195877,0.0,111681787.44211479,0.0,26.73481869595644,0.03564642492794192,28.179702255224818,750.0,0.75,0.25,0.190465542,0.0,1
1000,2,750,0.75,0.25,MISO-EE,22412.268226064734,0.0,677442.7512218058,0.0,125252906.79211798,0.0,26.90026884408355,0.03794114082381318,31.61109763901937,709.0,0.709,0.29100000000000004,0.309977041,0.0,1
1000,2,750,0.75,0.25,Pareto-H2,21134.776691418614,0.0,17.49799758195877,0.0,111681787.44211479,0.0,26.73481869595644,0.03564642492794192,28.179702255224818,750.0,0.75,0.25,0.2670959169999999,0.0,1
1000,3,500,0.5,0.5,Coutino,13146.480673043145,0.0,678473.2451724261,0.0,82740706709.8164,0.0,36.26787822893149,0.07253575645786298,26.29296134608629,500.0,0.5,0.5,0.14308458400000035,0.0,1
1000,3,500,0.5,0.5,H1,8303.540251944165,0.0,492829.0676494725,0.0,20562432233.687206,0.0,34.25929187313016,0.06851858374626033,16.60708050388833,500.0,0.5,0.5,0.006658791999999636,0.0,1
1000,3,500,0.5,0.5,H2,9770.618058501776,0.0,51.684930711984634,0.0,34461128985.706345,0.0,35.00425091553802,0.07000850183107604,19.54123611700355,500.0,0.5,0.5,0.1173184169999999,0.0,1
1000,3,500,0.5,0.5,MISO-EE,10004.359528912399,0.0,402552.5234769508,0.0,36446947770.64133,0.0,35.08507895079111,0.08641645061771208,24.64127962786305,406.0,0.406,0.594,0.2706674999999983,0.0,1
1000,3,500,0.5,0.5,Pareto-H2,9770.618058501776,0.0,51.684930711984634,0.0,34461128985.706345,0.0,35.00425091553802,0.07000850183107604,19.54123611700355,500.0,0.5,0.5,0.18917991700000059,0.0,1
1000,3,750,0.75,0.25,Coutino,20956.065814274512,0.0,1531322.8210819662,0.0,335622804217.91614,0.0,38.288049788187045,0.051050733050916064,27.94142108569935,750.0,0.75,0.25,0.143173,0.0,1
1000,3,750,0.75,0.25,H1,13106.321441001353,0.0,759173.4475767016,0.0,81768598954.9434,0.0,36.25082786992078,0.048334437159894376,17.47509525466847,750.0,0.75,0.25,0.009613290999999968,0.0,1
1000,3,750,0.75,0.25,H2,15683.623222371461,0.0,61.34052163362503,0.0,142646353162.93552,0.0,37.05365190781345,0.04940486921041794,20.911497629828617,750.0,0.75,0.25,0.22136587499999982,0.0,1
1000,3,750,0.75,0.25,MISO-EE,16013.759582169921,0.0,850178.5074541271,0.0,149897888991.92145,0.0,37.12518910975302,0.06324563732496256,27.280680719199186,587.0,0.587,0.41300000000000003,0.38150129099999996,0.0,1
1000,3,750,0.75,0.25,Pareto-H2,15683.623222371461,0.0,61.34052163362503,0.0,142646353162.93552,0.0,37.05365190781345,0.04940486921041794,20.911497629828617,750.0,0.75,0.25,0.2999447500000001,0.0,1
1000,4,500,0.5,0.5,Coutino,16998.06276153317,0.0,869492.4952103049,0.0,318706212616231.44,0.0,48.17922047061154,0.09635844094122308,33.99612552306634,500.0,0.5,0.5,0.19233816699999906,0.0,1
1000,4,500,0.5,0.5,H1,15489.45878604032,0.0,1025287.3937655017,0.0,217601126743235.62,0.0,47.6286793553361,0.09525735871067219,30.97891757208064,500.0,0.5,0.5,0.0065487920000002475,0.0,1
1000,4,500,0.5,0.5,H2,13764.860131828063,0.0,418.4278916120529,0.0,139437096009195.12,0.0,46.986607756981236,0.09397321551396247,27.529720263656127,500.0,0.5,0.5,0.1293262079999984,0.0,1
1000,4,500,0.5,0.5,MISO-EE,15666.110772215103,0.0,880697.7022929043,0.0,228818900840239.28,0.0,47.70119955458768,0.10149191394593124,33.33215057918107,470.0,0.47,0.53,0.32963416699999826,0.0,1
1000,4,500,0.5,0.5,Pareto-H2,14681.56427851913,0.0,273.11592312157154,0.0,178144729954990.12,0.0,47.340043133363494,0.09621959986455995,29.84057780186815,492.0,0.492,0.508,0.21008999999999745,0.0,1
1000,4,750,0.75,0.25,Coutino,27901.890425773363,0.0,2161628.7335940003,0.0,2317761953972184.0,0.0,51.04165382509092,0.06805553843345456,37.20252056769782,750.0,0.75,0.25,0.19021708399999993,0.0,1
1000,4,750,0.75,0.25,H1,25380.55067634477,0.0,2235943.076687485,0.0,1578566170329524.0,0.0,50.487536160113,0.06731671488015067,33.84073423512636,750.0,0.75,0.25,0.009736874999999756,0.0,1
1000,4,750,0.75,0.25,H2,22873.14834890238,0.0,313.6053749471903,0.0,1065618833811774.4,0.0,49.920612909337066,0.06656081721244943,30.49753113186984,750.0,0.75,0.25,0.22912849999999985,0.0,1
1000,4,750,0.75,0.25,MISO-EE,25685.206570637274,0.0,1902657.7986349165,0.0,1662868817561683.0,0.0,50.56259578332578,0.07264740773466348,36.904032429076544,696.0,0.696,0.30400000000000005,0.43705995799999986,0.0,1
1000,4,750,0.75,0.25,Pareto-H2,24318.297752088365,0.0,206.8108188509941,0.0,1360946773055105.0,0.0,50.273532067117024,0.06821374771657669,32.996333449237945,737.0,0.737,0.263,0.3194365829999999,0.0,1
1000,5,500,0.5,0.5,Coutino,10919.230066533768,0.0,358976.2864415273,0.0,4.781837728065131e+16,0.0,55.40841469113987,0.11081682938227974,21.838460133067535,500.0,0.5,0.5,0.25017324999999957,0.0,1
1000,5,500,0.5,0.5,H1,9781.58384354127,0.0,438922.7937383391,0.0,2.6963535223473576e+16,0.0,54.581859180704555,0.1091637183614091,19.56316768708254,500.0,0.5,0.5,0.0066487920000000145,0.0,1
1000,5,500,0.5,0.5,H2,9080.377716114008,0.0,430.6593035776168,0.0,1.961400703375873e+16,0.0,54.12273381850024,0.10824546763700048,18.160755432228015,500.0,0.5,0.5,0.14303629100000137,0.0,1
1000,5,500,0.5,0.5,MISO-EE,9843.62080623821,0.0,288649.036095798,0.0,2.8487130555774028e+16,0.0,54.66115982776967,0.11780422376674499,21.214700013444418,464.0,0.464,0.536,0.4073927079999997,0.0,1
1000,5,500,0.5,0.5,Pareto-H2,9080.377716114008,0.0,430.6593035776168,0.0,1.961400703375873e+16,0.0,54.12273381850024,0.10824546763700048,18.160755432228015,500.0,0.5,0.5,0.24647999999999826,0.0,1
1000,5,750,0.75,0.25,Coutino,18395.445780655395,0.0,1072146.0137995929,0.0,6.473847807151103e+17,0.0,59.167401062900204,0.07888986808386694,24.52726104087386,750.0,0.75,0.25,0.252404125,0.0,1
1000,5,750,0.75,0.25,H1,16430.018348647045,0.0,1097129.8217927665,0.0,3.6340852994249363e+17,0.0,58.334369896062,0.077779159861416,21.906691131529392,750.0,0.75,0.25,0.009868833000000077,0.0,1
1000,5,750,0.75,0.25,H2,15201.824921438088,0.0,485.03368109464645,0.0,2.5868175236257485e+17,0.0,57.84395590172505,0.0771252745356334,20.269099895250786,750.0,0.75,0.25,0.24460833299999996,0.0,1
1000,5,750,0.75,0.25,MISO-EE,16558.190675246005,0.0,830112.3208657205,0.0,3.8328421665282496e+17,0.0,58.4111922033824,0.08502356943723785,24.102169832963618,687.0,0.687,0.31299999999999994,0.5117235420000004,0.0,1
1000,5,750,0.75,0.25,Pareto-H2,15233.744857530304,0.0,391.0605535209179,0.0,2.6151458149047165e+17,0.0,57.85966900337192,0.07714622533782922,20.311659810040407,750.0,0.75,0.25,0.3642448749999998,0.0,1
1000,6,500,0.5,0.5,Coutino,10759.310940571739,0.0,565528.1716869622,0.0,3.045500664812003e+19,0.0,64.72331322221198,0.12944662644442398,21.518621881143478,500.0,0.5,0.5,0.31377808399999907,0.0,1
1000,6,500,0.5,0.5,H1,9722.576817161236,0.0,597006.6335792281,0.0,1.616409086919374e+19,0.0,63.80942616987293,0.12761885233974585,19.445153634322473,500.0,0.5,0.5,0.006892125000000249,0.0,1
1000,6,500,0.5,0.5,H2,8183.424768115974,0.0,591.3257286306471,0.0,6.418409358948748e+18,0.0,62.47692151399792,0.12495384302799585,16.36684953623195,500.0,0.5,0.5,0.1571082920000002,0.0,1
1000,6,500,0.5,0.5,MISO-EE,9773.806977542774,0.0,476056.22641293705,0.0,1.711909391099673e+19,0.0,63.89224014684746,0.13652188065565699,20.884202943467464,468.0,0.468,0.532,0.48432770800000213,0.0,1
1000,6,500,0.5,0.5,Pareto-H2,8738.361942415631,0.0,481.35906939953566,0.0,9.403641666717823e+18,0.0,63.02792527296317,0.13049259890882642,18.091846671667973,483.0,0.483,0.517,0.30295329200000154,0.0,1
1000,6,750,0.75,0.25,Coutino,18369.04621548493,0.0,1287790.7732941061,0.0,7.699650672301981e+20,0.0,69.38335489098728,0.0925111398546497,24.492061620646574,750.0,0.75,0.25,0.3175579580000001,0.0,1
1000,6,750,0.75,0.25,H1,16554.11598109972,0.0,1245863.6000536382,0.0,4.067457529491299e+20,0.0,68.4626891797699,0.09128358557302653,22.072154641466295,750.0,0.75,0.25,0.010098207999999609,0.0,1
1000,6,750,0.75,0.25,H2,13861.158183403113,0.0,328.06026086583734,0.0,1.5107537961341842e+20,0.0,67.03383046490949,0.08937844061987932,18.481544244537485,750.0,0.75,0.25,0.26492591600000015,0.0,1
1000,6,750,0.75,0.25,MISO-EE,16687.759642445704,0.0,1135801.3121664003,0.0,4.310426433093165e+20,0.0,68.54639250081478,0.09891254329121901,24.080461244510396,693.0,0.693,0.30700000000000005,0.599736708,0.0,1
1000,6,750,0.75,0.25,Pareto-H2,14820.323589073672,0.0,421.02737636864185,0.0,2.2557632343541114e+20,0.0,67.61217754768752,0.09403640827216624,20.61241111136811,719.0,0.719,0.281,0.40368504100000013,0.0,1
1000,7,500,0.5,0.5,Coutino,10155.040694014127,0.0,467759.17207313515,0.0,1.212059307673299e+22,0.0,73.35987838104634,0.14671975676209267,20.310081388028255,500.0,0.5,0.5,0.3961711249999986,0.0,1
1000,7,500,0.5,0.5,H1,9486.242395270048,0.0,561511.199024504,0.0,7.204497554355919e+21,0.0,72.60938781219285,0.1452187756243857,18.972484790540097,500.0,0.5,0.5,0.006494583999998582,0.0,1
1000,7,500,0.5,0.5,H2,8050.692404440193,0.0,730.2697848137468,0.0,2.670196725975708e+21,0.0,71.17743602860523,0.14235487205721045,16.101384808880386,500.0,0.5,0.5,0.180848000000001,0.0,1
1000,7,500,0.5,0.5,MISO-EE,9509.603118911915,0.0,423670.98593043536,0.0,7.618996827577671e+21,0.0,72.69009104715717,0.15207132018233718,19.894567194376393,478.0,0.478,0.522,0.5811518329999998,0.0,1
1000,7,500,0.5,0.5,Pareto-H2,8050.692404440193,0.0,730.2697848137468,0.0,2.670196725975708e+21,0.0,71.17743602860523,0.14235487205721045,16.101384808880386,500.0,0.5,0.5,0.35082562500000236,0.0,1
1000,7,750,0.75,0.25,Coutino,17703.09465256118,0.0,1239804.6432921141,0.0,6.015587718074016e+23,0.0,78.99305187683979,0.10532406916911971,23.604126203414907,750.0,0.75,0.25,0.3891439160000001,0.0,1
1000,7,750,0.75,0.25,H1,16441.35029233015,0.0,1148225.236494124,0.0,3.5595203291179665e+23,0.0,78.2360290231999,0.10431470536426654,21.921800389773534,750.0,0.75,0.25,0.010252458000000075,0.0,1
1000,7,750,0.75,0.25,H2,13831.71737478507,0.0,972.3146292194724,0.0,1.1718668461155222e+23,0.0,76.633154834625,0.1021775397795,18.44228983304676,750.0,0.75,0.25,0.28874866600000004,0.0,1
1000,7,750,0.75,0.25,MISO-EE,16554.037184408564,0.0,1091445.9816740751,0.0,3.761046544660887e+23,0.0,78.31548034290506,0.11014835491266535,23.28275272068715,711.0,0.711,0.28900000000000003,0.6850021249999996,0.0,1
1000,7,750,0.75,0.25,Pareto-H2,13831.71737478507,0.0,972.3146292194724,0.0,1.1718668461155222e+23,0.0,76.633154834625,0.1021775397795,18.44228983304676,750.0,0.75,0.25,0.4667940420000001,0.0,1
1000,8,500,0.5,0.5,Coutino,10205.473810979192,0.0,383310.7321832571,0.0,6.209536334914362e+24,0.0,82.36075982395607,0.16472151964791215,20.410947621958385,500.0,0.5,0.5,0.4526872080000004,0.0,1
1000,8,500,0.5,0.5,H1,9806.442516909627,0.0,602612.7488822918,0.0,4.0742448651220144e+24,0.0,81.75280696724244,0.16350561393448487,19.612885033819254,500.0,0.5,0.5,0.007150791000000822,0.0,1
1000,8,500,0.5,0.5,H2,8597.199388869813,0.0,1184.9908151421696,0.0,1.7769449675123493e+24,0.0,80.55567327868216,0.16111134655736434,17.194398777739625,500.0,0.5,0.5,0.20132100000000008,0.0,1
1000,8,500,0.5,0.5,MISO-EE,9749.937785955794,0.0,340693.71616451815,0.0,4.3147167965965115e+24,0.0,81.83554014619008,0.16873307246637131,20.102964507125346,485.0,0.485,0.515,0.6645237500000007,0.0,1
1000,8,500,0.5,0.5,Pareto-H2,8597.199388869813,0.0,1184.9908151421696,0.0,1.7769449675123493e+24,0.0,80.55567327868216,0.16111134655736434,17.194398777739625,500.0,0.5,0.5,0.4131856670000005,0.0,1
1000,8,750,0.75,0.25,Coutino,18188.130074615605,0.0,1250260.1628029495,0.0,6.293885805155096e+26,0.0,89.0240814700117,0.11869877529334892,24.250840099487473,750.0,0.75,0.25,0.46709841700000077,0.0,1
1000,8,750,0.75,0.25,H1,17347.41316743203,0.0,1311829.5358964503,0.0,4.2149575426972454e+26,0.0,88.4456485660327,0.11792753142137694,23.12988422324271,750.0,0.75,0.25,0.010687749999998886,0.0,1
1000,8,750,0.75,0.25,H2,14774.459753362777,0.0,1126.4332304149866,0.0,1.3548760265771663e+26,0.0,86.80829131568018,0.11574438842090691,19.699279671150368,750.0,0.75,0.25,0.3097382909999986,0.0,1
1000,8,750,0.75,0.25,MISO-EE,17398.88779475511,0.0,1099165.3819623813,0.0,4.440610310747625e+26,0.0,88.52088843909263,0.12192959840095403,23.965410185613095,726.0,0.726,0.274,0.7745700419999988,0.0,1
1000,8,750,0.75,0.25,Pareto-H2,14776.326064645309,0.0,1100.4485593363643,0.0,1.3530493431417677e+26,0.0,86.80634491969546,0.11574179322626062,19.701768086193745,750.0,0.75,0.25,0.5232050839999989,0.0,1
1000,9,500,0.5,0.5,Coutino,8676.815249372134,0.0,376464.176147623,0.0,5.89855111700288e+26,0.0,88.930491090526,0.177860982181052,17.353630498744266,500.0,0.5,0.5,0.5699806669999994,0.0,1
1000,9,500,0.5,0.5,H1,6996.580301296761,0.0,338232.51115372963,0.0,7.857080486320368e+25,0.0,86.0221957113414,0.1720443914226828,13.993160602593521,500.0,0.5,0.5,0.007166665999999822,0.0,1
1000,9,500,0.5,0.5,H2,5892.7959914625535,0.0,780.5777907795273,0.0,2.2182999088178357e+25,0.0,84.19765679977316,0.16839531359954632,11.785591982925107,500.0,0.5,0.5,0.22259433299999998,0.0,1
1000,9,500,0.5,0.5,MISO-EE,6999.915031867725,0.0,283934.4627545392,0.0,8.292522266693875e+25,0.0,86.10001335305996,0.1979310651794482,16.091758693948794,435.0,0.435,0.565,0.8079024169999975,0.0,1
1000,9,500,0.5,0.5,Pareto-H2,5892.7959914625535,0.0,780.5777907795273,0.0,2.2182999088178357e+25,0.0,84.19765679977316,0.16839531359954632,11.785591982925107,500.0,0.5,0.5,0.48914549999999934,0.0,1
1000,9,750,0.75,0.25,Coutino,15742.393535824458,0.0,983283.9111212976,0.0,1.3140797050377436e+29,0.0,96.72996753620293,0.12897329004827057,20.989858047765946,750.0,0.75,0.25,0.5713270420000001,0.0,1
1000,9,750,0.75,0.25,H1,12599.955538472,0.0,720268.7335404754,0.0,1.7314247754456244e+28,0.0,93.80594636551957,0.1250745951540261,16.799940717962667,750.0,0.75,0.25,0.010939291999999767,0.0,1
1000,9,750,0.75,0.25,H2,10432.91997249776,0.0,1041.15233046934,0.0,3.7844020574315284e+27,0.0,91.61212393167449,0.12214949857556598,13.910559963330348,750.0,0.75,0.25,0.3287414999999996,0.0,1
1000,9,750,0.75,0.25,MISO-EE,12658.043547650694,0.0,680248.9778856263,0.0,1.8229054533076972e+28,0.0,93.88022639343912,0.14600346250923657,19.685915315164376,643.0,0.643,0.357,0.9064409579999992,0.0,1
1000,9,750,0.75,0.25,Pareto-H2,10432.91997249776,0.0,1041.15233046934,0.0,3.7844020574315284e+27,0.0,91.61212393167449,0.12214949857556598,13.910559963330348,750.0,0.75,0.25,0.6029741250000011,0.0,1
1000,10,500,0.5,0.5,Coutino,6688.203050412451,0.0,198649.9527308289,0.0,1.4338040797008722e+28,0.0,93.53383455916038,0.18706766911832076,13.376406100824903,500.0,0.5,0.5,0.6567040409999976,0.0,1
1000,10,500,0.5,0.5,H1,6086.69357024419,0.0,211143.61521576066,0.0,5.248746383501418e+27,0.0,92.08403145097166,0.18416806290194332,12.17338714048838,500.0,0.5,0.5,0.00710145800000106,0.0,1
1000,10,500,0.5,0.5,H2,5598.7193596339375,0.0,1125.7089517014101,0.0,2.997963185018973e+27,0.0,91.27604122906155,0.1825520824581231,11.197438719267875,500.0,0.5,0.5,0.24949200000000005,0.0,1
1000,10,500,0.5,0.5,MISO-EE,6090.732367164763,0.0,173172.9284388651,0.0,5.577806580835908e+27,0.0,92.17175646948618,0.19569375046600038,12.931491225402894,471.0,0.471,0.529,0.921027125000002,0.0,1
1000,10,500,0.5,0.5,Pareto-H2,5598.7193596339375,0.0,1125.7089517014101,0.0,2.997963185018973e+27,0.0,91.27604122906155,0.1825520824581231,11.197438719267875,500.0,0.5,0.5,0.5647498750000004,0.0,1
1000,10,750,0.75,0.25,Coutino,12156.563015234831,0.0,415735.2153735161,0.0,6.126039853351665e+30,0.0,102.27279759913492,0.1363637301321799,16.208750686979776,750.0,0.75,0.25,0.6603565000000007,0.0,1
1000,10,750,0.75,0.25,H1,11017.63497788737,0.0,391556.55729690567,0.0,2.2443561849104747e+30,0.0,100.8241445000301,0.1344321926667068,14.690179970516493,750.0,0.75,0.25,0.01100787499999889,0.0,1
1000,10,750,0.75,0.25,H2,10095.448841847392,0.0,1144.728868426755,0.0,1.0957276669668544e+30,0.0,99.78973212088886,0.13305297616118514,13.460598455796523,750.0,0.75,0.25,0.35869216700000095,0.0,1
1000,10,750,0.75,0.25,MISO-EE,11069.603886433717,0.0,346265.0668695867,0.0,2.4000031709105366e+30,0.0,100.92087915856045,0.14376193612330548,15.768666504891335,702.0,0.702,0.29800000000000004,1.032068208,0.0,1
1000,10,750,0.75,0.25,Pareto-H2,10095.448841847392,0.0,1144.728868426755,0.0,1.0957276669668544e+30,0.0,99.78973212088886,0.13305297616118514,13.460598455796523,750.0,0.75,0.25,0.6835389589999998,0.0,1
