N,L,K,active_limit_fraction,required_turned_off_fraction,objective,objective_label,candidate,baseline_winner,winner,baseline_best_mean,candidate_mean,candidate_vs_best_h12_relative_delta
1000,2,500,0.5,0.5,u_bf,BF gain,Coutino,H1,Coutino,14752.297190550016,15800.875091953392,0.0710789572538622
1000,2,500,0.5,0.5,u_bf,BF gain,MISO-EE,H1,Coutino,14752.297190550016,15115.63857424985,0.024629478311525718
1000,2,500,0.5,0.5,u_bf,BF gain,Pareto-H2,H1,Coutino,14752.297190550016,13675.87543330712,-0.07296638234297693
1000,2,500,0.5,0.5,u_i,Interference,Coutino,H2,Tie,39.19966176152229,222425.18445003033,-5673.160807896537
1000,2,500,0.5,0.5,u_i,Interference,MISO-EE,H2,Tie,39.19966176152229,144942.82328650355,-3696.5529066624986
1000,2,500,0.5,0.5,u_i,Interference,Pareto-H2,H2,Tie,39.19966176152229,39.19966176152229,0.0
1000,2,500,0.5,0.5,u_g,General objective,Coutino,H1,Coutino,54233229.231109284,62301391.326637805,0.14876787183641388
1000,2,500,0.5,0.5,u_g,General objective,MISO-EE,H1,Coutino,54233229.231109284,57055496.75913213,0.05203945197502527
1000,2,500,0.5,0.5,u_g,General objective,Pareto-H2,H1,Coutino,54233229.231109284,46769765.59700413,-0.13761790953476838
1000,2,750,0.75,0.25,u_bf,BF gain,Coutino,H1,Coutino,21860.38202894062,23443.030743546522,0.0723980355197204
1000,2,750,0.75,0.25,u_bf,BF gain,MISO-EE,H1,Coutino,21860.38202894062,22412.268226064734,0.0252459539084669
1000,2,750,0.75,0.25,u_bf,BF gain,Pareto-H2,H1,Coutino,21860.38202894062,21134.776691418614,-0.03319271074775315
1000,2,750,0.75,0.25,u_i,Interference,Coutino,H2,Tie,17.49799758195877,677128.0363262892,-38696.4585608835
1000,2,750,0.75,0.25,u_i,Interference,MISO-EE,H2,Tie,17.49799758195877,677442.7512218058,-38714.44432720004
1000,2,750,0.75,0.25,u_i,Interference,Pareto-H2,H2,Tie,17.49799758195877,17.49799758195877,0.0
