use_h3_fast,L,K,sample,u_bf,u_i,u_g,time
True,4,500,0,8846.593930968174,32.8589634411037,23743565534475.71,1.1944230000081006
True,4,500,1,6210.65102699332,14.201583061367273,5704177180167.302,1.2113008000014815
True,4,500,2,6124.522404719589,17.623820014297962,5474371578879.789,1.1558778999897186
True,4,500,3,5898.060402090047,20.727831572294235,4735324216837.44,1.18776109997998
True,4,500,4,6972.425063964525,22.259436674416065,9220101952713.826,1.1592741000058595
True,4,750,0,19760.113911753077,60.83353289961815,595081879304428.1,0.9639136999903712
True,4,750,1,13233.560161999252,37.32354371994734,119436955618036.28,0.9191355999791995
True,4,750,2,12093.683869591934,29.491252198815346,83061081856083.84,0.9558568999927957
True,4,750,3,13125.37193153237,28.033045195043087,115829629938883.7,0.9142974999849685
True,4,750,4,14561.426308750926,53.9772617444396,175501488255575.84,0.9526486999820918
True,8,500,0,6229.548540943928,427.27074329182506,1.3571916735020672e+23,3.422034600022016
True,8,500,1,4630.377076772325,249.7998576052487,1.2663005576787195e+22,2.2667850999860093
True,8,500,2,5715.268360153134,393.3247743966058,6.777559442199354e+22,2.9279737999895588
True,8,500,3,6075.406326085657,314.13044903520495,1.1032895768911204e+23,2.2571924999938346
True,8,500,4,5763.352183262938,349.8509035864845,7.302255608067324e+22,3.3316630000190344
True,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,2.5178827999916393
True,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,2.180005499976687
True,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,2.3742716000124346
True,8,750,3,12994.712705200302,783.3578114397824,4.8330347289689655e+25,2.3431584000063594
True,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.5184539000038058
False,4,500,0,15055.041346538244,326.5410113185644,199431547196555.9,0.6060515999852214
False,4,500,1,11133.024348542353,145.5276436842978,59856920255513.22,0.5793848999892361
False,4,500,2,9391.61543444129,133.10995211452246,30369379558932.117,0.5642833999881987
False,4,500,3,9912.444655671889,131.28562678396702,37544837761048.61,0.5746300000173505
False,4,500,4,11471.150823223496,230.19089017808437,67675010894361.33,0.6074233000108507
False,4,750,0,27256.57870272997,245.6293740272522,2149540081814170.8,0.329614499991294
False,4,750,1,16676.383890377037,104.87171903252602,301199776168689.0,0.31348090001847595
False,4,750,2,15357.809715269801,74.62806368619204,217414192798311.6,0.3181843000056688
False,4,750,3,16564.58572127838,78.59256441891193,293437957690141.8,0.3219909000035841
False,4,750,4,19346.844015117866,146.9013426154852,547630685288831.06,0.3226757000084035
False,8,500,0,8366.611691654452,752.9244064483792,1.4342539767413022e+24,2.258110700000543
False,8,500,1,6535.4014290072355,647.1079286504537,1.9792090079609997e+23,2.160708799987333
False,8,500,2,7776.069367780772,721.2938749734312,7.783567226578956e+23,2.521060800005216
False,8,500,3,7972.505585243089,969.9284197147936,9.727179315530793e+23,2.1885273000225425
False,8,500,4,8393.916252579387,714.1501592490822,1.466606277670689e+24,2.350143099989509
False,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,1.4019391000038013
False,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,1.3545983000076376
False,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,1.7847745999752078
False,8,750,3,16426.271942898966,1248.9067744389176,3.1559192013373145e+26,1.9060889000247698
False,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,1.7919121999875642
