config,L,K,sample,u_bf,u_i,u_g,time
default,4,500,0,8846.593930968174,32.8589634411037,23743565534475.71,1.2968975999974646
default,4,500,1,6210.65102699332,14.201583061367273,5704177180167.302,1.3083526999980677
default,4,500,2,6124.522404719589,17.623820014297962,5474371578879.789,1.250898900005268
default,4,500,3,5898.060402090047,20.727831572294235,4735324216837.44,1.3009070999978576
default,4,500,4,6972.425063964525,22.259436674416065,9220101952713.826,1.2763951999950223
default,4,750,0,19760.113911753077,60.83353289961815,595081879304428.1,1.104097700008424
default,4,750,1,13233.560161999252,37.32354371994734,119436955618036.28,1.0688493000052404
default,4,750,2,12093.683869591934,29.491252198815346,83061081856083.84,1.0388198000146076
default,4,750,3,13125.37193153237,28.033045195043087,115829629938883.7,0.9886216000013519
default,4,750,4,14561.426308750926,53.9772617444396,175501488255575.84,0.9862650999857578
default,8,500,0,6229.548540943928,427.27074329182506,1.3571916735020672e+23,3.951754500012612
default,8,500,1,4630.377076772325,249.7998576052487,1.2663005576787195e+22,3.444859400013229
default,8,500,2,5715.268360153134,393.3247743966058,6.777559442199354e+22,3.5345890000171494
default,8,500,3,6075.406326085657,314.13044903520495,1.1032895768911204e+23,2.98051540000597
default,8,500,4,5763.352183262938,349.8509035864845,7.302255608067324e+22,2.214534500002628
default,8,750,0,14450.627073539003,815.328606877476,1.1301884326860228e+26,1.7997964000096545
default,8,750,1,11542.859371785486,644.8974089380354,1.8715151426955783e+25,1.8115066000027582
default,8,750,2,13724.547471722397,719.3445876985788,7.497159418049861e+25,1.8486845000006724
default,8,750,3,12994.712705200302,783.3578114397824,4.8330347289689655e+25,2.467125399998622
default,8,750,4,15672.200516466035,939.2519346885383,2.1741506078675212e+26,2.3804567999904975
h3_120_50,4,500,0,8856.410328585334,30.155819308012724,23815783640435.715,1.2098821000254247
h3_120_50,4,500,1,6210.402138611123,20.307320034131408,5707428591762.068,1.1934374000120442
