N,L,K,off_pct,sample,seed,sigma,P,heuristic,active_count,u_bf,u_i,u_g,log2_u_g_per_active,u_bf_per_active,elapsed_seconds
1000,1,750,25,0,42,1.0,1.0,H1,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.029816700000083074
1000,1,750,25,0,42,1.0,1.0,H2,750,11026.368490780684,0.0,11027.368490780687,0.017905067913222394,14.701824654374246,0.0953789999766741
1000,1,750,25,0,42,1.0,1.0,Coutino,750,19010.180645793655,0.0,19011.18064579364,0.01895274734611524,25.346907527724873,0.14479059999575838
1000,1,750,25,0,42,1.0,1.0,MISO-EE,389,11810.768681162088,0.0,11811.768681162097,0.034776188658143435,30.361873216354983,0.2619078000134323
1000,1,750,25,0,42,1.0,1.0,Pareto-H2,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.2510648000170477
1000,1,750,25,0,42,1.0,1.0,S-threshold-BF,750,22444.38534581278,0.0,22445.385345812796,0.01927217499256655,29.925847127750377,0.007110900012776256
1000,1,750,25,0,42,1.0,1.0,S-threshold-Int,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.12882350001018494
1000,1,750,25,0,42,1.0,1.0,S-threshold-Gen,750,22444.38534581278,0.0,22445.385345812796,0.01927217499256655,29.925847127750377,0.15071859999443404
1000,1,750,25,0,42,1.0,1.0,Frame-BF,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.02901150000980124
1000,1,750,25,0,42,1.0,1.0,Frame-Int,750,11226.21196670783,0.0,11227.211966707837,0.017939616119876253,14.968282622277107,0.21350099999108352
1000,1,750,25,0,42,1.0,1.0,Frame-Gen,750,22823.295652764744,0.0,22824.29565276476,0.019304376959389892,30.43106087035299,0.043177799991099164
1000,1,750,25,0,42,1.0,1.0,N-H3-Fast,750,6810.891316958668,0.0,6811.891316958668,0.016978452935743717,9.081188422611557,0.00014119999832473695
1000,1,750,25,1,43,1.0,1.0,H1,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.04697900000610389
1000,1,750,25,1,43,1.0,1.0,H2,750,14069.717173607412,0.0,14070.71717360742,0.018373877657402667,18.759622898143217,0.08736390000558458
1000,1,750,25,1,43,1.0,1.0,Coutino,750,26138.35428943635,0.0,26139.354289436327,0.019565247843698765,34.8511390525818,0.13102139998227358
1000,1,750,25,1,43,1.0,1.0,MISO-EE,634,23779.1507728205,0.0,23780.1507728205,0.02292976378825379,37.5065469602847,0.2619187999807764
1000,1,750,25,1,43,1.0,1.0,Pareto-H2,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.2172629999986384
1000,1,750,25,1,43,1.0,1.0,S-threshold-BF,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.006599400017876178
1000,1,750,25,1,43,1.0,1.0,S-threshold-Int,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.13072650000685826
1000,1,750,25,1,43,1.0,1.0,S-threshold-Gen,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.14510299998801202
1000,1,750,25,1,43,1.0,1.0,Frame-BF,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.021339999977499247
1000,1,750,25,1,43,1.0,1.0,Frame-Int,750,22625.85609388839,0.0,22626.856093888382,0.019287664695593523,30.167808125184518,0.1496218999964185
1000,1,750,25,1,43,1.0,1.0,Frame-Gen,750,33293.05301362073,0.0,33294.05301362073,0.02003063584740769,44.39073735149431,0.028539399994770065
