L,K,sample,heuristic,u_bf,u_i,u_g,time
4,500,0,Frame-BF,18311.226787977197,637041.3694437742,431482196484444.8,0.019356900011189282
4,500,0,Frame-Gen,18300.31357417968,555673.4896847606,431731054242153.0,0.052131200005533174
4,500,0,Frame-Int,8846.593930968174,32.8589634411037,23743565534475.71,1.1951285999966785
4,500,1,Frame-BF,16269.50322936258,1824203.3794522807,258247184702159.06,0.019329800008563325
4,500,1,Frame-Gen,16306.448609117315,1601620.7769646794,262444940436869.72,0.045150999998440966
4,500,1,Frame-Int,6210.65102699332,14.201583061367273,5704177180167.302,1.3173766999971122
4,500,2,Frame-BF,14823.274229103854,1340571.7333446518,179863532331635.88,0.01714660000288859
4,500,2,Frame-Gen,14842.402750603822,1231056.8175789043,181553152649118.5,0.042898999992758036
4,500,2,Frame-Int,6124.522404719589,17.623820014297962,5474371578879.789,1.1557310000061989
4,500,3,Frame-BF,15667.29351208255,1446880.2627887279,223505958551532.44,0.01777330000186339
4,500,3,Frame-Gen,15683.684238224334,1298169.158119008,225701918383898.12,0.04142589998082258
4,500,3,Frame-Int,5898.060402090047,20.727831572294235,4735324216837.44,1.1708014000032563
4,500,4,Frame-BF,16486.68916805364,499837.14349238575,284227131077039.8,0.01722950002294965
4,500,4,Frame-Gen,16571.9663648634,411336.4938400239,291225971411363.7,0.04088310000952333
4,500,4,Frame-Int,6972.425063964525,22.259436674416065,9220101952713.826,1.1588589000166394
4,750,0,Frame-BF,30359.764015735225,1822090.7796301544,3264076917481963.0,0.022474099998362362
4,750,0,Frame-Gen,30447.32183468909,1803155.5199475586,3302916283051455.5,0.04414319997886196
4,750,0,Frame-Int,19760.113911753077,60.83353289961815,595081879304428.1,0.9400438999873586
4,750,1,Frame-BF,27162.69290685121,3106639.409147769,2052912106834445.2,0.023479700001189485
4,750,1,Frame-Gen,27162.69290685121,3106639.409147769,2052912106834445.2,0.04345230001490563
4,750,1,Frame-Int,13233.560161999252,37.32354371994734,119436955618036.28,0.9193075000075623
4,750,2,Frame-BF,24427.904874384796,3622555.004687518,1323026928800440.5,0.02183310000691563
4,750,2,Frame-Gen,24468.804725994763,3532206.285059035,1333746092322146.5,0.04682779998984188
4,750,2,Frame-Int,12093.683869591934,29.491252198815346,83061081856083.84,0.9614870000223164
4,750,3,Frame-BF,26073.564379080348,1953310.983682096,1763087988145353.5,0.020431999990250915
4,750,3,Frame-Gen,26071.519014490434,1926154.7177947164,1763195302920520.0,0.04343670001253486
4,750,3,Frame-Int,13125.37193153237,28.033045195043087,115829629938883.7,0.9273810999875423
4,750,4,Frame-BF,27978.088569610183,2000326.3535897434,2345157059388228.5,0.027611700003035367
4,750,4,Frame-Gen,28117.817521101242,1685715.6825636923,2400887282415983.0,0.04270439999527298
4,750,4,Frame-Int,14561.426308750926,53.9772617444396,175501488255575.84,0.9463158000144176
8,500,0,Frame-BF,11884.244097946477,1012501.6318432391,1.864435028256887e+25,0.023233899992192164
8,500,0,Frame-Gen,11872.759636881301,961490.0400893129,1.8757137906014223e+25,0.10745640000095591
8,500,0,Frame-Int,6229.548540943928,427.27074329182506,1.3571916735020672e+23,3.5054057000088505
8,500,1,Frame-BF,10959.319962910427,923778.2292745281,9.644480391452616e+24,0.022504900000058115
8,500,1,Frame-Gen,10954.323364056494,875533.1656669192,9.75622666276816e+24,0.11417260000598617
8,500,1,Frame-Int,4630.377076772325,249.7998576052487,1.2663005576787195e+22,3.429423299996415
8,500,2,Frame-BF,11389.980880190706,732163.4377086051,1.395806139836886e+25,0.022591199987800792
8,500,2,Frame-Gen,11373.688260595469,672046.3426726796,1.4047346493021641e+25,0.10742159999790601
8,500,2,Frame-Int,5715.268360153134,393.3247743966058,6.777559442199354e+22,3.3840626000019256
8,500,3,Frame-BF,11649.090256212912,543936.9377111271,1.7726732248641632e+25,0.022648999991361052
8,500,3,Frame-Gen,11663.2991046425,488173.3746546693,1.8138270099704456e+25,0.09789289999753237
8,500,3,Frame-Int,6075.406326085657,314.13044903520495,1.1032895768911204e+23,3.3514679000072647
8,500,4,Frame-BF,11723.011353200336,894125.4095509499,1.6958873271929728e+25,0.023078700003679842
8,500,4,Frame-Gen,11714.397968964564,862237.3761951737,1.7012115342705623e+25,0.1080847000121139
8,500,4,Frame-Int,5763.352183262938,349.8509035864845,7.302255608067324e+22,3.5171585000061896
