L,K,sample,heuristic,u_bf,u_i,u_g,time
4,500,0,Frame-BF,18311.226787977197,637041.3694437742,431482196484444.8,0.034706000005826354
4,500,0,Frame-Gen,18300.31357417968,555673.4896847606,431731054242153.0,0.05037569999694824
4,500,0,Frame-Int,8846.593930968174,32.8589634411037,23743565534475.71,1.2368406000023242
4,500,1,Frame-BF,16269.50322936258,1824203.3794522807,258247184702159.06,0.030843200016533956
4,500,1,Frame-Gen,16306.448609117315,1601620.7769646794,262444940436869.72,0.05352419998962432
4,500,1,Frame-Int,6210.65102699332,14.201583061367273,5704177180167.302,1.191676099988399
4,500,2,Frame-BF,14823.274229103854,1340571.7333446518,179863532331635.88,0.026536599994869903
4,500,2,Frame-Gen,14842.402750603822,1231056.8175789043,181553152649118.5,0.05329630000051111
4,500,2,Frame-Int,6124.522404719589,17.623820014297962,5474371578879.789,1.2019618999911472
4,500,3,Frame-BF,15667.29351208255,1446880.2627887279,223505958551532.44,0.03145099998801015
4,500,3,Frame-Gen,15683.684238224334,1298169.158119008,225701918383898.12,0.048149899987038225
4,500,3,Frame-Int,5898.060402090047,20.727831572294235,4735324216837.44,1.1644208999932744
4,500,4,Frame-BF,16486.68916805364,499837.14349238575,284227131077039.8,0.026990400016075
4,500,4,Frame-Gen,16571.9663648634,411336.4938400239,291225971411363.7,0.04776079999282956
4,500,4,Frame-Int,6972.425063964525,22.259436674416065,9220101952713.826,1.216987199994037
4,750,0,Frame-BF,30359.764015735225,1822090.7796301544,3264076917481963.0,0.02736959999310784
4,750,0,Frame-Gen,30447.32183468909,1803155.5199475586,3302916283051455.5,0.05179830000270158
4,750,0,Frame-Int,19760.113911753077,60.83353289961815,595081879304428.1,0.9219261000107508
4,750,1,Frame-BF,27162.69290685121,3106639.409147769,2052912106834445.2,0.03417920001083985
4,750,1,Frame-Gen,27162.69290685121,3106639.409147769,2052912106834445.2,0.05355219999910332
4,750,1,Frame-Int,13233.560161999252,37.32354371994734,119436955618036.28,0.9820119999931194
4,750,2,Frame-BF,24427.904874384796,3622555.004687518,1323026928800440.5,0.0307195000059437
4,750,2,Frame-Gen,24468.804725994763,3532206.285059035,1333746092322146.5,0.049979600007645786
4,750,2,Frame-Int,12093.683869591934,29.491252198815346,83061081856083.84,0.9389173999952618
4,750,3,Frame-BF,26073.564379080348,1953310.983682096,1763087988145353.5,0.03450109998811968
4,750,3,Frame-Gen,26071.519014490434,1926154.7177947164,1763195302920520.0,0.05149899999378249
4,750,3,Frame-Int,13125.37193153237,28.033045195043087,115829629938883.7,0.9471479999774601
4,750,4,Frame-BF,27978.088569610183,2000326.3535897434,2345157059388228.5,0.031129399983910844
4,750,4,Frame-Gen,28117.817521101242,1685715.6825636923,2400887282415983.0,0.05417790001956746
4,750,4,Frame-Int,14561.426308750926,53.9772617444396,175501488255575.84,0.9241979999933392
8,500,0,Frame-BF,11884.244097946477,1012501.6318432391,1.864435028256887e+25,0.0359687999880407
8,500,0,Frame-Gen,11872.759636881301,961490.0400893129,1.8757137906014223e+25,0.10214219999033958
8,500,0,Frame-Int,6229.548540943928,427.27074329182506,1.3571916735020672e+23,3.571937300002901
8,500,1,Frame-BF,10959.319962910427,923778.2292745281,9.644480391452616e+24,0.032809500000439584
8,500,1,Frame-Gen,10954.323364056494,875533.1656669192,9.75622666276816e+24,0.10007469999254681
8,500,1,Frame-Int,4630.377076772325,249.7998576052487,1.2663005576787195e+22,3.566872700001113
8,500,2,Frame-BF,11389.980880190706,732163.4377086051,1.395806139836886e+25,0.036522300011711195
8,500,2,Frame-Gen,11373.688260595469,672046.3426726796,1.4047346493021641e+25,0.10203579999506474
8,500,2,Frame-Int,5715.268360153134,393.3247743966058,6.777559442199354e+22,3.408597900008317
8,500,3,Frame-BF,11649.090256212912,543936.9377111271,1.7726732248641632e+25,0.03379670000867918
8,500,3,Frame-Gen,11663.2991046425,488173.3746546693,1.8138270099704456e+25,0.0908777000149712
8,500,3,Frame-Int,6075.406326085657,314.13044903520495,1.1032895768911204e+23,3.5407522000023164
8,500,4,Frame-BF,11723.011353200336,894125.4095509499,1.6958873271929728e+25,0.038566000002902
8,500,4,Frame-Gen,11714.397968964564,862237.3761951737,1.7012115342705623e+25,0.095596300001489
8,500,4,Frame-Int,5763.352183262938,349.8509035864845,7.302255608067324e+22,3.380706399999326
8,750,0,Frame-BF,21293.127111425478,2390972.4330300167,2.1091542815514646e+27,0.04212040000129491
8,750,0,Frame-Gen,21287.79134964833,2370453.575246729,2.1096420473217266e+27,0.08667650001007132
