target_obj,algorithm,exact_objective,sample,seed,N,L,K,candidate_count,active_count,u_bf,u_i,u_g,objective_value,direct_scan_verified,subset,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,total_seconds
bf,Gurobi-BF,bf,0,42,22,5,11,2440759,11,21.790757686425525,103.87074561066655,630.847909360996,21.790757686425525,True,0 1 2 6 7 9 11 13 14 16 19,92.531656166,22.316662207999997,0.9040030419999994,114.848318374
int,Gurobi-Int,interference,0,42,22,5,11,2440759,5,2.482976521298363,0.6059287548650205,5.980446930438769,0.6059287548650205,True,1 3 12 18 21,92.531656166,21.48607329100001,0.9695032499999741,114.01772945700002
gen,Gurobi-Gen,general,0,42,22,5,11,2440759,11,20.702091211883562,54.18405642855555,1103.060155188115,1103.060155188115,True,0 2 3 4 6 7 9 11 13 14 19,92.531656166,21.779822790999987,0.8833395000000053,114.31147895699999
bf,Gurobi-BF,bf,1,43,22,5,11,2440759,11,14.62373301781912,53.519708171510516,143.78185113007044,14.62373301781912,True,2 3 7 9 10 11 12 15 17 18 20,94.06423629199998,21.951049124999997,0.9240583750000155,116.01528541699997
int,Gurobi-Int,interference,1,43,22,5,11,2440759,5,2.1204518023043284,0.3083385462797319,5.056446887320149,0.3083385462797319,True,5 6 13 14 16,94.06423629199998,21.461250708000023,1.0187942079999743,115.525487
gen,Gurobi-Gen,general,1,43,22,5,11,2440759,11,14.532292448392365,47.325842935543335,147.5399290016418,147.5399290016418,True,3 7 9 10 11 12 13 15 17 18 20,94.06423629199998,21.34046691599997,0.9033988330000398,115.40470320799994
bf,Gurobi-BF,bf,2,44,22,5,11,2440759,11,20.6567120798505,117.55995420684322,399.0074885266421,20.6567120798505,True,0 1 2 3 5 13 15 16 18 19 21,93.791335167,22.017189916000007,0.9148510839999631,115.808525083
int,Gurobi-Int,interference,2,44,22,5,11,2440759,5,2.534748873770332,0.45501534402708677,5.694799710946093,0.45501534402708677,True,7 10 12 13 17,93.791335167,21.795170625000026,0.9606881659999544,115.58650579200003
gen,Gurobi-Gen,general,2,44,22,5,11,2440759,11,18.24510251056979,70.67630595013011,490.51863547020093,490.51863547020093,True,0 1 2 3 5 7 10 13 15 16 18,93.791335167,21.756012416000033,0.8663711669999543,115.54734758300003
bf,Gurobi-BF,bf,3,45,22,5,11,2440759,11,16.144145768652063,89.28224722097222,161.98416629324456,16.144145768652063,True,0 1 3 4 5 9 15 17 19 20 21,93.67127704199993,21.76013050000006,0.9832440000000133,115.43140754199999
int,Gurobi-Int,interference,3,45,22,5,11,2440759,5,1.2136128632258727,0.25866272413469715,2.697400121982785,0.25866272413469715,True,6 7 8 12 14,93.67127704199993,21.88987212500001,1.043394291000027,115.56114916699994
gen,Gurobi-Gen,general,3,45,22,5,11,2440759,11,14.594955810001377,38.14021890727057,231.234058590955,231.234058590955,True,0 1 2 3 4 9 14 15 17 19 20,93.67127704199993,21.762639165999985,0.92129270800001,115.43391620799991
bf,Gurobi-BF,bf,4,46,22,5,11,2440759,11,17.7229642756395,94.02425204576092,228.15346244263324,17.7229642756395,True,1 2 5 7 8 9 10 11 15 17 19,93.20032366599992,21.319816999999944,0.9120404169999574,114.52014066599986
int,Gurobi-Int,interference,4,46,22,5,11,2440759,5,2.440622674034123,0.41490956067273155,5.568857125375794,0.41490956067273155,True,2 3 4 13 16,93.20032366599992,21.070599125000058,0.9845130420000032,114.27092279099998
gen,Gurobi-Gen,general,4,46,22,5,11,2440759,11,13.625087407561367,25.206523327267597,292.4477794241964,292.4477794241964,True,1 2 4 7 9 11 12 13 14 17 19,93.20032366599992,21.98908733299993,0.926592625000012,115.18941099899985
bf,Gurobi-BF,bf,5,47,22,5,11,2440759,11,14.825774488958427,41.10511207923329,220.72104367734923,14.825774488958427,True,0 2 3 4 5 7 12 14 15 19 21,93.95363033299998,21.720902125000066,0.907276124999953,115.67453245800004
int,Gurobi-Int,interference,5,47,22,5,11,2440759,5,1.5889623559629058,0.23813537945116114,3.481363613554083,0.23813537945116114,True,8 9 15 17 18,93.95363033299998,21.401542833000008,1.0209558330000164,115.35517316599999
gen,Gurobi-Gen,general,5,47,22,5,11,2440759,11,13.49170615399673,20.30070322070943,288.3975314546828,288.3975314546828,True,0 2 4 5 11 12 13 14 15 19 21,93.95363033299998,20.936969834000024,0.9179250830000001,114.890600167
bf,Gurobi-BF,bf,6,48,22,5,11,2440759,11,10.154041517263593,31.04323537734716,55.611974450125125,10.154041517263593,True,1 2 3 6 7 10 11 15 16 19 21,93.97530129200015,21.480048916999976,0.933758958999988,115.45535020900013
int,Gurobi-Int,interference,6,48,22,5,11,2440759,5,0.7254475314249691,0.04305852059688267,1.8814364587032908,0.04305852059688267,True,5 8 13 17 19,93.97530129200015,22.206142209000063,1.0342539160001252,116.18144350100022
gen,Gurobi-Gen,general,6,48,22,5,11,2440759,11,9.724066413670172,22.039258166572996,62.61386232611159,62.61386232611159,True,1 2 4 6 10 11 15 16 18 19 21,93.97530129200015,22.37513758299997,0.937033417000066,116.35043887500012
bf,Gurobi-BF,bf,7,49,22,5,11,2440759,11,14.596910447367636,48.54450844447238,207.30434300059719,14.596910447367636,True,0 1 4 6 9 11 14 15 16 17 20,99.51795237500005,22.216609957999935,0.9058455839999624,121.73456233299999
int,Gurobi-Int,interference,7,49,22,5,11,2440759,5,2.1020229334083074,0.38527817322696145,4.947870720599527,0.38527817322696145,True,1 2 11 12 18,99.51795237500005,20.936557540999956,0.9722559580000052,120.454509916
gen,Gurobi-Gen,general,7,49,22,5,11,2440759,11,13.844995118877474,29.475373640379672,231.7371395539628,231.7371395539628,True,0 1 4 9 10 14 15 16 17 18 20,99.51795237500005,21.447878790999994,0.9305767910000213,120.96583116600004
bf,Gurobi-BF,bf,8,50,22,5,11,2440759,11,16.904689337695142,42.13467311960115,482.2195891418411,16.904689337695142,True,1 3 5 8 10 12 13 15 16 17 21,97.65908070899991,21.89967945799981,0.9709596669999883,119.55876016699972
