target_obj,exact_objective,sample,seed,N,L,K,algorithm,active_count,valid,u_bf,u_i,u_g,meets_bf_floor,meets_interference_ceiling,objective_gap_pct,subset,elapsed_seconds,enumeration_seconds,gurobi_model_seconds,direct_scan_seconds,target_metric,target_direction,target_value,candidate_count
bf,bf,0,42,18,4,9,Gurobi-BF,9,True,19.542943316120343,107.11915835292723,160.03886749010238,True,True,0.0,1 3 4 5 10 11 12 13 15,4.808675300038885,3.569397500017658,1.2392778000212274,0.02472479999414645,u_bf,max,19.542943316120343,48620
bf,bf,0,42,18,4,9,Gurobi-Int,9,True,8.475316997340279,2.3339682848766863,78.00280714314489,True,True,56.63234109496054,1 2 4 6 7 8 9 10 13,4.341916100005619,3.569397500017658,0.7725185999879614,0.02296319999732077,u_bf,max,8.475316997340279,48620
bf,bf,0,42,18,4,9,Gurobi-Gen,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,22.393536362083655,3 7 9 11 12 13 15 16 17,4.284418000024743,3.569397500017658,0.7150205000070855,0.021309100004145876,u_bf,max,15.166587198403537,48620
bf,bf,0,42,18,4,9,H1,9,True,16.141245386083206,36.93971753570729,251.73631544023903,True,True,17.406272305109674,0 3 5 7 9 11 12 13 15,0.0005882999976165593,,,,u_bf,max,16.141245386083206,48620
bf,bf,0,42,18,4,9,H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,50.6004236600554,1 4 6 7 9 12 13 14 16,0.0009106000070460141,,,,u_bf,max,9.65413120251897,48620
bf,bf,0,42,18,4,9,Coutino,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,22.393536362083655,3 7 9 11 12 13 15 16 17,0.0012679999927058816,,,,u_bf,max,15.166587198403537,48620
bf,bf,0,42,18,4,9,MISO-EE,9,True,15.166587198403537,19.985939088955206,307.0653768201428,True,True,22.393536362083655,3 7 9 11 12 13 15 16 17,0.0025124999810941517,,,,u_bf,max,15.166587198403537,48620
bf,bf,0,42,18,4,9,Pareto-H2,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,50.6004236600554,1 4 6 7 9 12 13 14 16,0.0025867999938782305,,,,u_bf,max,9.65413120251897,48620
bf,bf,0,42,18,4,9,H3-threshold-BF,9,True,17.259571976452683,43.75682344628309,302.724575772539,True,True,11.683866154307374,3 5 7 9 11 12 13 15 16,0.0006194000015966594,,,,u_bf,max,17.259571976452683,48620
bf,bf,0,42,18,4,9,H3-threshold-Int,9,True,9.65413120251897,3.4007105503002677,115.8678972922276,True,True,50.6004236600554,1 4 6 7 9 12 13 14 16,0.0018376999942120165,,,,u_bf,max,9.65413120251897,48620
