target_obj,exact_objective,target_metric,target_direction,algorithm,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,target_value_mean,target_value_std,objective_gap_pct_mean,objective_gap_pct_std,elapsed_seconds_mean,elapsed_seconds_std,enumeration_seconds_mean,gurobi_model_seconds_mean,direct_scan_seconds_mean,samples
bf,bf,u_bf,max,Coutino,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,17.35108965231788,3.8761203445204475,9.016249755953861,3.5414868269222795,0.002870433333252246,0.001974914859675183,0.0,0.0,0.0,3
bf,bf,u_bf,max,Frame-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,19.02373426136505,3.8524697360073223,0.0,0.0,0.05147400000714697,0.004104847411935683,0.0,0.0,0.0,3
bf,bf,u_bf,max,Frame-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,17.826495390281906,3.106127514504382,5.7653306001901425,5.564735717645922,0.07980393332157594,0.011004543029705487,0.0,0.0,0.0,3
bf,bf,u_bf,max,Frame-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,5.849767860606544,1.0618731044339205,69.13846583891075,1.046228717919133,0.0501302333335237,0.0016908875559615436,0.0,0.0,0.0,3
bf,bf,u_bf,max,Gurobi-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,19.02373426136505,3.8524697360073223,0.0,0.0,66.63811619999858,1.0211849934750543,54.93539296666859,11.702723233329985,0.34958923333518516,3
bf,bf,u_bf,max,Gurobi-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,17.826495390281906,3.106127514504382,5.7653306001901425,5.564735717645922,66.345660200003,1.406892096905511,54.93539296666859,11.410267233334404,0.3472581000047891,3
bf,bf,u_bf,max,Gurobi-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,5.849767860606544,1.0618731044339205,69.13846583891075,1.046228717919133,66.34514393334393,1.167777306710022,54.93539296666859,11.409750966675347,0.3731720000020384,3
bf,bf,u_bf,max,H1,11.0,0.0,16.796604153704024,4.82619788765381,48.525447409442506,25.148059159039427,552.6358029128756,500.2624041731703,16.796604153704024,4.82619788765381,12.835568361833026,8.60172100952107,0.0008216333323313544,0.00038408860166349034,0.0,0.0,0.0,3
bf,bf,u_bf,max,H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,8.519077110697973,1.3009840241494286,54.8125679028279,3.556903697232412,0.0017706666646214824,0.00047152938204471123,0.0,0.0,0.0,3
bf,bf,u_bf,max,H3-Fast,11.0,0.0,8.42339130043665,0.24713659852979605,6.022222227746055,1.8941988875152507,79.80377039605956,28.320303397927493,8.42339130043665,0.24713659852979605,54.39935144488924,9.816833563697168,0.0010177999987111737,8.41303124716783e-05,0.0,0.0,0.0,3
bf,bf,u_bf,max,H3-threshold-BF,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,18.029817701706488,3.4687728925773293,5.062320870591013,1.5819352216511475,0.0011794999979125957,0.000809048460375637,0.0,0.0,0.0,3
bf,bf,u_bf,max,H3-threshold-Gen,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,18.029817701706488,3.4687728925773293,5.062320870591013,1.5819352216511475,0.004994733336692055,0.0002927038553789144,0.0,0.0,0.0,3
bf,bf,u_bf,max,H3-threshold-Int,11.0,0.0,8.799082716923516,4.068893685795942,4.392689217830321,1.9506053819974323,148.6176838687292,163.5654024015946,8.799082716923516,4.068893685795942,55.28996814965495,13.483144163098451,0.0033103333262261003,0.0019687067258810434,0.0,0.0,0.0,3
bf,bf,u_bf,max,MISO-EE,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,17.35108965231788,3.8761203445204475,9.016249755953861,3.5414868269222795,0.005245333314330007,0.0038770660607206986,0.0,0.0,0.0,3
bf,bf,u_bf,max,Pareto-H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,8.519077110697973,1.3009840241494286,54.8125679028279,3.556903697232412,0.0037269000022206455,0.0008495713892709008,0.0,0.0,0.0,3
gen,general,u_g,max,Coutino,11.0,0.0,17.35108965231788,3.8761203445204475,53.24676866038637,17.916578094085118,578.913179086517,486.0163733427229,578.913179086517,486.0163733427229,0.9893779105627231,1.7136528089809728,0.0016636000073049217,0.0005119946890803874,0.0,0.0,0.0,3
gen,general,u_g,max,Frame-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,391.2124163392361,243.6265762041532,21.337483392340754,20.264565112997627,0.054402466669368245,0.008911557164236692,0.0,0.0,0.0,3
gen,general,u_g,max,Frame-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,580.3729065533191,484.0558523422386,0.0,0.0,0.0784756333353774,0.012778252462566208,0.0,0.0,0.0,3
gen,general,u_g,max,Frame-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,31.87960047340002,12.042055939817146,92.14289842669406,4.474751372561199,0.0479819999988346,0.0025336396080169405,0.0,0.0,0.0,3
gen,general,u_g,max,Gurobi-BF,11.0,0.0,19.02373426136505,3.8524697360073223,91.6501359963401,33.72381580687174,391.2124163392361,243.6265762041532,391.2124163392361,243.6265762041532,21.337483392340754,20.264565112997627,66.63811619999858,1.0211849934750543,54.93539296666859,11.702723233329985,0.34958923333518516,3
gen,general,u_g,max,Gurobi-Gen,11.0,0.0,17.826495390281906,3.106127514504382,57.39540177140964,12.001899221881448,580.3729065533191,484.0558523422386,580.3729065533191,484.0558523422386,0.0,0.0,66.345660200003,1.406892096905511,54.93539296666859,11.410267233334404,0.3472581000047891,3
gen,general,u_g,max,Gurobi-Int,11.0,0.0,5.849767860606544,1.0618731044339205,2.759501801296933,0.885950284304612,31.87960047340002,12.042055939817146,31.87960047340002,12.042055939817146,92.14289842669406,4.474751372561199,66.34514393334393,1.167777306710022,54.93539296666859,11.409750966675347,0.3731720000020384,3
gen,general,u_g,max,H1,11.0,0.0,16.796604153704024,4.82619788765381,48.525447409442506,25.148059159039427,552.6358029128756,500.2624041731703,552.6358029128756,500.2624041731703,9.113697646972192,7.979024452027308,0.0005808999994769692,2.636436929431212e-05,0.0,0.0,0.0,3
gen,general,u_g,max,H2,11.0,0.0,8.519077110697973,1.3009840241494286,5.927615437064941,2.375773937185182,86.01911092008929,42.16795268671299,86.01911092008929,42.16795268671299,80.76213347927896,8.039357802604854,0.0014250333382127185,0.0007245754118649922,0.0,0.0,0.0,3
gen,general,u_g,max,H3-Fast,11.0,0.0,8.42339130043665,0.24713659852979605,6.022222227746055,1.8941988875152507,79.80377039605956,28.320303397927493,79.80377039605956,28.320303397927493,79.50053444950775,12.249152255181459,0.0010359000007156283,0.00016420485407066528,0.0,0.0,0.0,3
gen,general,u_g,max,H3-threshold-BF,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,576.1525528501428,488.1726766768181,2.171957832965507,3.0252325857877405,0.0007559000029383848,6.492771490571419e-05,0.0,0.0,0.0,3
gen,general,u_g,max,H3-threshold-Gen,11.0,0.0,18.029817701706488,3.4687728925773293,63.42697380678431,19.372015160660524,576.1525528501428,488.1726766768181,576.1525528501428,488.1726766768181,2.171957832965507,3.0252325857877405,0.005344099986056487,0.0007281332528394648,0.0,0.0,0.0,3
