data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,seed_rule,max_swaps,seed_T,fraction_exact_u_g,gap_to_exact_pct,is_exact_best,overlap_count,overlap_fraction,swap_distance_to_exact,rank_gap_mean,rank_gap_max,exact_max_row_power,local_max_row_power,local_exact_max_power_ratio,exact_scaled_trace,local_scaled_trace,local_exact_scaled_trace_ratio,exact_eig_min,local_eig_min,local_exact_eig_min_ratio,exact_eig_balance,local_eig_balance,local_exact_eig_balance_delta,u_g,exact_u_g,subset,exact_subset,swap_history,swaps_applied
gaussian,42,61,20,2,7,65.0,35.0,1.0,1.0,best_tested_T,2,4,0.9115284279625335,8.847157203746647,False,3,0.42857142857142855,4,2.7142857142857144,4.0,1.0000000000000002,0.5334494380753517,0.5334494380753516,10.724444619604945,10.665471344745862,0.9945010415969442,4.115060431358826,3.182244484574023,0.7733165861487046,0.6226087505515104,0.42525030231422745,-0.197358448237283,35.478928747343886,38.922459968305205,3 6 9 13 15 17 19,0 3 5 8 9 12 17,,0
gaussian,42,37,16,2,6,60.0,40.0,1.0,1.0,best_tested_T,2,3,0.9189107866321331,8.10892133678669,False,5,0.8333333333333334,1,0.3333333333333333,1.0,0.9999999999999999,0.9999999999999999,1.0,12.536811831338563,12.18752506487264,0.9721391075207173,2.723530149269845,2.443717523222437,0.8972610506542681,0.27753510369995843,0.2507969818550594,-0.026738121844899043,36.998638297310144,40.263580355730205,0 3 4 10 11 12,0 2 3 4 10 12,5>12@33.3963368757;6>3@36.9986382973,2
gaussian,42,37,16,2,6,65.0,35.0,1.0,1.0,best_tested_T,2,3,0.9189107866321331,8.10892133678669,False,5,0.8333333333333334,1,0.3333333333333333,1.0,0.9999999999999999,0.9999999999999999,1.0,12.536811831338563,12.18752506487264,0.9721391075207173,2.723530149269845,2.443717523222437,0.8972610506542681,0.27753510369995843,0.2507969818550594,-0.026738121844899043,36.998638297310144,40.263580355730205,0 3 4 10 11 12,0 2 3 4 10 12,5>12@33.3963368757;6>3@36.9986382973,2
gaussian,42,35,8,2,2,75.0,25.0,1.0,1.0,best_tested_T,2,1,0.9213712989527065,7.862870104729347,False,0,0.0,2,1.0,1.0,1.0,0.9300159845932621,0.9300159845932621,3.134343167876569,2.5368867962072565,0.8093838677932408,0.005460761319011409,0.1191707186417208,21.82309602634215,0.0017452753441825316,0.049290617598786474,0.04754534225460394,3.8250077586423834,4.151429247894034,2 7,0 6,,0
gaussian,42,35,8,2,2,70.0,30.0,1.0,1.0,best_tested_T,2,1,0.9213712989527065,7.862870104729347,False,0,0.0,2,1.0,1.0,1.0,0.9300159845932621,0.9300159845932621,3.134343167876569,2.5368867962072565,0.8093838677932408,0.005460761319011409,0.1191707186417208,21.82309602634215,0.0017452753441825316,0.049290617598786474,0.04754534225460394,3.8250077586423834,4.151429247894034,2 7,0 6,,0
gaussian,42,61,20,2,8,60.0,40.0,1.0,1.0,best_tested_T,2,4,0.9379986714312261,6.200132856877394,False,4,0.5,4,3.25,4.0,1.0000000000000002,0.5334494380753517,0.5334494380753516,13.700030870202895,13.7609513349623,1.0044467392326761,4.215722187977992,3.5927577743633115,0.8522283049411574,0.44449440957978537,0.3533329448295503,-0.09116146475023507,51.29280780103528,54.68324141949071,1 3 6 9 13 15 17 19,0 3 5 6 8 9 12 17,,0
gaussian,42,18,20,2,10,50.0,50.0,1.0,1.0,best_tested_T,2,3,0.9405284137096865,5.947158629031346,False,7,0.7,3,2.6,3.0,1.0,0.6707885772833251,0.6707885772833251,22.96698675621036,20.807780552000768,0.9059865263506657,5.569600496683048,6.357511861348069,1.1414664059180293,0.3201400723992647,0.43995803797478794,0.11981796557552327,113.67553515249197,120.86347790826048,1 3 4 6 9 13 14 15 16 19,1 3 4 5 6 7 8 14 15 19,,0
gaussian,42,41,20,2,8,60.0,40.0,1.0,1.0,best_tested_T,2,3,0.9566449035374872,4.335509646251278,False,6,0.75,2,1.875,2.0,0.6913396720792678,0.5588285636687761,0.8083270586628533,15.279965308094889,15.304143213160415,1.0015823272224786,4.554378802285947,4.108960006273447,0.9021998794239658,0.4246274830583214,0.3670292777116615,-0.05759820534665988,62.30470327316304,65.12834913223531,2 6 7 8 9 12 16 18,1 2 7 8 9 12 18 19,,0
gaussian,42,71,20,2,7,65.0,35.0,1.0,1.0,best_tested_T,2,2,0.9609163165777459,3.90836834222541,False,5,0.7142857142857143,2,1.8571428571428572,2.0,0.9999999999999998,0.6033816965030285,0.6033816965030286,12.328466746191072,11.117937268854812,0.9018102167724743,1.8861126648777669,2.1993789168610696,1.1660909540648277,0.18062140492372158,0.24660699970297317,0.06598559477925159,31.733226477025053,33.02392303009414,0 2 7 8 14 16 19,2 3 7 12 14 16 19,,0
gaussian,42,61,20,2,10,50.0,50.0,1.0,1.0,best_tested_T,2,4,0.963170806584852,3.682919341514801,False,6,0.6,4,3.8,4.0,1.0000000000000002,0.5334494380753517,0.5334494380753516,19.223215455068264,17.909474003167666,0.9316586002497191,5.532948579700813,6.3739316496050336,1.151995460971679,0.4041519884215048,0.5525472018779,0.14839521345639517,92.43623250589991,95.9707581188577,1 3 4 6 9 13 15 17 18 19,0 3 5 6 8 9 12 15 17 19,16>4@92.4362325059,1
