data_profile,N,L,K,active_pct,seed_rule,max_swaps,cases,seed_T_mean,seed_T_p50,u_g_mean,u_g_p05,u_g_p50,u_g_p95,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate,near_99_rate,swaps_applied_mean,add_candidate_count_mean,evaluated_swap_count_mean,elapsed_seconds_mean,elapsed_seconds_p95
gaussian,8,2,2,25.0,T_0,0,100,0.0,0.0,3.5377652601634475,2.684948479618739,3.5328605483747464,4.33352955219769,0.9772817517360669,0.8698089982999487,1.0,1.0000000000000002,2.2718248263933196,0.65,0.68,0.0,6.0,0.0,0.00011838123318739236,0.0001709961099550128
gaussian,8,2,2,25.0,T_0,1,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,12.0,0.0004545292991679162,0.0005758049665018916
gaussian,8,2,2,25.0,T_0,2,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,15.4,0.000547010846203193,0.0007865073042921722
gaussian,8,2,2,25.0,T_0p025N,0,100,0.0,0.0,3.5377652601634475,2.684948479618739,3.5328605483747464,4.33352955219769,0.9772817517360669,0.8698089982999487,1.0,1.0000000000000002,2.2718248263933196,0.65,0.68,0.0,6.0,0.0,0.00011810755007900298,0.00016887284582480788
gaussian,8,2,2,25.0,T_0p025N,1,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,12.0,0.00044283365132287146,0.0005334527580998838
gaussian,8,2,2,25.0,T_0p025N,2,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,15.4,0.0005421215936075896,0.0007645605015568435
gaussian,8,2,2,25.0,T_0p05N,0,100,0.0,0.0,3.5377652601634475,2.684948479618739,3.5328605483747464,4.33352955219769,0.9772817517360669,0.8698089982999487,1.0,1.0000000000000002,2.2718248263933196,0.65,0.68,0.0,6.0,0.0,0.00011488800984807312,0.00015682167140766977
gaussian,8,2,2,25.0,T_0p05N,1,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,12.0,0.00045148924458771945,0.0005647603480610997
gaussian,8,2,2,25.0,T_0p05N,2,100,0.0,0.0,3.622877741713934,2.7678826914441776,3.6649380613301483,4.454754088247532,0.9998971409749257,0.9999999999999998,1.0,1.0000000000000002,0.010285902507432776,0.99,0.99,0.34,6.0,15.4,0.0005509510252159088,0.0008144139719661324
gaussian,8,2,2,25.0,best_tested_T,0,100,0.17,0.0,3.5730799780947247,2.7105156081687785,3.561996439499676,4.450976624535168,0.9867693871077605,0.915486221258156,1.0,1.0000000000000002,1.323061289223939,0.77,0.8,0.0,6.0,0.0,0.000147155491868034,0.0002562004199717194
gaussian,8,2,2,25.0,best_tested_T,1,100,0.17,0.0,3.6199015214726313,2.795242183309441,3.664938061330149,4.454754088247532,0.9992137129895271,0.9999999999999999,1.0,1.0000000000000002,0.07862870104729236,0.99,0.99,0.22,6.0,12.0,0.00045929074054583906,0.0005893922527320683
