sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,max_channel_eig,sigma_over_min_channel_eig,elapsed_seconds,u_g_vs_min_sigma,u_g_vs_best_h12,bf_vs_h2,interference_score_vs_h2
0.001,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217372943377608.38,14.337205486056282,0.09525433141260717,3255.161722445191,4654.310134074498,3.072043988182641e-07,0.01308512500000003,1.0,1.0,1.1252899512015033,0.0004081079062869601
0.001,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139274735661601.25,14.143872342857081,0.09396985381247455,3133.370888108417,3666.3522425976034,3.1914511103525615e-07,0.23181324999999997,1.0,0.6407178993738002,1.0,1.0
0.001,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318403142620580.0,14.502977345548173,0.09635569580738283,3678.655616391511,4981.216724666212,2.7183843889712243e-07,0.38218204199999994,1.0,1.464778171897261,1.2348881571436436,0.0004812323210574088
0.001,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228582219063550.44,14.359042444506679,0.10148873725975924,3324.7200022519455,4629.860608076236,3.007772081025368e-07,0.7538127499999998,1.0,1.0515670235300165,1.1381234986900328,0.00047510955294043826
0.001,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,177948978105839.12,14.250295498356895,0.09621637596837129,3176.11563639068,4020.849978203491,3.1484999744417193e-07,0.4956956670000001,1.0,0.8186344415308207,1.0665974182019764,1.5320523491623699
0.003,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217373400022765.62,14.337206398397353,0.09525433747407004,3255.161722445191,4654.310134074498,9.216131964547923e-07,0.01623120800000022,1.0000021007451532,1.0,1.1252899512015033,0.0004081079062869601
0.003,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139275060565795.75,14.143873355990825,0.09396986054358945,3133.370888108417,3666.3522425976034,9.574353331057685e-07,0.30246062500000015,1.0000023328293746,0.6407180480740027,1.0,1.0
0.003,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318403749152117.1,14.502978172842296,0.09635570130380601,3678.655616391511,4981.216724666212,8.155153166913673e-07,0.4459273750000001,1.0000019049169306,1.4647778850529574,1.2348881571436436,0.0004812323210574088
0.003,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228582692718289.94,14.359043344425436,0.10148874362032394,3324.7200022519455,4629.860608076236,9.023316243076104e-07,0.8658646660000002,1.000002072141663,1.0515669934515923,1.1381234986900328,0.00047510955294043826
0.003,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,177949369840744.72,14.250296454406895,0.09621638242351227,3176.11563639068,4020.849978203491,9.445499923325158e-07,0.7099837500000001,1.0000022013889023,0.8186345239210869,1.0665974182019764,1.5320523491623699
0.01,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217374998286449.06,14.337209591587257,0.09525435868916456,3255.161722445191,4654.310134074498,3.072043988182641e-06,0.01991604200000019,1.000009453379104,1.0,1.1252899512015033,0.0004081079062869601
0.01,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139276197734945.1,14.143876901954247,0.09396988410246049,3133.370888108417,3666.3522425976034,3.1914511103525615e-06,0.38343054100000007,1.0000104977642708,0.6407185685237446,1.0,1.0
0.01,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318405872019289.4,14.502981068368582,0.09635572054126625,3678.655616391511,4981.216724666212,2.7183843889712243e-06,0.5377310839999998,1.00000857214752,1.4647768811006747,1.2348881571436436,0.0004812323210574088
0.01,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228584350515647.8,14.359046494137365,0.10148876588227403,3324.7200022519455,4629.860608076236,3.007772081025368e-06,0.9110525419999993,1.0000093246627235,1.051566888177395,1.1381234986900328,0.00047510955294043826
0.01,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,177950740917989.56,14.250299800577709,0.09621640501647738,3176.11563639068,4020.849978203491,3.1484999744417193e-06,0.5408561249999995,1.0000099062785817,0.8186348122864268,1.0665974182019764,1.5320523491623699
0.03,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217379564802424.4,14.337218714954131,0.09525441930350204,3255.161722445191,4654.310134074498,9.216131964547923e-06,0.015860125000000558,1.0000304611269146,1.0,1.1252899512015033,0.0004081079062869601
0.03,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139279446827989.1,14.143887033238302,0.09396995141325476,3133.370888108417,3666.3522425976034,9.574353331057685e-06,0.30530679100000047,1.000033826424911,0.6407200555147846,1.0,1.0
0.03,Coutino,42abbe8ac011,500,0.5,16998.06276153317,869492.4952103049,318411937412339.25,14.502989341273935,0.0963557755052597,3678.655616391511,4981.216724666212,8.155153166913672e-06,0.43165983299999944,1.0000276215607888,1.4647740126894764,1.2348881571436436,0.0004812323210574088
0.03,MISO-EE,d8e2d29feb02,470,0.53,15666.110772215103,880697.7022929043,228589087128983.7,14.359055493282394,0.10148882948762021,3324.7200022519455,4629.860608076236,9.023316243076104e-06,0.7720667500000005,1.0000300463678293,1.051566587396325,1.1381234986900328,0.00047510955294043826
0.03,Pareto-H2,9f04aa8db124,492,0.508,14681.56427851913,273.11592312157154,177954658325056.03,14.250309361029876,0.09621646956756405,3176.11563639068,4020.849978203491,9.445499923325158e-06,0.4965256249999985,1.0000319204936008,0.8186356361822623,1.0665974182019764,1.5320523491623699
0.1,H1,8ef301c75cfc,500,0.5,15489.45878604032,1025287.3937655017,217395548171900.66,14.33725064635481,0.0952546314511361,3255.161722445191,4654.310134074498,3.072043988182641e-05,0.01589708400000056,1.0001039908368587,1.0,1.1252899512015033,0.0004081079062869601
0.1,H2,396a73922967,500,0.5,13764.860131828063,418.4278916120529,139290819100777.31,14.143922492265524,0.09397018699793226,3133.370888108417,3666.3522425976034,3.191451110352562e-05,0.30740750000000006,1.0001154799475989,0.6407252598872734,1.0,1.0
