K,sigma,metric,metric_label,direction,leader,leader_value,leader_geom_eig,leader_sigma_over_geom_eig
250,0.001,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,7.871541279739768e-07
250,0.003,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,2.3614623839219303e-06
250,0.01,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,7.871541279739768e-06
250,0.03,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,2.3614623839219304e-05
250,0.1,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,7.871541279739769e-05
250,0.3,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.0002361462383921367
250,1.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.0007871541279739267
250,3.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.0023614623839218834
250,10.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.007871541279739713
250,30.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.023614623839219265
250,100.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.07871541279739763
250,300.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.236146238392193
250,1000.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,0.7871541279739769
250,3000.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,2.3614623839219306
250,10000.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,7.871541279739768
250,30000.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,23.614623839219302
250,100000.0,u_bf,BF gain,max,H3-threshold-BF,5232.245253091185,1282.7465366410918,78.71541279739768
250,0.001,u_g,General objective,max,H3-threshold-Gen,2882010493760.475,1283.541633558118,7.867300949163511e-07
250,0.003,u_g,General objective,max,H3-threshold-Gen,2882028244135.8667,1283.541633558118,2.3601902847490535e-06
250,0.01,u_g,General objective,max,H3-threshold-Gen,2882090371094.3403,1283.541633558118,7.867300949163511e-06
250,0.03,u_g,General objective,max,H3-threshold-Gen,2882267882215.0933,1283.541633558118,2.3601902847490532e-05
250,0.1,u_g,General objective,max,H3-threshold-Gen,2882889235600.7153,1283.541633558118,7.867300949163511e-05
250,0.3,u_g,General objective,max,H3-threshold-Gen,2884665083609.958,1283.541633558118,0.00023601902847484666
250,1.0,u_g,General objective,max,H3-threshold-Gen,2890887002093.2285,1283.541633558118,0.0007867300949163067
250,3.0,u_g,General objective,max,H3-threshold-Gen,2908719283600.8765,1283.541633558118,0.00236019028474901
250,10.0,u_g,General objective,max,H3-threshold-Gen,2971781475361.6177,1283.541633558118,0.00786730094916346
250,30.0,u_g,General objective,max,H3-threshold-Gen,3157606389384.755,1283.541633558118,0.023601902847490492
250,100.0,u_g,General objective,max,H3-threshold-Gen,3877161512343.6787,1283.541633558118,0.07867300949163505
250,300.0,u_g,General objective,max,H3-threshold-Gen,6615246922961.231,1283.5115834080095,0.2360251595067694
250,1000.0,u_g,General objective,max,H3-threshold-Gen,28225353651404.69,1283.448622660978,0.786803945760333
250,3000.0,u_g,General objective,max,H3-threshold-Gen,343895730610214.94,1283.448622660978,2.360411837280999
250,10000.0,u_g,General objective,max,H3-threshold-Gen,1.6347305497577542e+16,1283.448622660978,7.86803945760333
250,30000.0,u_g,General objective,max,H3-threshold-Gen,9.607498030929171e+17,1283.1582626328739,23.609775653121645
250,100000.0,u_g,General objective,max,H3-threshold-Gen,1.0533546191122886e+20,1283.1582626328739,78.69925217707214
250,0.001,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,2.602849344220763e-06
250,0.003,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,7.80854803266229e-06
250,0.01,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,2.6028493442207632e-05
250,0.03,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,7.808548032661707e-05
250,0.1,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.00026028493442202663
250,0.3,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.00078085480326618
250,1.0,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.0026028493442207235
250,3.0,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.007808548032662246
250,10.0,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.026028493442207586
250,30.0,u_i,Interference,min,H3-Fast,12.176549827492757,396.82977981119683,0.07808548032662285
