K,heuristic,K_label,unique_selected_sets_mean,unique_selected_sets_min,unique_selected_sets_max
250,Coutino,K<=250 (25% active),7.866666666666666,6,10
250,H1,K<=250 (25% active),1.0,1,1
250,H2,K<=250 (25% active),1.0,1,1
250,H3-Fast,K<=250 (25% active),1.0,1,1
250,H3-threshold-BF,K<=250 (25% active),1.0,1,1
250,H3-threshold-Gen,K<=250 (25% active),1.1,1,2
250,H3-threshold-Int,K<=250 (25% active),1.0,1,1
250,MISO-EE,K<=250 (25% active),8.333333333333334,7,11
250,Pareto-H2,K<=250 (25% active),1.0,1,1
500,Coutino,K<=500 (50% active),7.233333333333333,5,9
500,H1,K<=500 (50% active),1.0,1,1
500,H2,K<=500 (50% active),1.0,1,1
500,H3-Fast,K<=500 (50% active),1.0,1,1
500,H3-threshold-BF,K<=500 (50% active),1.0,1,1
500,H3-threshold-Gen,K<=500 (50% active),1.0666666666666667,1,2
500,H3-threshold-Int,K<=500 (50% active),1.0,1,1
500,MISO-EE,K<=500 (50% active),7.766666666666667,7,11
500,Pareto-H2,K<=500 (50% active),1.0,1,1
