K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
250,0.001,Coutino,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,4657.077442171898,577.7280371158982,102796.27701963083,55703.21046210285,1931802924530.2292,1062914049466.935,12.233737658675041,0.21157374265535392,0.6664921797315652,0.8899658732958714,0.00015805085959329096,2.3630106528311945,0.1625583873353366,952.6889321006857,1152.3531661072172,1381.4044650669166,1.4570657946141272,8.803247815815698e-07,0.2982206387333343,0.001931939791574532,30,30
250,0.001,H1,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3880.1913135877644,733.7230706239754,152193.64486767334,85854.7597611144,993603998642.8812,793485448427.4929,11.87967127402108,0.32887099858064484,0.30359832131045683,0.7355167019532723,0.0001061034637586277,0.9634010971023395,0.15785365505278784,716.926758660192,949.3598819942607,1231.8681974212807,1.735017781587885,1.0904019338779692e-06,0.0055275583333301735,0.0001175792362475523,30,30
250,0.001,H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3486.6166175033295,634.7798506206374,208.60621874437203,85.30219860083348,684424573920.938,523896476740.474,11.727706579044144,0.31489440867458973,0.21647355862071502,0.662323330149888,0.06588002691910431,0.6924251044987307,0.15583439189408838,787.261158177514,868.5612899431052,963.7987150346038,1.226198061971126,1.1884361013722766e-06,0.06748648479999178,0.0008082431301519588,30,30
250,0.001,H3-Fast,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,1594.8368470435423,266.3632317016296,12.176549827492757,4.303598995660407,28649853987.713753,16522482592.60875,10.3681162885843,0.31733111357109517,0.009936309250456651,0.3044392764849662,1.0,0.03495789358362396,0.13776854716042986,352.40739558579605,396.82977981119683,445.21680275830215,1.2753848790123352,2.602849344220763e-06,0.30492206116666115,0.007016719378065933,30,30
250,0.001,H3-threshold-BF,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5232.245253091185,522.4931288401209,231135.03290104654,113976.7194986114,2872557269054.561,1204103985836.1028,12.42411243868237,0.17381229692893185,0.99773090919153,1.0,6.690796185880934e-05,3.523711650877013,0.165088032656394,994.778117668013,1282.7465366410918,1661.9818459404885,1.6850703342104094,7.871541279739768e-07,0.047258754133333754,0.0005747641885898328,30,30
250,0.001,H3-threshold-Gen,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,5230.346914376297,523.7628180740321,216118.17550398616,100044.15921524946,2882010493760.475,1223240080181.0044,12.425110824201937,0.17453255463950643,1.0,0.9996120126257962,6.952207704006663e-05,3.530253451286668,0.1651012989160219,1001.8713989727083,1283.541633558118,1650.010373290632,1.6594510722654867,7.867300949163511e-07,0.5342296221999938,0.00568424424598544,30,30
250,0.001,H3-threshold-Int,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,3693.843271574291,705.2317539234651,179.84098532157174,71.2357712376808,871290107254.8197,649685637837.2688,11.823914730686434,0.3374520619785653,0.27825763340819304,0.7017283247427425,0.07440199889567299,0.9121780764426267,0.1571127781416792,829.7441231734805,919.9219903225688,1023.3575494737586,1.2329244323697002,1.1273797458960453e-06,0.5224176847333414,0.005372497575718138,30,30
250,0.001,MISO-EE,K<=250 (25% active),active_pct,25.0,25.0,75.0,223.63333333333333,14.923906610058474,3935.1980319593463,711.9926788638365,80231.65013947921,50492.085922521976,1078993586808.8063,839322787016.2738,11.925365242185087,0.31137682644587866,0.3334401396331115,0.7466018957073451,0.0002176077342903151,1.0598440451138218,0.17769212843659435,798.0502363686504,972.9851050683094,1174.583387841051,1.478665809563924,1.0601407777773554e-06,0.38133095143335005,0.002137390183954811,30,30
250,0.001,Pareto-H2,K<=250 (25% active),active_pct,25.0,25.0,75.0,241.7,10.80596897632236,3620.882765873476,608.4897498542264,158.27044291878119,83.53813726436768,765212154239.5021,515987398596.5647,11.792161463742087,0.2969559621160895,0.2484032411771661,0.6887006317263195,0.08949955409461574,0.8065528947219148,0.16229060601930526,781.3759273717435,899.6556989484908,1016.9612129049186,1.313318412919629,1.1433572433235617e-06,0.18799554450000713,0.0019369364817848097,30,30
250,0.003,Coutino,K<=250 (25% active),active_pct,25.0,25.0,75.0,250.0,0.0,4657.077442171898,577.7280371158982,102796.27701963083,55703.21046210285,1931815863343.7017,1062919167998.8158,12.23374074975385,0.21157336997731183,0.6664925650256687,0.8899658732958714,0.00015805085959329096,2.3630056257409064,0.16255842840870274,952.6889321006857,1152.3531661072172,1381.4044650669166,1.4570657946141272,2.64097434474471e-06,0.2978481513333377,0.002938547457388639,30,30
