K,sigma,metric,metric_label,heuristic,win_share,winner_hits,samples,win_fraction,winner_rate
250,0.001,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.001,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,0.003,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.003,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,0.01,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.01,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,0.03,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.03,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,0.1,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.1,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,0.3,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,0.3,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,1.0,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,1.0,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,3.0,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,3.0,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,10.0,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,10.0,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,30.0,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,30.0,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,100.0,u_bf,BF gain,H3-threshold-BF,17.0,30.0,30,0.5666666666666667,1.0
250,100.0,u_bf,BF gain,H3-threshold-Gen,13.0,26.0,30,0.43333333333333335,0.8666666666666667
250,300.0,u_bf,BF gain,H3-threshold-BF,16.5,30.0,30,0.55,1.0
