K,sigma,metric,metric_label,direction,leader,leader_value,leader_geom_eig,leader_sigma_over_geom_eig
500,1e-10,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-14
500,1e-09,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-13
500,1e-08,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-12
500,1e-07,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-11
500,1e-06,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-10
500,1e-05,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.7096413276555858e-09
500,0.0001,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-08
500,0.001,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-07
500,0.01,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-06
500,0.1,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,2.709641327655586e-05
500,1.0,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,0.0002709641327655586
500,10.0,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,0.002709641327655586
500,100.0,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,0.027096413276555858
500,1000.0,u_bf,BF gain,max,H3-threshold-BF,15164.216610397245,3754.8361699698607,0.2709641327655586
500,1e-10,u_g,General objective,max,H3-threshold-BF,219506605070472.9,3754.8361699698607,2.709641327655586e-14
500,1e-09,u_g,General objective,max,H3-threshold-BF,219506605070675.22,3754.8361699698607,2.709641327655586e-13
500,1e-08,u_g,General objective,max,H3-threshold-BF,219506605072697.5,3754.8361699698607,2.709641327655586e-12
500,1e-07,u_g,General objective,max,H3-threshold-BF,219506605092920.66,3754.8361699698607,2.709641327655586e-11
500,1e-06,u_g,General objective,max,H3-threshold-BF,219506605295150.88,3754.8361699698607,2.709641327655586e-10
500,1e-05,u_g,General objective,max,H3-threshold-BF,219506607317452.2,3754.8361699698607,2.7096413276555858e-09
500,0.0001,u_g,General objective,max,H3-threshold-BF,219506627540466.72,3754.8361699698607,2.709641327655586e-08
500,0.001,u_g,General objective,max,H3-threshold-BF,219506829770690.8,3754.8361699698607,2.709641327655586e-07
500,0.01,u_g,General objective,max,H3-threshold-BF,219508852080691.7,3754.8361699698607,2.709641327655586e-06
500,0.1,u_g,General objective,max,H3-threshold-BF,219529075956924.97,3754.8361699698607,2.709641327655586e-05
500,1.0,u_g,General objective,max,H3-threshold-BF,219731392355132.5,3754.8361699698607,0.0002709641327655586
500,10.0,u_g,General objective,max,H3-threshold-BF,221762333431979.06,3754.8361699698607,0.002709641327655586
500,100.0,u_g,General objective,max,H3-threshold-BF,242863050374509.4,3754.8361699698607,0.027096413276555858
500,1000.0,u_g,General objective,max,H3-threshold-BF,547487553987997.3,3754.8361699698607,0.2709641327655586
500,1e-10,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-14
500,1e-09,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-13
500,1e-08,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.8324712926427146e-12
500,1e-07,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642715e-11
500,1e-06,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642715e-10
500,1e-05,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-09
500,0.0001,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-08
500,0.001,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-07
500,0.01,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642716e-06
500,0.1,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,6.832471292642715e-05
500,1.0,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,0.0006832471292642715
500,10.0,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,0.006832471292642715
500,100.0,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,0.06832471292642715
500,1000.0,u_i,Interference,min,H3-Fast,44.144625508692116,1521.6675434640283,0.6832471292642716
750,1e-10,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300776e-14
750,1e-09,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300775e-13
750,1e-08,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300773e-12
750,1e-07,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300773e-11
750,1e-06,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300773e-10
750,1e-05,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300775e-09
750,0.0001,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300776e-08
750,0.001,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300773e-07
750,0.01,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300774e-06
750,0.1,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,1.6275942757300777e-05
750,1.0,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,0.00016275942757300774
750,10.0,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,0.0016275942757300772
750,100.0,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,0.016275942757300772
750,1000.0,u_bf,BF gain,max,H3-threshold-BF,25207.211331998024,6256.4342452282435,0.16275942757300774
750,1e-10,u_g,General objective,max,H3-threshold-BF,1696649130796781.5,6256.4342452282435,1.6275942757300776e-14
750,1e-09,u_g,General objective,max,H3-threshold-BF,1696649130797715.2,6256.4342452282435,1.6275942757300775e-13
750,1e-08,u_g,General objective,max,H3-threshold-BF,1696649130807066.5,6256.4342452282435,1.6275942757300773e-12
750,1e-07,u_g,General objective,max,H3-threshold-BF,1696649130900563.2,6256.4342452282435,1.6275942757300773e-11
750,1e-06,u_g,General objective,max,H3-threshold-BF,1696649131835540.5,6256.4342452282435,1.6275942757300773e-10
750,1e-05,u_g,General objective,max,H3-threshold-BF,1696649141185298.5,6256.4342452282435,1.6275942757300775e-09
750,0.0001,u_g,General objective,max,H3-threshold-BF,1696649234682941.2,6256.4342452282435,1.6275942757300776e-08
750,0.001,u_g,General objective,max,H3-threshold-BF,1696650169659555.5,6256.4342452282435,1.6275942757300773e-07
750,0.01,u_g,General objective,max,H3-threshold-BF,1696659519447172.8,6256.4342452282435,1.6275942757300774e-06
750,0.1,u_g,General objective,max,H3-threshold-BF,1696753019473097.8,6256.4342452282435,1.6275942757300777e-05
750,1.0,u_g,General objective,max,H3-threshold-BF,1697688234732829.5,6256.4342452282435,0.00016275942757300774
750,10.0,u_g,General objective,max,H3-threshold-BF,1707061909822856.5,6256.4342452282435,0.0016275942757300772
750,100.0,u_g,General objective,max,H3-threshold-BF,1802973446051626.0,6256.4342452282435,0.016275942757300772
750,1000.0,u_g,General objective,max,H3-threshold-BF,3002993417959481.0,6256.4342452282435,0.16275942757300774
750,1e-10,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.256033901661771e-14
750,1e-09,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.256033901661772e-13
750,1e-08,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.256033901661771e-12
750,1e-07,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.256033901661771e-11
750,1e-06,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.256033901661771e-10
750,1e-05,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.2560339016617715e-09
750,0.0001,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.2560339016617715e-08
750,0.001,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.2560339016617714e-07
750,0.01,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.2560339016617715e-06
750,0.1,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,3.2560339016617716e-05
750,1.0,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,0.00032560339016617714
750,10.0,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,0.0032560339016617715
750,100.0,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,0.032560339016617715
750,1000.0,u_i,Interference,min,H3-Fast,82.93799640797079,3268.5888900830987,0.3256033901661771
