sigma,heuristic,selection_hash,active_count,turned_off_fraction,u_bf,u_i,u_g,log10_u_g,log2_u_g_per_active,min_channel_eig,geom_channel_eig,max_channel_eig,condition_channel_eig,sigma_over_min_channel_eig,sigma_over_geom_channel_eig,sigma_over_max_channel_eig,elapsed_seconds,sample,seed,N,L,K,K_mode,K_value,active_pct,off_pct,K_label,P,best_u_g_case,best_u_bf_case,best_u_i_case,u_g_vs_best_case,u_bf_vs_best_case,u_i_vs_best_case,best_h12_u_g,u_g_vs_best_h12,h2_u_bf,h2_u_i,bf_vs_h2,interference_score_vs_h2
1e-10,H1,2764044d8504,750,0.25,25380.550676344763,2235943.076687515,1577558105145437.0,15.197985364289739,0.06731548608976137,5477.283284615477,6302.26036319117,7544.41401798341,1.3774007342607353,1.825722622031961e-14,1.5867322871022213e-14,1.3254839906934161e-14,0.020858400035649538,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.48356604904975886,0.8359930157293128,4.3782637044717476e-05,1577558105145437.0,1.0,22873.148348902374,313.6053749471903,1.1096220900242932,0.00014025642164906433
1e-10,H2,f342926fe651,750,0.25,22873.148348902374,313.6053749471903,1064872224215867.1,15.027297499185888,0.0665594690037016,5343.192918303138,5712.4758201843415,6022.844525853201,1.1271995261900263,1.871540135813727e-14,1.7505544556821074e-14,1.6603450341569944e-14,0.10865219996776432,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.32641336793070025,0.7534033643030756,0.3121613722205606,1577558105145437.0,0.6750129968225134,22873.148348902374,313.6053749471903,1.0,1.0
1e-10,Coutino,43ec302979cc,750,0.25,27901.89042577338,2161628.7335940003,2316419022329390.0,15.364817122682839,0.0680544235635287,6117.5543375667385,6937.520519508299,8161.331928423353,1.3340840927731799,1.6346401598089453e-14,1.4414371780061787e-14,1.225290196220686e-14,0.28468889999203384,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.710047757301631,0.9190417425943117,4.5287834426818455e-05,1577558105145437.0,1.4683573395959553,22873.148348902374,313.6053749471903,1.2198535155792107,0.00014507827827851775
1e-10,MISO-EE,94e57cb87931,696,0.30400000000000005,25685.20657063729,1902657.7986349165,1661821669156441.0,15.220584417608947,0.07264610200784478,5585.065119634804,6384.7824552266975,7515.008806095191,1.345554374948198,1.790489418797301e-14,1.566224075780972e-14,1.330670430071793e-14,0.414610099978745,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.5093952077950059,0.8460278728558249,5.1451965902378547e-05,1577558105145437.0,1.0534139210062476,22873.148348902374,313.6053749471903,1.122941458641388,0.0001648248966115662
1e-10,Pareto-H2,908d5fc28b6f,737,0.263,24318.29775208835,206.8108188509941,1360049687255371.8,15.133554774919224,0.06821245696380049,5600.742283892904,6072.796019170938,6296.854739283107,1.1242893209694977,1.785477619414637e-14,1.6466879454589694e-14,1.5880944398502188e-14,0.33647770003881305,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.41689358485899225,0.8010041757730517,0.47335765470660135,1577558105145437.0,0.8621233555958226,22873.148348902374,313.6053749471903,1.0631810444780911,1.516387666223308
1e-10,H3-threshold-BF,d9447dbdee78,750,0.25,30359.764015735225,1822090.7796301544,3262342565706275.5,15.513529562646792,0.0687131062733627,6669.337247058057,7557.573693652187,8625.012574143993,1.2932338333840612,1.49939936002054e-14,1.3231759828421222e-14,1.1594185995714297e-14,0.018457200028933585,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,1.0,1.0,5.372700705896171e-05,1577558105145437.0,2.0679698294887947,22873.148348902374,313.6053749471903,1.3273102396151826,0.00017211292568575836
1e-10,H3-threshold-Int,907436c5dd9d,750,0.25,27257.970158125936,277.06635385751724,2148257199930461.5,15.332086276014302,0.06790945087137182,6593.399492054209,6808.031695800637,7332.17239117709,1.1120473437129337,1.5166683001767343e-14,1.46885332601613e-14,1.3638522754911145e-14,0.19172439991962165,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.658501416286851,0.8978320827526309,0.3533286623088186,1577558105145437.0,1.361761061556849,22873.148348902374,313.6053749471903,1.191701716892593,1.1318782327083403
1e-10,H3-threshold-Gen,d9447dbdee78,750,0.25,30359.764015735225,1822090.7796301544,3262342565706275.5,15.513529562646792,0.0687131062733627,6669.337247058057,7557.573693652187,8625.012574143993,1.2932338333840612,1.49939936002054e-14,1.3231759828421222e-14,1.1594185995714297e-14,0.21133600000757724,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,1.0,1.0,5.372700705896171e-05,1577558105145437.0,2.0679698294887947,22873.148348902374,313.6053749471903,1.3273102396151826,0.00017211292568575836
1e-10,H3-Fast,ff306c062771,750,0.25,17747.03913810636,97.89548417925835,385784171606467.06,14.58634440494346,0.06460638304064635,4197.673817849819,4431.860698214853,4760.541876648731,1.1340904708711337,2.3822718090855177e-14,2.2563886098739487e-14,2.1006012044661772e-14,0.38755600003059953,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565706275.5,30359.764015735225,97.89548417925835,0.11825372836740931,0.5845578749857282,1.0,1577558105145437.0,0.24454514248836567,22873.148348902374,313.6053749471903,0.7758896531162487,3.2034713100038537
1e-09,H1,2764044d8504,750,0.25,25380.550676344763,2235943.076687515,1577558105146344.8,15.197985364289988,0.06731548608976248,5477.283284615477,6302.26036319117,7544.41401798341,1.3774007342607353,1.825722622031961e-13,1.5867322871022212e-13,1.325483990693416e-13,0.017787600052542984,0,42,1000,4,750,off_pct,25.0,75.0,25.0,"K<=750 (25% off, 75% active)",1.0,3262342565707828.5,30359.764015735225,97.89548417925835,0.48356604904980693,0.8359930157293128,4.3782637044717476e-05,1577558105146344.8,1.0,22873.148348902374,313.6053749471903,1.1096220900242932,0.00014025642164906433
