K,sigma,heuristic,K_label,K_mode,K_value,active_pct,off_pct,active_count_mean,active_count_std,u_bf_mean,u_bf_std,u_i_mean,u_i_std,u_g_mean,u_g_std,log10_u_g_mean,log10_u_g_std,u_g_vs_best_case_mean,u_bf_vs_best_case_mean,u_i_vs_best_case_mean,u_g_vs_best_h12_mean,log2_u_g_per_active_mean,min_channel_eig_mean,geom_channel_eig_mean,max_channel_eig_mean,condition_channel_eig_mean,sigma_over_geom_channel_eig_mean,elapsed_seconds_mean,elapsed_seconds_std,samples,selection_hashes
500,1e-10,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313112118632.94,79828361704822.64,14.097166314484472,0.229512152267227,0.6571604435076719,0.896327674124269,7.982983240700598e-05,2.6888112391232992,0.0936595456767714,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.01351222572063e-14,0.32502833001781256,0.08751886878849553,10,10
500,1e-10,H1,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10876.364746301622,2594.847546076466,626361.0653784412,253413.94663672097,69756104222273.92,64642912200271.586,13.67346184715808,0.42036639328569586,0.26564571718131547,0.7084110453407062,7.533856760010612e-05,0.9412407204729142,0.09084451412888976,2189.5999547781494,2689.8636477490036,3256.3476967549022,1.5031189424868292,3.917870363933309e-14,0.015129310009069741,0.004386383956232677,10,10
500,1e-10,H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,9893.066029616382,2189.2544494722342,264.7547242404893,114.81004352954436,47386731387225.22,40506612009319.31,13.530720960086384,0.39064493681844925,0.1920680567379237,0.6468496009859805,0.17850604999047806,0.6871646203909016,0.08989616420278454,2276.462823292512,2468.4171421803726,2653.3644590426225,1.162639498334145,4.239206345727514e-14,0.10617168998578563,0.03018868055673601,10,10
500,1e-10,H3-Fast,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,6097.366325043381,1272.6799016453363,44.144625508692116,18.185201211418352,6718439245570.805,5722112169920.827,12.69547043604381,0.36147432083390846,0.027612390002659942,0.39940342248620014,1.0,0.10269894800696618,0.08434687983861168,1423.6769556197924,1521.6675434640283,1638.7571896653644,1.1549965635479587,6.832471292642716e-14,0.4410827800165862,0.09318762884233718,10,10
500,1e-10,H3-threshold-BF,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605070472.9,116947740589631.08,14.283385888137326,0.24090266134606828,1.0,1.0,5.299372479297363e-05,4.038192230753719,0.09489676174384214,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-14,0.035151980014052245,0.006277025942825814,10,10
500,1e-10,H3-threshold-Gen,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,15164.216610397245,2059.7322388172383,995519.1880497836,447444.8166225405,219506605070472.9,116947740589631.08,14.283385888137326,0.24090266134606828,1.0,1.0,5.299372479297363e-05,4.038192230753719,0.09489676174384214,3152.544908988872,3754.8361699698607,4515.392073821912,1.44395718032749,2.709641327655586e-14,0.44636577998753635,0.09629917903283913,10,10
500,1e-10,H3-threshold-Int,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,10187.243054014332,2361.1487412937513,223.00242040082813,101.50993602956392,55579501584717.19,56778512919413.445,13.582097139664544,0.3856279364014146,0.21649310803990476,0.6658338355455095,0.20800564112989997,0.8040174143946967,0.09023750015148187,2383.060685017599,2543.318415190969,2721.126119932518,1.1394766633577642,4.109684327549875e-14,0.4193585000000894,0.09277886110476981,10,10
500,1e-10,MISO-EE,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,429.6,32.31855332295815,11136.798616312526,2509.3703524571624,435771.3004382726,231871.1541068838,75483670289713.22,66853125160050.05,13.726599449423755,0.39335743690191843,0.2950848910790462,0.7267468952999291,0.00011462209991985601,1.0541884132637467,0.10649919912790469,2346.1142719793706,2764.539676313973,3231.3462109656552,1.3822219822687003,3.787380552885466e-14,0.4485815800027922,0.11034820679098584,10,10
500,1e-10,Pareto-H2,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,490.3,10.209472725529627,10674.477915907128,2008.608254123817,188.2411411255598,69.98697955427545,60813091905149.06,49893667420176.66,13.675490193254422,0.31229630395125607,0.25758588162481233,0.7013238401032036,0.24677146483811613,0.9891746216032704,0.0926874712403784,2464.0479327468934,2662.9197075686657,2866.6275276943816,1.161869528692819,3.8659044506946874e-14,0.3376828900189139,0.0871136615720131,10,10
500,1e-09,Coutino,"K<=500 (50% off, 50% active)",off_pct,50.0,50.0,50.0,500.0,0.0,13577.902990595685,1819.4708572460286,616518.4126055278,256973.52682728527,142313112118778.75,79828361704883.14,14.097166314484946,0.22951215226716593,0.6571604435077398,0.896327674124269,7.982983240700598e-05,2.6888112391222916,0.09365954567677455,2866.8172532023273,3370.8616319481503,3928.622760589465,1.3737768074668766,3.0135122257206296e-13,0.3140173299936578,0.0699611924578707,10,10
