K,sigma,metric,metric_label,heuristic,win_share,winner_hits,samples,win_fraction,winner_rate
500,1e-10,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-10,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-09,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-09,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-08,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-08,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-07,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-07,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-06,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-06,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-05,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-05,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.0001,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.0001,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.001,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.001,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.01,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.01,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.1,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.1,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1.0,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1.0,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,10.0,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,10.0,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,100.0,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,100.0,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1000.0,u_bf,BF gain,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1000.0,u_bf,BF gain,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-10,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-10,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-09,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-09,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-08,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-08,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-07,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-07,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-06,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-06,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1e-05,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1e-05,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.0001,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.0001,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.001,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.001,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.01,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.01,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,0.1,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,0.1,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,1.0,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,1.0,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,10.0,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
500,10.0,u_g,General objective,H3-threshold-Gen,5.0,10.0,10,0.5,1.0
500,100.0,u_g,General objective,H3-threshold-BF,5.0,10.0,10,0.5,1.0
