data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,28,2,7,75.0,25.0,T_0p025N,N,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p05K,K,5,0,0.0,0,0.0,36.3969464479574,0.8573153771952381,0.6284544898953087,0.9394655006592207,0.9717317417848093,14.268462280476195,0.0
gaussian,28,2,7,75.0,25.0,T_0p05N,N,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p05NL_over_Lp2,N_L,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p075N,N,5,2,2.0,2,0.0,29.792013700041394,0.6907463435400059,0.546476952631055,0.6462315692983689,0.8746993205170007,30.92536564599942,0.0
gaussian,28,2,7,75.0,25.0,T_0p075NL_over_Lp2,N_L,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p10K,K,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p10N,N,5,3,3.0,3,0.0,29.530518559375857,0.7045592998941984,0.6195057113601634,0.6701010601557328,0.7988968259513861,29.54407001058015,0.0
gaussian,28,2,7,75.0,25.0,T_0p10NL_over_Lp2,N_L,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p125NL_over_Lp2,N_L,5,2,2.0,2,0.0,29.792013700041394,0.6907463435400059,0.546476952631055,0.6462315692983689,0.8746993205170007,30.92536564599942,0.0
gaussian,28,2,7,75.0,25.0,T_0p15K,K,5,1,1.0,1,0.0,36.99803212372665,0.8590492326309004,0.7420449971659052,0.8387378709079742,0.9894719466993308,14.09507673690996,0.2
gaussian,28,2,7,75.0,25.0,T_0p15NL_over_Lp2,N_L,5,2,2.0,2,0.0,29.792013700041394,0.6907463435400059,0.546476952631055,0.6462315692983689,0.8746993205170007,30.92536564599942,0.0
