data_profile,generator_seed,sample,N,L,K,off_pct,active_pct,sigma,P,exact_completed,exact_timed_out,exact_candidate_count,exact_evaluated_count,exact_elapsed_seconds,exact_subset,exact_window_T,exact_is_threshold_window,exact_u_bf,exact_u_i,exact_u_g,exact_u_g_db,best_tested_T,best_tested_u_bf,best_tested_u_i,best_tested_u_g,best_tested_u_g_db,best_tested_subset,best_tested_fraction_exact_u_g,best_tested_gap_to_exact_pct
gaussian,42,0,28,2,7,75.0,25.0,1.0,1.0,True,False,1184040,1184040,1.2842653699917719,3 6 7 11 15 22 27,,False,12.256400633895426,26.259376131554674,37.587157343725735,15.750394819623839,1,13.143847541836907,43.39810064600434,35.60855936404897,15.515544035282234,3 7 11 15 18 22 27,0.9473597334966583,5.264026650334175
gaussian,42,0,28,2,14,50.0,50.0,1.0,1.0,True,False,40116600,40116600,63.517147866950836,1 3 6 7 8 11 13 15 17 18 19 22 25 27,,False,33.68930767639777,50.55572937215542,290.90053201256245,24.637445155059417,1,34.298114852305396,69.61532135978136,289.6624256631952,24.618921631862353,1 3 6 7 8 11 13 15 18 19 22 24 25 27,0.9957438842039871,0.4256115796012927
gaussian,42,1,28,2,7,75.0,25.0,1.0,1.0,True,False,1184040,1184040,1.218660173995886,5 15 17 20 22 26 27,,False,10.921818048300496,1.2204698566615808,41.029632835708,16.130976305876917,0,11.718360099643153,10.091764044566991,39.963116618138415,16.01659350356728,5 6 17 20 22 26 27,0.974006196403459,2.599380359654102
gaussian,42,1,28,2,14,50.0,50.0,1.0,1.0,True,False,40116600,40116600,61.57269818801433,0 5 6 7 9 10 11 15 17 18 20 22 26 27,0.0,True,25.017247014293783,4.850984568553828,179.8709448476882,22.549610159780222,0,25.017247014293787,4.850984568553828,179.8709448476882,22.549610159780222,0 5 6 7 9 10 11 15 17 18 20 22 26 27,1.0,0.0
gaussian,42,2,28,2,7,75.0,25.0,1.0,1.0,True,False,1184040,1184040,1.1979233210440725,1 2 5 14 19 21 23,,False,11.56503521008825,19.36375352931062,36.295455488677426,15.598522509384605,0,11.92847024232398,27.10357411515471,34.93923671539667,15.433134131279596,1 2 6 14 19 21 23,0.9626339233102106,3.736607668978942
gaussian,42,2,28,2,14,50.0,50.0,1.0,1.0,True,False,40116600,40116600,60.7150865609874,1 2 5 6 12 13 14 15 16 19 20 21 22 23,0.0,True,23.435782989800348,33.712134671306515,144.2977960099823,21.592596977739326,0,23.435782989800348,33.71213467130646,144.29779600998216,21.59259697773932,1 2 5 6 12 13 14 15 16 19 20 21 22 23,0.999999999999999,9.992007221626409e-14
gaussian,42,3,28,2,7,75.0,25.0,1.0,1.0,True,False,1184040,1184040,1.199506904988084,0 14 18 21 22 23 25,1.0,True,14.20881746898993,6.571232897889273,58.79102347926617,17.693110207866084,1,14.20881746898993,6.571232897889273,58.791023479266116,17.69311020786608,0 14 18 21 22 23 25,0.999999999999999,9.992007221626409e-14
gaussian,42,3,28,2,14,50.0,50.0,1.0,1.0,True,False,40116600,40116600,61.01330394402612,0 2 5 7 9 10 12 14 16 18 21 22 23 25,1.0,True,34.98592812911811,13.642955300519398,335.16160903775346,25.252542667066802,1,34.98592812911811,13.642955300519398,335.16160903775346,25.252542667066802,0 2 5 7 9 10 12 14 16 18 21 22 23 25,1.0,0.0
gaussian,42,4,28,2,7,75.0,25.0,1.0,1.0,True,False,1184040,1184040,1.1871817110222764,11 12 13 15 18 20 26,,False,11.68952115990348,13.391664468056973,38.74503436248523,15.882160503995005,0,12.439656925608363,20.55331560139419,36.399623105410896,15.610968868334592,6 11 12 13 15 20 26,0.9394655006592207,6.053449934077926
gaussian,42,4,28,2,14,50.0,50.0,1.0,1.0,True,False,40116600,40116600,59.90136110101594,6 8 10 11 12 13 15 17 18 19 20 21 25 26,,False,26.777596406127298,59.142388900878586,175.6238207905082,22.445834212298266,0,26.95113587625643,65.55219438239169,174.40536230461498,22.41559833712965,5 6 8 10 11 12 13 15 17 18 19 20 25 26,0.9930621115039591,0.6937888496040934
