data_profile,N,L,K,off_pct,active_pct,formula,formula_family,cases,T_min,T_p50,T_max,outside_dense_rate,u_g_mean,fraction_exact_mean,fraction_exact_p05,fraction_exact_p50,fraction_exact_p95,gap_to_exact_pct_mean,exact_rate
gaussian,8,2,2,75.0,25.0,T_0p025N,N,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p05K,K,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p05N,N,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p05NL_over_Lp2,N_L,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p075N,N,100,1,1.0,1,0.0,3.01276983268032,0.8319652898581867,0.6683160275210838,0.8366935427977176,1.0,16.80347101418132,0.11
gaussian,8,2,2,75.0,25.0,T_0p075NL_over_Lp2,N_L,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p10K,K,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p10N,N,100,1,1.0,1,0.0,3.01276983268032,0.8319652898581867,0.6683160275210838,0.8366935427977176,1.0,16.80347101418132,0.11
gaussian,8,2,2,75.0,25.0,T_0p10NL_over_Lp2,N_L,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
gaussian,8,2,2,75.0,25.0,T_0p125NL_over_Lp2,N_L,100,0,0.0,0,0.0,3.5377652601634475,0.9772817517360667,0.8698089982999487,1.0,1.0,2.271824826393321,0.65
