data_profile,N,L,K,off_pct,active_pct,cases,exact_completed_rate,exact_timeout_rate,exact_candidate_count_mean,exact_elapsed_mean,exact_elapsed_p95,best_tested_T_min,best_tested_T_p05,best_tested_T_p50,best_tested_T_p95,best_tested_T_max,best_tested_T_mean,threshold_fraction_exact_mean,threshold_fraction_exact_p05,threshold_fraction_exact_p50,threshold_fraction_exact_p95,threshold_exact_rate,threshold_near_99_rate,exact_is_threshold_window_rate
gaussian,8,2,2,75.0,25.0,100,1.0,0.0,28.0,0.000192164541222101,0.000306300140800865,0,0.0,0.0,1.0,2,0.17,0.9867693871077605,0.9154862212581559,1.0,1.0,0.77,0.8,0.77
gaussian,8,2,4,50.0,50.0,100,1.0,0.0,70.0,0.000262494762428055,0.0003782413143198799,0,0.0,0.0,0.0,1,0.02,0.9980228418559477,0.9841627049943068,1.0,1.0000000000000004,0.9,0.94,0.9
gaussian,12,2,3,75.0,25.0,100,1.0,0.0,220.0,0.000435260568046897,0.0007043596211587799,0,0.0,0.0,1.0,1,0.06,0.9965369695941113,0.9758672015079011,1.0,1.0000000000000002,0.9,0.94,0.9
gaussian,12,2,6,50.0,50.0,100,1.0,0.0,924.0,0.001460442604729853,0.002038297083345235,0,0.0,0.0,1.0499999999999972,3,0.32,0.9890432010052207,0.9231396597426507,1.0,1.0000000000000009,0.76,0.79,0.76
gaussian,16,2,4,75.0,25.0,100,1.0,0.0,1820.0,0.002407497692620327,0.0032641943282214,0,0.0,0.0,1.0,2,0.19,0.9936330169100933,0.9535387319649727,1.0,1.0000000000000004,0.82,0.85,0.82
gaussian,16,2,8,50.0,50.0,100,1.0,0.0,12870.0,0.017503310749889305,0.023208699648966984,0,0.0,0.0,2.0,4,0.48,0.9863403096012162,0.936591537234831,0.9999999999999992,1.0000000000000004,0.57,0.66,0.57
gaussian,20,2,5,75.0,25.0,100,1.0,0.0,15504.0,0.015442525598918972,0.019428126647835522,0,0.0,0.0,2.0,3,0.46,0.9875267859723216,0.9250443458573351,1.0,1.0000000000000004,0.67,0.74,0.67
gaussian,20,2,10,50.0,50.0,100,1.0,0.0,184756.0,0.24172887543216345,0.2748149859922705,0,0.0,0.0,3.0,4,0.72,0.9888467577703871,0.9405217321516592,0.9999999999999996,1.0000000000000009,0.62,0.72,0.62
gaussian,24,2,6,75.0,25.0,100,1.0,0.0,134596.0,0.14392244766699147,0.1721349850384285,0,0.0,0.0,3.0,4,0.67,0.9793051282281574,0.912064436871476,0.9999999999999996,1.0000000000000004,0.56,0.61,0.56
gaussian,24,2,12,50.0,50.0,100,1.0,0.0,2704156.0,3.9778077320399463,4.464497119787848,0,0.0,1.0,3.0,4,0.82,0.9878435058572955,0.9471977424808746,0.9999999999999992,1.0000000000000009,0.55,0.67,0.55
