data_profile,N,L,K,off_pct,active_pct,cases,exact_completed_rate,exact_timeout_rate,exact_candidate_count_mean,exact_elapsed_mean,exact_elapsed_p95,best_tested_T_min,best_tested_T_p05,best_tested_T_p50,best_tested_T_p95,best_tested_T_max,best_tested_T_mean,threshold_fraction_exact_mean,threshold_fraction_exact_p05,threshold_fraction_exact_p50,threshold_fraction_exact_p95,threshold_exact_rate,threshold_near_99_rate,exact_is_threshold_window_rate
gaussian,8,2,2,70.0,30.0,100,1.0,0.0,28.0,0.00014002461975901498,0.00021096093696537996,0,0.0,0.0,1.0,2,0.17,0.9867693871077605,0.9154862212581559,1.0,1.0,0.77,0.8,0.77
gaussian,8,2,2,75.0,25.0,100,1.0,0.0,28.0,0.000142724839388342,0.00022267747262950992,0,0.0,0.0,1.0,2,0.17,0.9867693871077605,0.9154862212581559,1.0,1.0,0.77,0.8,0.77
gaussian,8,2,3,60.0,40.0,100,1.0,0.0,56.0,0.00017347051354586098,0.000264330318896085,0,0.0,0.0,0.0,1,0.04,0.9981942445632295,0.9946621350684957,1.0,1.0,0.91,0.96,0.91
gaussian,8,2,3,65.0,35.0,100,1.0,0.0,56.0,0.000175028753583273,0.0002262889815028249,0,0.0,0.0,0.0,1,0.04,0.9981942445632295,0.9946621350684957,1.0,1.0,0.91,0.96,0.91
gaussian,8,2,4,50.0,50.0,100,1.0,0.0,70.0,0.000191738057765126,0.00023629681381855995,0,0.0,0.0,0.0,1,0.02,0.9980228418559477,0.9841627049943068,1.0,1.0000000000000004,0.9,0.94,0.9
gaussian,8,2,4,55.0,45.0,100,1.0,0.0,70.0,0.000194843561039258,0.00027866924938273495,0,0.0,0.0,0.0,1,0.02,0.9980228418559477,0.9841627049943068,1.0,1.0000000000000004,0.9,0.94,0.9
gaussian,12,2,3,75.0,25.0,100,1.0,0.0,220.0,0.000352685839752619,0.00046850817161610996,0,0.0,0.0,1.0,1,0.06,0.9965369695941113,0.9758672015079011,1.0,1.0000000000000002,0.9,0.94,0.9
gaussian,12,2,4,65.0,35.0,100,1.0,0.0,495.0,0.000583322240854567,0.000755887862760485,0,0.0,0.0,1.0,2,0.19,0.9927734920870988,0.9257953547431895,1.0,1.0000000000000004,0.83,0.88,0.83
gaussian,12,2,4,70.0,30.0,100,1.0,0.0,495.0,0.000585838081897184,0.0007625860307598299,0,0.0,0.0,1.0,2,0.19,0.9927734920870988,0.9257953547431895,1.0,1.0000000000000004,0.83,0.88,0.83
gaussian,12,2,5,55.0,45.0,100,1.0,0.0,792.0,0.000866246171062766,0.0011365828278939198,0,0.0,0.0,1.0,4,0.31,0.9955670503432479,0.9656826186176464,1.0,1.0000000000000004,0.84,0.88,0.84
gaussian,12,2,5,60.0,40.0,100,1.0,0.0,792.0,0.000903279414633239,0.0012503766483859399,0,0.0,0.0,1.0,4,0.31,0.9955670503432479,0.9656826186176464,1.0,1.0000000000000004,0.84,0.88,0.84
gaussian,12,2,6,50.0,50.0,100,1.0,0.0,924.0,0.001133739688666491,0.0014418777514947,0,0.0,0.0,1.0499999999999972,3,0.32,0.9890432010052207,0.9231396597426507,1.0,1.0000000000000009,0.76,0.79,0.76
gaussian,16,2,4,75.0,25.0,100,1.0,0.0,1820.0,0.001986307843471827,0.0021756497211753846,0,0.0,0.0,1.0,2,0.19,0.9936330169100933,0.9535387319649727,1.0,1.0000000000000004,0.82,0.85,0.82
gaussian,16,2,5,70.0,30.0,100,1.0,0.0,4368.0,0.004690995682612945,0.00507708230288694,0,0.0,0.0,2.0,5,0.37,0.9889647539318012,0.9085214843827064,1.0,1.0000000000000004,0.76,0.8,0.76
gaussian,16,2,6,60.0,40.0,100,1.0,0.0,8008.0,0.008646256729261908,0.00915519949339789,0,0.0,0.0,2.0,4,0.42,0.9859256484381822,0.9289234689503841,1.0,1.0000000000000009,0.65,0.72,0.65
gaussian,16,2,6,65.0,35.0,100,1.0,0.0,8008.0,0.008990435947780448,0.009854847533279044,0,0.0,0.0,2.0,4,0.42,0.9859256484381822,0.9289234689503841,1.0,1.0000000000000009,0.65,0.72,0.65
gaussian,16,2,7,55.0,45.0,100,1.0,0.0,11440.0,0.01302227383828717,0.013881566037889544,0,0.0,0.0,2.0,4,0.44,0.9861684091189457,0.9125748033515148,1.0,1.0000000000000009,0.63,0.73,0.63
