data_profile,off_pct,K,cases,best_T_min,best_T_p10,best_T_p25,best_T_median,best_T_p75,best_T_p90,best_T_max,best_T_mean,best_T_over_N_mean,best_T_over_off_count_mean
gaussian,25.0,750,400,11,38.0,38.0,48.0,50.25,78.0,100,50.6625,0.0506625,0.20265
gaussian,50.0,500,400,10,25.0,44.0,50.0,75.0,77.0,100,52.9875,0.0529875,0.105975
lognormal,25.0,750,400,12,32.0,38.0,50.0,64.0,80.0,100,53.3375,0.0533375,0.21335
lognormal,50.0,500,400,18,28.900000000000006,38.0,50.0,66.0,75.0,100,51.7575,0.051757500000000005,0.10351500000000001
nakagami,25.0,750,400,12,38.0,44.0,50.0,77.0,84.0,100,58.7925,0.058792500000000004,0.23517000000000002
nakagami,50.0,500,400,10,38.0,47.75,50.0,75.0,83.0,100,60.2425,0.060242500000000004,0.12048500000000001
rayleigh,25.0,750,400,10,38.0,38.0,47.5,50.0,77.0,100,49.4225,0.049422499999999994,0.19768999999999998
rayleigh,50.0,500,400,10,33.50000000000003,44.0,50.0,74.0,76.0,100,53.0275,0.053027500000000005,0.10605500000000001
rician,25.0,750,400,34,50.0,50.0,79.0,88.0,100.0,150,74.82,0.07482,0.29928
rician,50.0,500,400,33,50.0,75.0,80.5,100.0,103.20000000000073,200,86.1525,0.08615249999999999,0.17230499999999999
