data_profile,off_pct,K,rank,T,coverage,u_g_vs_best_T_mean,u_g_vs_best_T_p05,winner_rate,mean_gap_pct
gaussian,25.0,750,1,50,1.0,0.978954408292561,0.9355019464035833,0.2225,2.1045591707439
gaussian,25.0,750,2,38,1.0,0.9663771290638984,0.9077608715845065,0.19,3.3622870936101608
gaussian,25.0,750,3,25,1.0,0.9240106738541871,0.8380084867969935,0.0625,7.598932614581281
gaussian,25.0,750,4,100,1.0,0.9149930393255162,0.8472374839563803,0.0125,8.500696067448372
gaussian,25.0,750,5,12,1.0,0.820762672597143,0.7089377877429582,0.0025,17.923732740285704
gaussian,50.0,500,1,50,1.0,0.9789964320574442,0.9313925923925944,0.225,2.1003567942555748
gaussian,50.0,500,2,75,1.0,0.9639697488507183,0.9117948671849916,0.145,3.6030251149281702
gaussian,50.0,500,3,25,1.0,0.9290907148359675,0.8409893921062247,0.0975,7.09092851640325
gaussian,50.0,500,4,100,1.0,0.9233749476152068,0.8553381284561331,0.01,7.6625052384793335
gaussian,50.0,500,5,10,1.0,0.8020830072714638,0.6783071056634328,0.01,19.791699272853624
lognormal,25.0,750,1,50,1.0,0.9432460334315341,0.8421038755024466,0.22,5.675396656846585
lognormal,25.0,750,2,38,1.0,0.9152263786224956,0.781859744678513,0.1275,8.477362137750452
lognormal,25.0,750,3,100,1.0,0.8674608570123118,0.7369530052790163,0.0875,13.253914298768823
lognormal,25.0,750,4,25,1.0,0.817062444619742,0.6348072301410441,0.04,18.293755538025813
lognormal,25.0,750,5,12,1.0,0.5893582860355274,0.3924683908883959,0.0025,41.06417139644726
lognormal,50.0,500,1,50,1.0,0.94016593138825,0.8301155461807201,0.2125,5.983406861175
lognormal,50.0,500,2,75,1.0,0.9196071383316061,0.7985584530289899,0.13,8.039286166839384
lognormal,50.0,500,3,100,1.0,0.8452894060025301,0.7141056702974576,0.03,15.471059399746984
lognormal,50.0,500,4,25,1.0,0.8360993176724861,0.6513906904527834,0.0625,16.390068232751386
lognormal,50.0,500,5,10,1.0,0.574772656511661,0.3758583745654281,0.0,42.5227343488339
nakagami,25.0,750,1,50,1.0,0.9824506571076881,0.9433994208399963,0.325,1.754934289231192
nakagami,25.0,750,2,38,1.0,0.9639865305582815,0.9074507801374445,0.105,3.6013469441718517
nakagami,25.0,750,3,100,1.0,0.9556219524983771,0.9092390134543247,0.065,4.437804750162291
nakagami,25.0,750,4,25,1.0,0.9196388205547589,0.8409498819075619,0.03,8.036117944524113
nakagami,25.0,750,5,12,1.0,0.8256366636772958,0.7312581897734814,0.005,17.43633363227042
nakagami,50.0,500,1,50,1.0,0.980914074455645,0.9413997265385072,0.3,1.9085925544355027
nakagami,50.0,500,2,75,1.0,0.9793480356357099,0.9442694662567663,0.1875,2.0651964364289985
nakagami,50.0,500,3,100,1.0,0.9568766285475087,0.9109149713763346,0.075,4.31233714524913
nakagami,50.0,500,4,25,1.0,0.9243052101383562,0.8473318064785581,0.0375,7.569478986164382
nakagami,50.0,500,5,10,1.0,0.814283406126396,0.7196628278837626,0.005,18.571659387360402
rayleigh,25.0,750,1,50,1.0,0.9811682860620883,0.9410361787228229,0.2525,1.8831713937911672
rayleigh,25.0,750,2,38,1.0,0.9692817888018872,0.9138859722392892,0.2175,3.071821119811277
rayleigh,25.0,750,3,25,1.0,0.9245731076160608,0.8367861142461218,0.0475,7.542689238393918
rayleigh,25.0,750,4,100,1.0,0.9139734975664433,0.85293932469826,0.015,8.602650243355674
rayleigh,25.0,750,5,12,1.0,0.8128975412196435,0.699721292894606,0.0,18.710245878035643
rayleigh,50.0,500,1,50,1.0,0.982315811299484,0.9358579451616426,0.255,1.7684188700516077
rayleigh,50.0,500,2,75,1.0,0.9646067275327329,0.9096628716570286,0.1425,3.539327246726719
rayleigh,50.0,500,3,25,1.0,0.9305324132335676,0.846181492216823,0.0875,6.946758676643239
rayleigh,50.0,500,4,100,1.0,0.9233442605808585,0.8576275816522984,0.0175,7.6655739419141415
rayleigh,50.0,500,5,10,1.0,0.7956024878820257,0.6627946299113588,0.0025,20.439751211797425
rician,25.0,750,1,100,1.0,0.9768497927890744,0.9373253011342376,0.22,2.315020721092571
rician,25.0,750,2,50,1.0,0.9665041578478497,0.9042388790788788,0.2175,3.3495842152150304
rician,25.0,750,3,38,1.0,0.9404943683507557,0.8738099648498588,0.045,5.950563164924427
rician,25.0,750,4,25,1.0,0.8883092577552109,0.8102909403145424,0.0,11.169074224478917
rician,25.0,750,5,200,1.0,0.8098844833130531,0.7489513960248358,0.0,19.011551668694693
rician,50.0,500,1,75,1.0,0.9788454054316243,0.9398995202934113,0.1925,2.1154594568375757
rician,50.0,500,2,100,1.0,0.9765908206192584,0.928676927750812,0.3,2.340917938074159
rician,50.0,500,3,50,1.0,0.954360072158925,0.8902599331589481,0.125,4.563992784107503
rician,50.0,500,4,25,1.0,0.8789439266443465,0.7914369795111527,0.0,12.105607335565352
rician,50.0,500,5,200,1.0,0.8749193419887,0.7954012933046758,0.005,12.508065801130003
