data_profile,generator_seed,sample,off_pct,K,sigma,P,h3_fixed_active_count,h3_fixed_u_bf,h3_fixed_u_i,h3_fixed_u_g,best_threshold_u_g,T50_u_g,T75_u_g,T100_u_g,h3_fixed_vs_best_T,T50__vs_best_T,T50__vs_h3_fixed,T75__vs_best_T,T75__vs_h3_fixed,T100__vs_best_T,T100__vs_h3_fixed
gaussian,10,0,50.0,500,1.0,1.0,500,17632.957195698324,77512.72088956833,77616370.53181282,149253076.05314863,149253076.05314863,136115547.09674445,127488865.09885016,0.5200319657343199,1.0,1.92295871387047,0.911978169537183,1.753696367971167,0.8541791463879225,1.6425512327530953
gaussian,10,0,25.0,750,1.0,1.0,750,32830.340796111166,610213.1431000233,269185399.94089764,339387186.8561209,339387186.8561209,,286586907.4563091,0.7931513338334,1.0,1.2607934417343465,,,0.8444246528900461,1.064645064402572
gaussian,10,1,50.0,500,1.0,1.0,500,16113.270253782357,262414.6660488546,64714734.11757376,125162025.5149238,118060926.02554946,113935460.27372898,106466258.47514956,0.5170476736161277,0.9432647445568254,1.824328379547327,0.9103037427286106,1.7605799023562545,0.8506274809563142,1.6451625727414967
gaussian,10,1,25.0,750,1.0,1.0,750,30089.583095318914,172843.30135703087,225593432.40419945,273218196.45354784,260176179.99702007,,234664848.8501232,0.825689633166708,0.9522651981975689,1.1532967836176105,,,0.858891727916155,1.0402113499016687
gaussian,10,2,50.0,500,1.0,1.0,500,15798.746075815641,491648.1918838322,62162577.00798973,105706811.2110146,104388517.34658363,104210139.57632294,96386267.095779,0.588065956165296,0.9875287708584894,1.6792823330533195,0.9858412942596105,1.676412796768848,0.9118264565125355,1.550551340292577
gaussian,10,2,25.0,750,1.0,1.0,750,28555.10724330858,412593.64680707455,203191818.7371499,242993829.42433736,236778289.50292295,,216166731.0043693,0.8362015579511624,0.9744209968782365,1.1652944049347809,,,0.8895976145422186,1.06385548565813
gaussian,10,3,50.0,500,1.0,1.0,500,14172.110007094918,679325.6812485158,49848607.85575099,84453464.71094762,84312671.01846203,81507566.73063105,76349992.8069343,0.5902494116299905,0.9983328843527324,1.6913746370298073,0.9651180920711866,1.635102167075416,0.9040480821983035,1.531637413583775
gaussian,10,3,25.0,750,1.0,1.0,750,25123.060899732212,554040.1555457711,157405058.39334568,190007931.7485874,189651563.7582572,,168560602.7730313,0.828413092784038,0.9981244572947527,1.204863208934045,,,0.8871240333064909,1.0708715748626616
gaussian,10,4,50.0,500,1.0,1.0,500,15123.13095141813,227663.10623505712,57078451.01889754,95539567.07340744,95539567.07340744,93881411.88347216,91168071.23319788,0.5974325901544179,1.0,1.6738290084602363,0.9826443091513986,1.6447785496559795,0.95424413178625,1.597241508936778
gaussian,10,4,25.0,750,1.0,1.0,750,27741.898869009317,855112.729572773,191971111.44069946,216854487.03514493,216854487.03514493,,204767461.2913325,0.8852531209538095,1.0,1.1296204174039595,,,0.9442620445208796,1.0666576848703921
gaussian,10,5,50.0,500,1.0,1.0,500,15746.504368117268,423978.5233769715,61709511.272564836,112552507.86494064,106019003.94398564,105308228.34030467,104452031.30017264,0.5482730899840477,0.9419515029483395,1.718033440188987,0.9356364450507947,1.7065153518258895,0.9280293552011448,1.6926407152832292
gaussian,10,5,25.0,750,1.0,1.0,750,28723.781647772084,88870.23515754938,206246051.71576062,256242663.6501313,242515550.24840435,,234783034.9151614,0.8048856844438869,0.9464292432564249,1.175855480533653,,,0.9162527097194461,1.1383637793887527
gaussian,10,6,50.0,500,1.0,1.0,500,10366.330448677963,370655.9603805095,26690037.960104536,48036288.44543311,48036288.44543311,43843777.675014846,43543342.12354449,0.5556224018103131,1.0,1.799783444191286,0.9127220085877211,1.6427019602051973,0.9064676629421029,1.6314454924579638
gaussian,10,6,25.0,750,1.0,1.0,750,18518.08019910608,375956.40406125784,85502074.69087887,104797792.72151887,104797792.72151887,,93546468.32397072,0.8158766751708705,1.0,1.2256754365364941,,,0.8926377731309045,1.0940841922511853
gaussian,10,7,50.0,500,1.0,1.0,500,12812.596455283256,99201.20166170597,40942347.981212854,75724246.98272951,69997904.25773253,74737378.35052846,70908273.0188522,0.5406768586361858,0.9243790073435396,1.7096700045110345,0.9869676005833888,1.8254297087412543,0.9364011640158576,1.731905386847617
gaussian,10,7,25.0,750,1.0,1.0,750,24026.971802253895,582181.0009320974,143878872.29840574,174620308.99248257,162205587.71866712,,161116577.1695359,0.8239526841325183,0.9289044822710175,1.1273760012675915,,,0.9226680338566575,1.1198070612854059
gaussian,10,8,50.0,500,1.0,1.0,500,13959.515759740732,175663.2679825276,48643133.696623616,89209016.10073876,85210838.98451307,89209016.10073876,82906569.59051523,0.5452714963439753,0.955181916683054,1.7517547186814502,1.0,1.833948788273295,0.9293519109872646,1.704383811034565
gaussian,10,8,25.0,750,1.0,1.0,750,25503.512516783998,498296.4279233813,162178328.05363888,192568027.88174775,185264509.00954065,,179334914.916775,0.8421871991815246,0.9620730452892624,1.1423505916787244,,,0.9312808407992891,1.1057884063119812
gaussian,10,9,50.0,500,1.0,1.0,500,13304.99096526358,787586.5047693253,43781081.01941264,79842293.66465196,79842293.66465196,73938415.12207144,70417317.70016344,0.5483444802237131,1.0,1.8236711338682956,0.9260557497586733,1.6888211391876544,0.8819550950768693,1.6083960482597548
gaussian,10,9,25.0,750,1.0,1.0,750,24139.399662593976,5644070.498930216,142874873.06516838,175914111.9209157,175914111.9209157,,151747640.9975469,0.8121853983459809,1.0,1.231245971715946,,,0.8626234663070516,1.0621016679982034
gaussian,10,10,50.0,500,1.0,1.0,500,13907.729999127823,572772.701899305,47543367.057096384,86085097.84568632,85426195.24561968,80986353.70279786,78805791.8652721,0.5522833596857991,0.9923459156514202,1.7968057488025317,0.9407708851998017,1.7034206602476998,0.9154405795825094,1.6575559692823534
gaussian,10,10,25.0,750,1.0,1.0,750,25682.33970941737,3022247.95109272,163006381.27902833,190361022.5180552,188902260.4260916,,172148888.3455042,0.8563012486632742,0.9923368656426227,1.158864204848126,,,0.9043284495342336,1.0560868046682543
gaussian,10,11,50.0,500,1.0,1.0,500,15802.62573599133,151135.1498798132,62142849.62512124,116389781.57416432,115156915.92741756,111869581.2751618,108315806.61458685,0.5339201499018488,0.9894074408416931,1.8531000207120432,0.9611632547302084,1.800200376230229,0.9306298641480594,1.7430131908659718
gaussian,10,11,25.0,750,1.0,1.0,750,29673.081244394845,2891734.298206389,217583437.50916702,254755323.7030855,252157336.4606724,,234112173.8628429,0.8540878924389352,0.9898020296312197,1.158899497807818,,,0.9189687204955058,1.075965048364398
gaussian,10,12,50.0,500,1.0,1.0,500,13618.007373166452,342732.10202905536,46087590.76136795,81717299.27511024,78637909.08278596,80134128.4086458,76140706.15893044,0.5639881783930355,0.9623165447262619,1.7062707723204031,0.9806262458438019,1.738735461863559,0.9317574960791889,1.652086926243798
gaussian,10,12,25.0,750,1.0,1.0,750,24697.017077707525,709922.5741125345,151948057.94612113,181335094.49922365,174057608.14933413,,168571134.149733,0.8379407106260485,0.9598671929998599,1.145507290465356,,,0.9296111964165585,1.1093997279616843
gaussian,10,13,50.0,500,1.0,1.0,500,12254.251422163783,17588.286742925644,37444041.039887555,70777270.38548848,69354743.43991496,66043815.89125467,65022397.5826574,0.5290404791813607,0.9799013590404698,1.8522237855159458,0.9331218275520793,1.7638004354524925,0.9186903822161103,1.7365219078088228
gaussian,10,13,25.0,750,1.0,1.0,750,22999.950075272252,1179870.924432695,131558456.89616708,160947535.63366082,157496595.9881749,,145125912.76521435,0.8173996350935909,0.9785586052504665,1.1971605604380078,,,0.9016970169430945,1.1031287245924102
gaussian,10,14,50.0,500,1.0,1.0,500,14107.045997714136,1078727.3507473767,49198647.80425658,92153723.18407445,91044253.40158372,90534907.90185136,86649679.95270182,0.5338758555200606,0.9879606624219122,1.8505438150214106,0.9824335335970142,1.8401909796801048,0.9402732408284964,1.761220761543065
gaussian,10,14,25.0,750,1.0,1.0,750,26616.76379480644,3027955.9347392917,175599226.5611121,201609333.0762837,199334388.6654306,,189395606.2492077,0.8709875871404721,0.9887160759070994,1.1351666665573734,,,0.9394188421700962,1.0785674285603655
gaussian,10,15,50.0,500,1.0,1.0,500,13156.676705275142,735170.3704143763,42919857.475891136,77995700.41997002,77995700.41997002,76988165.44790664,70704114.54041268,0.5502849162811279,1.0,1.817240433843044,0.9870821729064772,1.793765636131301,0.9065129764808112,1.6473520346643384
gaussian,10,15,25.0,750,1.0,1.0,750,23978.343904007696,3821893.3294330835,141815194.68741494,178490744.78282282,178490744.78282282,,159872809.2706399,0.7945240794415837,1.0,1.2586150953446638,,,0.8956924319250494,1.1273320156068398
gaussian,10,16,50.0,500,1.0,1.0,500,16289.658374131555,691829.9799538851,65818498.17501258,133112134.40173534,128466763.5497566,123661463.0131794,115022774.17863116,0.49445903989767687,0.9651018228138473,1.9518337110664716,0.9290021797709772,1.8788253521732041,0.8641043485298636,1.747575185820611
gaussian,10,16,25.0,750,1.0,1.0,750,30746.226386002338,2389455.05236876,234891598.1402858,293505297.60112953,282929513.7566627,,249802060.0468439,0.8002976438929592,0.9639673153060454,1.2045109999536336,,,0.8510989821598455,1.063478055514157
gaussian,10,17,50.0,500,1.0,1.0,500,16910.9449921797,871428.4227381945,71064749.22332346,122773283.89478289,117711712.77790216,122773283.89478289,118264935.44586924,0.5788290983910326,0.958773024909731,1.656400874757033,1.0,1.7276256545838717,0.9632790758225762,1.6641856439149252
gaussian,10,17,25.0,750,1.0,1.0,750,31879.33639708523,4532534.865869522,251521872.6594466,273771278.11280054,267725027.17534995,,262572798.2886331,0.918729950027166,0.9779149552168895,1.0644204591218274,,,0.95909549058118,1.0439362410606299
gaussian,10,18,50.0,500,1.0,1.0,500,16895.186067257062,2234722.454869002,70204703.66118664,130746471.4631481,124944607.70317152,130746471.4631481,118066720.71138623,0.5369529508180599,0.9556250834531173,1.779718468810351,1.0,1.8623605633910336,0.9030203216204137,1.6817494349265458
gaussian,10,18,25.0,750,1.0,1.0,750,30010.570405241167,6496974.714739442,221638575.61410156,282291065.83612865,270451462.9419251,,253686697.30069745,0.7851420127577252,0.958058882029669,1.2202364240637082,,,0.898670655939086,1.1445963167638984
gaussian,10,19,50.0,500,1.0,1.0,500,15525.435513640628,2005511.4019565582,59252530.245881565,105912774.80106676,98649159.6530562,102626601.00866534,97895651.24403346,0.5594464912960129,0.9314188948249764,1.6648936213135466,0.9689728288341632,1.7320205665951043,0.9243044706165837,1.6521767228807556
gaussian,10,19,25.0,750,1.0,1.0,750,28780.263832543475,2617325.664091587,205557148.63365293,236789819.7957244,221177409.6679645,,217351686.09403512,0.8680996033148067,0.9340663794531854,1.075989870156013,,,0.917909757613489,1.0573783861995605
gaussian,10,20,50.0,500,1.0,1.0,500,13095.745525070963,588153.4369280338,42502603.6352764,79205200.04057966,78187911.29132353,74395339.16591439,70741805.77281108,0.5366138033045911,0.9871562883657268,1.83960286203335,0.9392734205304575,1.750371337349498,0.8931459769884745,1.6644111118429614
gaussian,10,20,25.0,750,1.0,1.0,750,23938.552597445887,1050178.1119557023,142618489.7054505,177659398.12949795,175669076.44512913,,157378705.1241004,0.802763553220496,0.988796980597007,1.2317412476316212,,,0.8858450877413492,1.103494402788405
gaussian,10,21,50.0,500,1.0,1.0,500,14546.237483338286,833010.2141521275,52441302.02434957,100609229.57298715,98480024.71331218,95990368.95475936,90530666.9379931,0.5212374873252154,0.9788368833683361,1.8779096039145993,0.9540910845075398,1.830434509619709,0.8998246713768686,1.726323783798462
gaussian,10,21,25.0,750,1.0,1.0,750,26703.802113017908,1448310.7205463648,177347953.39270192,221056184.059321,216367052.94396964,,197535154.72156253,0.802275467421939,0.9787876049009648,1.2200143774135788,,,0.8935970534466182,1.1138282170314087
gaussian,10,22,50.0,500,1.0,1.0,500,13152.06517804936,74761.12030427158,42998959.07460092,82782079.94726567,81913966.77280581,82782079.94726567,75430218.78534217,0.5194235165629127,0.9895132717731558,1.9050220874112187,1.0,1.9252112546176556,0.9111901855255772,1.754233600270991
gaussian,10,22,25.0,750,1.0,1.0,750,24241.22201533784,280221.512647748,146434553.66226223,182472129.2891853,181770851.67097157,,165265259.5624272,0.8025036712877394,0.9961567959942951,1.2413112009765759,,,0.905701381390205,1.1285946890895453
