data_profile,off_pct,K,h3_fixed_vs_best_T_mean,h3_fixed_vs_best_T_p05,T50_vs_best_T_mean,T50_vs_h3_fixed_mean,T75_vs_best_T_mean,T100_vs_best_T_mean
gaussian,25.0,750,0.8502203042178741,0.7804491163820089,0.978954408292561,1.1545221688587082,0.9923180996189926,0.9149930393255162
gaussian,50.0,500,0.5710685242737921,0.5151555857943608,0.9789964320574442,1.7216519639973245,0.9639697488507183,0.9233749476152068
lognormal,25.0,750,0.7767308690294286,0.6443832208906017,0.9432460334315341,1.2307046118522988,0.919654172038242,0.8674608570123118
lognormal,50.0,500,0.36286480995806825,0.28394387411798006,0.94016593138825,2.643010912455271,0.9196071383316061,0.8452894060025302
nakagami,25.0,750,0.9150171985991864,0.8601632101075645,0.9824506571076881,1.0751206824862682,0.9908756642575678,0.9556219524983771
nakagami,50.0,500,0.7019823190585913,0.6497396112186242,0.980914074455645,1.4005366164333335,0.9793480356357099,0.9568766285475087
rayleigh,25.0,750,0.8507433325691781,0.7805945068526414,0.9811682860620883,1.1562938610118474,0.9886697740968532,0.9139734975664433
rayleigh,50.0,500,0.57074152913621,0.5084027721917577,0.982315811299484,1.7291739831914728,0.9646067275327329,0.9233442605808585
rician,25.0,750,0.9500679964353683,0.9006974163212991,0.9665041578478497,1.0183866722499757,0.9971787088508184,0.9768497927890744
rician,50.0,500,0.7991608426140274,0.7195034905025555,0.954360072158925,1.1992351970833213,0.9788454054316243,0.9765908206192584
