data_profile,off_pct,K,metric,pearson_corr_with_best_T,cases,best_T_mean,best_T_std,best_T_min,best_T_max
gaussian,25.0,750,log_power_gap_max,0.02469632371811784,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,log_power_gap_rank,0.02837601429601257,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,log_power_gap_rank_pct,0.028376014296012567,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,row_power_cv,0.09222286843463931,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,row_power_max_p95,0.0668782132706926,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,row_power_p95_p50,0.07566802942262874,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,row_power_p99_p50,0.17662205110176565,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,row_power_skew3,0.22300044725985552,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,tail_mass_p80,-0.03371018256504282,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,tail_mass_p90,0.13798845069919652,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,tail_mass_p95,0.2975064231276796,400,50.6625,16.50635462807489,11,100
gaussian,25.0,750,tail_mass_p99,0.15105474934258378,400,50.6625,16.50635462807489,11,100
gaussian,50.0,500,log_power_gap_max,0.014867013641868597,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,log_power_gap_rank,0.04859494936358165,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,log_power_gap_rank_pct,0.048594949363581566,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,row_power_cv,0.03797130208395936,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,row_power_max_p95,0.0767539033550133,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,row_power_p95_p50,0.03173754689890001,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,row_power_p99_p50,0.13696001318201015,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,row_power_skew3,0.2000007046451954,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,tail_mass_p80,-0.08363790347493943,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,tail_mass_p90,0.07276716772009778,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,tail_mass_p95,0.24559206910820103,400,52.9875,17.737075671695678,10,100
gaussian,50.0,500,tail_mass_p99,0.11846568750227376,400,52.9875,17.737075671695678,10,100
lognormal,25.0,750,log_power_gap_max,0.10341532970639081,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,log_power_gap_rank,0.10601989746062412,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,log_power_gap_rank_pct,0.10601989746062408,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,row_power_cv,0.043961790363447516,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,row_power_max_p95,-0.025997605901980466,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,row_power_p95_p50,0.026063788755985896,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,row_power_p99_p50,0.13116226421208863,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,row_power_skew3,-0.04420012364241968,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,tail_mass_p80,0.061425972448030955,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,tail_mass_p90,0.1524713550165575,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,tail_mass_p95,0.20659455725520337,400,53.3375,19.478890154578504,12,100
lognormal,25.0,750,tail_mass_p99,0.06424389625135102,400,53.3375,19.478890154578504,12,100
lognormal,50.0,500,log_power_gap_max,0.1133671661924469,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,log_power_gap_rank,0.11145923421985415,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,log_power_gap_rank_pct,0.11145923421985415,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,row_power_cv,0.025783583701671955,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,row_power_max_p95,-0.00939803215078801,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,row_power_p95_p50,-0.013431016695977174,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,row_power_p99_p50,0.11766915933795116,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,row_power_skew3,-0.03482064922059788,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,tail_mass_p80,0.03448685194726508,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,tail_mass_p90,0.11829454064553849,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,tail_mass_p95,0.17709192871481197,400,51.7575,17.969863207862023,18,100
lognormal,50.0,500,tail_mass_p99,0.03226386494090236,400,51.7575,17.969863207862023,18,100
nakagami,25.0,750,log_power_gap_max,0.02177055804320289,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,log_power_gap_rank,0.08793165181072701,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,log_power_gap_rank_pct,0.08793165181072705,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,row_power_cv,0.038683022015050486,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,row_power_max_p95,0.07946428639135071,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,row_power_p95_p50,0.07520128774446494,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,row_power_p99_p50,0.165513736898331,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,row_power_skew3,0.276576152932687,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,tail_mass_p80,-0.08108636670804882,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,tail_mass_p90,0.13940004072819168,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,tail_mass_p95,0.30747619870896686,400,58.7925,20.028537128276415,12,100
nakagami,25.0,750,tail_mass_p99,0.21364057151912969,400,58.7925,20.028537128276415,12,100
nakagami,50.0,500,log_power_gap_max,-0.005102902717377824,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,log_power_gap_rank,0.053351243777095145,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,log_power_gap_rank_pct,0.05335124377709511,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,row_power_cv,0.060246794887626305,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,row_power_max_p95,0.07439562122919978,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,row_power_p95_p50,0.09132644947664287,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,row_power_p99_p50,0.16703375926988634,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,row_power_skew3,0.2429532422503169,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,tail_mass_p80,-0.06638031046581208,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,tail_mass_p90,0.14322260327699787,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,tail_mass_p95,0.3087579878676609,400,60.2425,20.04452921944221,10,100
nakagami,50.0,500,tail_mass_p99,0.188236665872066,400,60.2425,20.04452921944221,10,100
rayleigh,25.0,750,log_power_gap_max,-0.08629876072724381,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,log_power_gap_rank,0.004258285899017686,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,log_power_gap_rank_pct,0.0042582858990176916,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,row_power_cv,0.0645323454389023,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,row_power_max_p95,0.06642321890290638,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,row_power_p95_p50,0.0610840326436311,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,row_power_p99_p50,0.13860502752213388,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,row_power_skew3,0.18962480783764463,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,tail_mass_p80,-0.02660685711898517,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,tail_mass_p90,0.10138286052482913,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,tail_mass_p95,0.24791993193498282,400,49.4225,15.28407672229935,10,100
rayleigh,25.0,750,tail_mass_p99,0.1270736326128997,400,49.4225,15.28407672229935,10,100
rayleigh,50.0,500,log_power_gap_max,-0.047305582448781296,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,log_power_gap_rank,0.03880625235492054,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,log_power_gap_rank_pct,0.03880625235492051,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,row_power_cv,0.05985173760160137,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,row_power_max_p95,-0.0034813847994449826,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,row_power_p95_p50,0.09038553538786065,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,row_power_p99_p50,0.14486234557835673,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,row_power_skew3,0.1553861477454059,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,tail_mass_p80,-0.01794413369855894,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,tail_mass_p90,0.11546668406994272,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,tail_mass_p95,0.2471275132118161,400,53.0275,17.165032467169922,10,100
rayleigh,50.0,500,tail_mass_p99,0.09282065950820774,400,53.0275,17.165032467169922,10,100
rician,25.0,750,log_power_gap_max,0.027503356739310262,400,74.82,21.573273170481585,34,150
rician,25.0,750,log_power_gap_rank,0.016495434537674672,400,74.82,21.573273170481585,34,150
rician,25.0,750,log_power_gap_rank_pct,0.01649543453767463,400,74.82,21.573273170481585,34,150
rician,25.0,750,row_power_cv,0.00379559680825618,400,74.82,21.573273170481585,34,150
