data_profile,off_pct,K,T,threshold_source,samples,winner_rate,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,u_g_vs_best_T_mean,u_g_vs_best_T_p05,u_g_gap_to_best_pct_mean,elapsed_seconds_mean,candidate_kind_mode
gaussian,25.0,750,31,gap_top3,1,1.0,152728580.2517328,152728580.2517328,152728580.2517328,152728580.2517328,81.83920314621506,1.0,1.0,0.0,0.038479779999761377,power_window
gaussian,25.0,750,34,mean_plus_2std,1,1.0,298527568.8922689,298527568.8922689,298527568.8922689,298527568.8922689,84.74984444225576,1.0,1.0,0.0,0.0376015300025756,power_window
gaussian,25.0,750,36,gap_top3,1,1.0,279817595.73508495,279817595.73508495,279817595.73508495,279817595.73508495,84.46875020700415,1.0,1.0,0.0,0.040119859000697033,power_window
gaussian,25.0,750,74,mean_plus_1.5std,5,0.8,175376126.6757788,101597640.86961834,179241773.75652942,234276285.0317836,82.19456013030099,0.9991869044592715,0.9967476178370857,0.08130955407285922,0.03376060519876774,power_window
gaussian,25.0,750,39,mean_plus_2std,6,0.5,177938223.23721644,98086796.39827581,175354496.8045798,267819798.15431926,82.20377810889855,0.9962274330751096,0.9897440635292979,0.3772566924890401,0.03875645633343083,power_window
gaussian,25.0,750,77,mean_plus_1.5std,12,0.5833333333333334,157627673.57475707,96436660.55230793,158371827.79824394,237789674.84826854,81.77336183265272,0.995873402757029,0.9835611878802875,0.41265972429711345,0.031056930751219625,power_window
gaussian,25.0,750,72,mean_plus_1.5std,9,0.7777777777777778,152411208.22264612,93363188.57864666,164559978.433007,186221758.80615702,81.69718727351626,0.9957900536530934,0.9804347506686748,0.42099463469067083,0.03332093033289615,power_window
gaussian,25.0,750,40,mean_plus_2std,8,0.875,147713071.39262563,100068258.1481418,157632190.77868083,177337350.80220452,81.59865750031886,0.9953560265085747,0.9758513378445884,0.4643973491425299,0.03831562799950916,power_window
gaussian,25.0,750,33,mean_plus_2std,1,0.0,198205133.34151968,198205133.34151968,198205133.34151968,198205133.34151968,82.9711489814636,0.9930198921954214,0.9930198921954214,0.6980107804578584,0.037709014999563806,power_window
gaussian,25.0,750,75,mean_plus_1.5std,11,0.7272727272727273,183382679.91753146,89949328.0956803,200796639.28960335,268278261.33164907,82.3362310031487,0.9923180996189926,0.9590316960331905,0.7681900381007345,0.03240161972710418,power_window
gaussian,25.0,750,73,mean_plus_1.5std,4,0.75,152074567.44419062,121431477.3638729,154219087.96771646,179715328.79157212,81.76378076952686,0.9916089212201746,0.9714703321485936,0.8391078779825423,0.03347182549896388,power_window
gaussian,25.0,750,44,mean_plus_2std,28,0.5,200197906.2705691,131535956.67739476,192457171.25025994,288838742.61571217,82.86589085593933,0.99101412711504,0.9675080189368636,0.8985872884960016,0.03693662985733681,power_window
gaussian,25.0,750,41,mean_plus_2std,12,0.3333333333333333,197937520.35248885,109690701.25106911,225302226.6815269,272616709.914961,82.72593427567989,0.9906380293490216,0.9663680951088217,0.9361970650978481,0.039106674416567934,power_window
gaussian,25.0,750,76,mean_plus_1.5std,13,0.3076923076923077,178410234.09738016,126876995.97932996,178326439.35688475,239803605.09181914,82.41134751473167,0.9902986873683923,0.9678150898850483,0.9701312631607698,0.031894943615602994,power_window
