data_profile,K,off_pct,best_fixed_T,best_fixed_u_g_mean,recommended_band_low,recommended_band_high,recommended_band_width,best_tested_T_median,best_tested_T_p05,best_tested_T_p95,best_tested_T_std,best_tested_T_cv,best_tested_T_over_N_mean,best_tested_T_over_K_mean,best_formula,best_formula_T,best_formula_fraction
gaussian,250,75.0,36,14102768.732141009,30,48,19,36.0,18.0,68.05,15.34801339429684,0.40083607715583286,0.03829,0.15316,T_0p05N,50,0.9514139051383806
gaussian,500,50.0,56,89944407.33977963,36,69,34,48.0,28.8,80.1,16.69632512642446,0.3275073583056975,0.050980000000000004,0.10196000000000001,T_0p05N,50,0.9611035600359688
rayleigh,250,75.0,36,13492459.225031009,29,50,22,35.0,18.95,64.05,14.458785033551909,0.3776125629028966,0.03829,0.15316,T_0p05N,50,0.9554238109200548
rayleigh,500,50.0,47,86230008.540242,40,68,29,49.5,28.95,75.0,15.572885008075653,0.3025035937854634,0.05148,0.10296,T_0p05N,50,0.9647064685306549
rician,250,75.0,68,6947225.553955488,49,89,41,69.0,30.0,157.45,41.11314272894381,0.508700108004749,0.08082,0.32328,T_0p075N,75,0.9402727567375108
rician,500,50.0,87,63971805.64336943,67,112,46,88.0,51.0,131.14999999999998,24.13375815798863,0.2646535602367434,0.09118999999999998,0.18237999999999996,T_0p075N,75,0.9659128779999274
nakagami,250,75.0,45,26221187.104793902,35,61,27,42.5,20.85,70.05,16.280992201665935,0.3717121507229666,0.0438,0.1752,T_0p05N,50,0.9694841066212463
nakagami,500,50.0,59,215092648.44135883,45,79,35,57.0,31.9,95.05,19.79163173840618,0.3286554589572597,0.06022,0.12044,T_0p05N,50,0.9700467708404744
lognormal,250,75.0,31,188027.8705056509,30,32,3,34.5,17.95,62.0,13.532019640672841,0.37947334942997313,0.035660000000000004,0.14264000000000002,T_0p05N,50,0.8765022426726516
lognormal,500,50.0,55,540301.8604345364,50,61,12,48.0,20.0,83.05,18.521107260134695,0.3728831741520977,0.04967,0.09934,T_0p05N,50,0.9058886193831974
thin_tail,250,75.0,47,3724414.216549127,38,54,17,40.0,21.0,68.29999999999998,14.801211389134965,0.3529981251880507,0.041929999999999995,0.16771999999999998,T_0p05N,50,0.9429310600065807
thin_tail,500,50.0,54,18567152.88191617,47,65,19,53.5,29.85,89.29999999999998,18.598020422517113,0.33600759570943295,0.05535,0.1107,T_0p05N,50,0.9497559378674916
