data_profile,K,off_pct,cases,best_T_min,best_T_p05,best_T_p25,best_T_median,best_T_p75,best_T_p95,best_T_max,best_T_mean,best_T_std,best_T_iqr,best_T_cv,best_T_over_N_mean,best_T_over_K_mean
gaussian,250,75.0,100,10,18.0,29.75,36.0,45.25,68.05,92,38.29,15.34801339429684,15.5,0.40083607715583286,0.03829,0.15316
gaussian,500,50.0,100,19,28.8,38.75,48.0,63.0,80.1,92,50.98,16.69632512642446,24.25,0.3275073583056975,0.050980000000000004,0.10196000000000001
rayleigh,250,75.0,100,11,18.95,29.0,35.0,46.0,64.05,90,38.29,14.458785033551909,17.0,0.3776125629028966,0.03829,0.15316
rayleigh,500,50.0,100,22,28.95,39.75,49.5,62.0,75.0,106,51.48,15.572885008075653,22.25,0.3025035937854634,0.05148,0.10296
rician,250,75.0,100,26,30.0,48.75,69.0,104.25,157.45,209,80.82,41.11314272894381,55.5,0.508700108004749,0.08082,0.32328
rician,500,50.0,100,45,51.0,72.75,88.0,108.25,131.14999999999998,146,91.19,24.13375815798863,35.5,0.2646535602367434,0.09118999999999998,0.18237999999999996
nakagami,250,75.0,100,11,20.85,33.0,42.5,54.0,70.05,99,43.8,16.280992201665935,21.0,0.3717121507229666,0.0438,0.1752
nakagami,500,50.0,100,14,31.9,45.0,57.0,72.0,95.05,114,60.22,19.79163173840618,27.0,0.3286554589572597,0.06022,0.12044
lognormal,250,75.0,100,11,17.95,26.0,34.5,43.0,62.0,76,35.66,13.532019640672841,17.0,0.37947334942997313,0.035660000000000004,0.14264000000000002
lognormal,500,50.0,100,17,20.0,36.75,48.0,60.25,83.05,109,49.67,18.521107260134695,23.5,0.3728831741520977,0.04967,0.09934
thin_tail,250,75.0,100,16,21.0,30.0,40.0,51.25,68.29999999999998,88,41.93,14.801211389134965,21.25,0.3529981251880507,0.041929999999999995,0.16771999999999998
thin_tail,500,50.0,100,16,29.85,40.75,53.5,67.0,89.29999999999998,107,55.35,18.598020422517113,26.25,0.33600759570943295,0.05535,0.1107
