data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,250,75.0,T_0p05N,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,250,75.0,T_0p075N,75,100,13311922.110464392,0.9101373716444345,0.8465958383479231,8.986262835556563,0.0
gaussian,250,75.0,T_0p10K,25,100,13916929.167769957,0.9476304865027275,0.8802385684015686,5.236951349727236,0.04
gaussian,250,75.0,T_0p10N,100,100,12518787.50719201,0.8554740683404838,0.7805396433252743,14.452593165951612,0.0
gaussian,250,75.0,T_0p20K,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,250,75.0,legacy_T100,100,100,12518787.50719201,0.8554740683404838,0.7805396433252743,14.452593165951612,0.0
gaussian,250,75.0,legacy_T25,25,100,13916929.167769957,0.9476304865027275,0.8802385684015686,5.236951349727236,0.04
gaussian,250,75.0,legacy_T50,50,100,13925565.879345505,0.9514139051383806,0.9000311745076913,4.858609486161949,0.02
gaussian,500,50.0,T_0p05N,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
gaussian,500,50.0,T_0p075N,75,100,88348193.12178808,0.9458716275879665,0.8911650220543579,5.412837241203347,0.01
gaussian,500,50.0,T_0p10K,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
gaussian,500,50.0,T_0p10N,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,T_0p20K,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,legacy_T100,100,100,84680968.35167833,0.9060343306681569,0.8377196167835004,9.396566933184317,0.0
gaussian,500,50.0,legacy_T25,25,100,86018791.47030354,0.9178367480802987,0.825461434039828,8.216325191970123,0.01
gaussian,500,50.0,legacy_T50,50,100,89794602.02802946,0.9611035600359688,0.9167984099308965,3.889643996403115,0.02
