data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
nakagami,250,75.0,T_0p05N,50,100,26179551.19684531,0.9694841066212463,0.9290978738375714,3.051589337875368,0.03
nakagami,250,75.0,T_0p075N,75,100,25495959.08335149,0.945566079030829,0.896870332752553,5.443392096917095,0.0
nakagami,250,75.0,T_0p10K,25,100,25527973.22689548,0.9438831342625714,0.8657688538441046,5.611686573742864,0.02
nakagami,250,75.0,T_0p10N,100,100,24532998.164569434,0.9097535477335491,0.8457201123407946,9.024645226645108,0.0
nakagami,250,75.0,T_0p20K,50,100,26179551.19684531,0.9694841066212463,0.9290978738375714,3.051589337875368,0.03
nakagami,250,75.0,legacy_T100,100,100,24532998.164569434,0.9097535477335491,0.8457201123407946,9.024645226645108,0.0
nakagami,250,75.0,legacy_T25,25,100,25527973.22689548,0.9438831342625714,0.8657688538441046,5.611686573742864,0.02
nakagami,250,75.0,legacy_T50,50,100,26179551.19684531,0.9694841066212463,0.9290978738375714,3.051589337875368,0.03
nakagami,500,50.0,T_0p05N,50,100,214106888.6448457,0.9700467708404744,0.9334135720231088,2.995322915952555,0.0
nakagami,500,50.0,T_0p075N,75,100,213629855.10855848,0.9688996860243475,0.9331473886903449,3.1100313975652574,0.0
nakagami,500,50.0,T_0p10K,50,100,214106888.6448457,0.9700467708404744,0.9334135720231088,2.995322915952555,0.0
nakagami,500,50.0,T_0p10N,100,100,209086631.64471853,0.9478257019695335,0.901391398372146,5.217429803046625,0.0
nakagami,500,50.0,T_0p20K,100,100,209086631.64471853,0.9478257019695335,0.901391398372146,5.217429803046625,0.0
nakagami,500,50.0,legacy_T100,100,100,209086631.64471853,0.9478257019695335,0.901391398372146,5.217429803046625,0.0
nakagami,500,50.0,legacy_T25,25,100,201371656.0608815,0.9108361586347584,0.837175204599651,8.916384136524137,0.0
nakagami,500,50.0,legacy_T50,50,100,214106888.6448457,0.9700467708404744,0.9334135720231088,2.995322915952555,0.0
