data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
lognormal,250,75.0,T_0p05N,50,1000,181258.4081497363,0.8814334259092389,0.7535556501419284,11.856657409076114,0.009
lognormal,250,75.0,T_0p075N,75,1000,164640.1432863781,0.8047782149931291,0.6677833929722459,19.522178500687108,0.003
lognormal,250,75.0,T_0p10K,25,1000,178566.34680276137,0.8639013106206,0.6981406551425021,13.609868937939988,0.027
lognormal,250,75.0,T_0p10N,100,1000,142658.55276889438,0.7020600871979464,0.5740088339715939,29.793991280205358,0.0
lognormal,250,75.0,T_0p20K,50,1000,181258.4081497363,0.8814334259092389,0.7535556501419284,11.856657409076114,0.009
lognormal,250,75.0,legacy_T100,100,1000,142658.55276889438,0.7020600871979464,0.5740088339715939,29.793991280205358,0.0
lognormal,250,75.0,legacy_T25,25,1000,178566.34680276137,0.8639013106206,0.6981406551425021,13.609868937939988,0.027
lognormal,250,75.0,legacy_T50,50,1000,181258.4081497363,0.8814334259092389,0.7535556501419284,11.856657409076114,0.009
lognormal,500,50.0,T_0p05N,50,1000,543376.2546451478,0.9071807075326009,0.8067226543422623,9.2819292467399,0.011
lognormal,500,50.0,T_0p075N,75,1000,528513.5115076966,0.8868717806963471,0.7709979702661508,11.312821930365297,0.014
lognormal,500,50.0,T_0p10K,50,1000,543376.2546451478,0.9071807075326009,0.8067226543422623,9.2819292467399,0.011
lognormal,500,50.0,T_0p10N,100,1000,481705.4178635999,0.8146386400903489,0.6947094346717981,18.536135990965114,0.0
lognormal,500,50.0,T_0p20K,100,1000,481705.4178635999,0.8146386400903489,0.6947094346717981,18.536135990965114,0.0
lognormal,500,50.0,legacy_T100,100,1000,481705.4178635999,0.8146386400903489,0.6947094346717981,18.536135990965114,0.0
lognormal,500,50.0,legacy_T25,25,1000,483944.02977290837,0.806423646590624,0.6249885118648497,19.357635340937602,0.007
lognormal,500,50.0,legacy_T50,50,1000,543376.2546451478,0.9071807075326009,0.8067226543422623,9.2819292467399,0.011
