data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
rayleigh,250,75.0,T_0p05N,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,250,75.0,T_0p075N,75,1000,13304693.098138435,0.913546446741738,0.8462736686794153,8.645355325826204,0.001
rayleigh,250,75.0,T_0p10K,25,1000,13743288.06156714,0.9427513799514821,0.8681410949194245,5.7248620048518095,0.024
rayleigh,250,75.0,T_0p10N,100,1000,12481766.31415807,0.8575006213894596,0.7878413149904364,14.249937861054033,0.0
rayleigh,250,75.0,T_0p20K,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,250,75.0,legacy_T100,100,1000,12481766.31415807,0.8575006213894596,0.7878413149904364,14.249937861054033,0.0
rayleigh,250,75.0,legacy_T25,25,1000,13743288.06156714,0.9427513799514821,0.8681410949194245,5.7248620048518095,0.024
rayleigh,250,75.0,legacy_T50,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,500,50.0,T_0p05N,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
rayleigh,500,50.0,T_0p075N,75,1000,88025625.18931453,0.9488944560983259,0.8970813370804764,5.110554390167405,0.013
rayleigh,500,50.0,T_0p10K,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
rayleigh,500,50.0,T_0p10N,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,T_0p20K,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,legacy_T100,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,legacy_T25,25,1000,84685394.66457383,0.9126813220502995,0.8273011978179815,8.731867794970043,0.005
rayleigh,500,50.0,legacy_T50,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
