data_profile,K,off_pct,rule,rule_label,cases,T_min,T_max,T_mean,T_std,T_p05,T_p50,T_p95,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_mean,fraction_p05,fraction_p50,fraction_p95,gap_pct_mean,winner_rate,outside_dense_rate
gaussian,250,75.0,best_tested_T,best tested T per sample,1000,6,100,37.459,15.163121025674071,17.0,35.0,65.0,14585708.12861981,8484833.594639184,14425831.05646374,21364662.511234723,71.47526718947866,1.0,1.0,1.0,1.0,0.0,1.0,0.0
gaussian,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,13876640.404106446,8067682.3542272765,13744831.870777506,20341137.446952395,71.25982666275198,0.952029027329081,0.9019353756901572,0.9549917259794565,0.9923108113865071,4.797097267091894,0.02,0.0
gaussian,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,13876640.404106446,8067682.3542272765,13744831.870777506,20341137.446952395,71.25982666275198,0.952029027329081,0.9019353756901572,0.9549917259794565,0.9923108113865071,4.797097267091894,0.02,0.0
gaussian,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,4823702.721207933,2817626.7557920744,4794700.437058271,6943783.791870162,66.6756682460482,0.33225109108171347,0.28999887914871314,0.3313851936601355,0.3793903388719477,66.77489089182865,0.0,1.0
gaussian,500,50.0,best_tested_T,best tested T per sample,1000,12,123,51.496,17.47682532450969,26.0,50.0,82.04999999999995,92964881.94285227,53660481.0872932,91549803.70890263,136630075.03571388,79.51716297948826,1.0,1.0,1.0,1.0,0.0,1.0,0.0
gaussian,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,89508332.85317089,51851294.2486981,88299623.3317647,131779597.17927122,79.35169361631205,0.9629165642566735,0.9183641771851082,0.9660220534675821,0.9951933770185897,3.7083435743326536,0.024,0.0
gaussian,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,89508332.85317089,51851294.2486981,88299623.3317647,131779597.17927122,79.35169361631205,0.9629165642566735,0.9183641771851082,0.9660220534675821,0.9951933770185897,3.7083435743326536,0.024,0.0
gaussian,500,50.0,strong_weak,strong/weak H3,1000,250,250,250.0,0.0,250.0,250.0,250.0,52140023.05547677,30234460.63341929,51731885.197886355,75027719.03087802,77.01183219492945,0.562920055137317,0.5032078579850876,0.5621129233420197,0.6271548594331565,43.707994486268305,0.0,0.0
lognormal,250,75.0,best_tested_T,best tested T per sample,1000,6,90,36.514,14.917584869486692,16.0,35.0,63.049999999999955,206036.67570596977,25760.58043833951,160457.66498486407,502759.8895148211,51.61056809869135,1.0,1.0,1.0,1.0,0.0,1.0,0.0
lognormal,250,75.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,181258.40814973632,22826.263397125815,141920.69218403375,446980.1264372259,51.04818114202186,0.8814334259092389,0.7535556501419284,0.8902321868082387,0.9789328171499763,11.856657409076114,0.009,0.0
lognormal,250,75.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,181258.40814973632,22826.263397125815,141920.69218403375,446980.1264372259,51.04818114202186,0.8814334259092389,0.7535556501419284,0.8902321868082387,0.9789328171499763,11.856657409076114,0.009,0.0
lognormal,250,75.0,strong_weak,strong/weak H3,1000,375,375,375.0,0.0,375.0,375.0,375.0,22856.513918992292,3236.5789401855263,18311.299262377215,56038.85690895896,42.13495817432216,0.11428004397794006,0.08686084435507349,0.11265011497845656,0.14549171977334344,88.57199560220599,0.0,1.0
lognormal,500,50.0,best_tested_T,best tested T per sample,1000,7,109,51.419,17.9804542694487,23.0,50.0,84.0,597175.759104688,76685.38216568317,470755.22701891593,1466904.588352435,56.236230015707484,1.0,1.0,1.0,1.0,0.0,1.0,0.0
lognormal,500,50.0,best_formula,best formula,1000,50,50,50.0,0.0,50.0,50.0,50.0,543376.254645148,68502.27631860992,427364.52457742323,1357780.0711062606,55.80439893173452,0.9071807075326009,0.8067226543422623,0.9157866934346287,0.9840658757522659,9.281929246739898,0.011,0.0
lognormal,500,50.0,global_0p05N,global 0.05N,1000,50,50,50.0,0.0,50.0,50.0,50.0,543376.254645148,68502.27631860992,427364.52457742323,1357780.0711062606,55.80439893173452,0.9071807075326009,0.8067226543422623,0.9157866934346287,0.9840658757522659,9.281929246739898,0.011,0.0
