data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,250,75.0,T_0p05N,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,250,75.0,T_0p075N,75,1000,13286089.28388549,0.9121701998742494,0.8455191426550269,8.78298001257506,0.003
gaussian,250,75.0,T_0p10K,25,1000,13815243.0392429,0.9464699496503262,0.8741599917434008,5.353005034967395,0.019
gaussian,250,75.0,T_0p10N,100,1000,12471956.337869659,0.8570643252230086,0.7798906353439062,14.293567477699137,0.001
gaussian,250,75.0,T_0p20K,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,250,75.0,legacy_T100,100,1000,12471956.337869659,0.8570643252230086,0.7798906353439062,14.293567477699137,0.001
gaussian,250,75.0,legacy_T25,25,1000,13815243.0392429,0.9464699496503262,0.8741599917434008,5.353005034967395,0.019
gaussian,250,75.0,legacy_T50,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,500,50.0,T_0p05N,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
gaussian,500,50.0,T_0p075N,75,1000,88166656.48010409,0.948993511331482,0.895322056267559,5.1006488668517935,0.012
gaussian,500,50.0,T_0p10K,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
gaussian,500,50.0,T_0p10N,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,T_0p20K,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,legacy_T100,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,legacy_T25,25,1000,85348922.30215268,0.9172287412753631,0.8303123643046273,8.27712587246368,0.007
gaussian,500,50.0,legacy_T50,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
rayleigh,250,75.0,T_0p05N,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,250,75.0,T_0p075N,75,1000,13304693.098138435,0.913546446741738,0.8462736686794153,8.645355325826204,0.001
rayleigh,250,75.0,T_0p10K,25,1000,13743288.06156714,0.9427513799514821,0.8681410949194245,5.7248620048518095,0.024
rayleigh,250,75.0,T_0p10N,100,1000,12481766.31415807,0.8575006213894596,0.7878413149904364,14.249937861054033,0.0
rayleigh,250,75.0,T_0p20K,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,250,75.0,legacy_T100,100,1000,12481766.31415807,0.8575006213894596,0.7878413149904364,14.249937861054033,0.0
rayleigh,250,75.0,legacy_T25,25,1000,13743288.06156714,0.9427513799514821,0.8681410949194245,5.7248620048518095,0.024
rayleigh,250,75.0,legacy_T50,50,1000,13917875.431418017,0.9549465557927347,0.9041542943686391,4.505344420726542,0.023
rayleigh,500,50.0,T_0p05N,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
rayleigh,500,50.0,T_0p075N,75,1000,88025625.18931453,0.9488944560983259,0.8970813370804764,5.110554390167405,0.013
rayleigh,500,50.0,T_0p10K,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
rayleigh,500,50.0,T_0p10N,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,T_0p20K,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,legacy_T100,100,1000,84133950.56003273,0.9075992500224961,0.8444420712435793,9.240074997750387,0.001
rayleigh,500,50.0,legacy_T25,25,1000,84685394.66457383,0.9126813220502995,0.8273011978179815,8.731867794970043,0.005
rayleigh,500,50.0,legacy_T50,50,1000,89547368.71867394,0.9648044765604792,0.9204544942155095,3.5195523439520833,0.023
rician,250,75.0,T_0p05N,50,1000,6939292.155268139,0.9330012263449649,0.8507922258091167,6.699877365503517,0.012
rician,250,75.0,T_0p075N,75,1000,6995348.130247257,0.9406401453169992,0.8722000693684172,5.935985468300079,0.008
rician,250,75.0,T_0p10K,25,1000,6550914.76437488,0.8809845865060606,0.7731886111882253,11.901541349393927,0.002
rician,250,75.0,T_0p10N,100,1000,6897913.068371403,0.9281474315824748,0.85101092693691,7.185256841752527,0.01
rician,250,75.0,T_0p20K,50,1000,6939292.155268139,0.9330012263449649,0.8507922258091167,6.699877365503517,0.012
