data_profile,K,off_pct,formula,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,250,75.0,T_0p05N,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,250,75.0,T_0p075N,75,1000,13286089.28388549,0.9121701998742494,0.8455191426550269,8.78298001257506,0.003
gaussian,250,75.0,T_0p10K,25,1000,13815243.0392429,0.9464699496503262,0.8741599917434008,5.353005034967395,0.019
gaussian,250,75.0,T_0p10N,100,1000,12471956.337869659,0.8570643252230086,0.7798906353439062,14.293567477699137,0.001
gaussian,250,75.0,T_0p20K,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,250,75.0,legacy_T100,100,1000,12471956.337869659,0.8570643252230086,0.7798906353439062,14.293567477699137,0.001
gaussian,250,75.0,legacy_T25,25,1000,13815243.0392429,0.9464699496503262,0.8741599917434008,5.353005034967395,0.019
gaussian,250,75.0,legacy_T50,50,1000,13876640.404106444,0.9520290273290811,0.9019353756901574,4.797097267091894,0.02
gaussian,500,50.0,T_0p05N,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
gaussian,500,50.0,T_0p075N,75,1000,88166656.48010409,0.948993511331482,0.895322056267559,5.1006488668517935,0.012
gaussian,500,50.0,T_0p10K,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
gaussian,500,50.0,T_0p10N,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,T_0p20K,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,legacy_T100,100,1000,84363346.50226521,0.9089781141233029,0.8465834736625973,9.102188587669712,0.001
gaussian,500,50.0,legacy_T25,25,1000,85348922.30215268,0.9172287412753631,0.8303123643046273,8.27712587246368,0.007
gaussian,500,50.0,legacy_T50,50,1000,89508332.85317089,0.9629165642566735,0.9183641771851083,3.7083435743326536,0.024
