data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
lognormal,42,0,1000,10,250,1.0,1.0,75.0,25.0,25,141.61426223459517,234.2809280009085,350707929370.41925,115.449455852225,630897941017.2662,0.5558869455255064,44.41130544744936,False,T_0p025N,N,25,T_0p025N
lognormal,42,1,1000,10,250,1.0,1.0,75.0,25.0,25,142.92422866232172,337.9893133820615,322580289833.79767,115.0863782778348,374538429076.91907,0.8612742105765314,13.872578942346859,False,T_0p025N,N,25,T_0p025N
lognormal,42,2,1000,10,250,1.0,1.0,75.0,25.0,25,210.13359379071528,774.2232933043774,11770821503537.143,130.70806773973666,15730533266560.957,0.7482786059490344,25.172139405096562,False,T_0p025N,N,25,T_0p025N
lognormal,42,3,1000,10,250,1.0,1.0,75.0,25.0,25,193.55995705553025,493.01031228443975,5560365191059.95,127.45103315908284,7494940066208.388,0.7418825423473842,25.811745765261584,False,T_0p025N,N,25,T_0p025N
lognormal,42,4,1000,10,250,1.0,1.0,75.0,25.0,25,256.70780653142714,855.8547138058583,93161905884797.39,139.69238364649934,100378722271372.33,0.9281041218370524,7.189587816294763,False,T_0p025N,N,25,T_0p025N
lognormal,42,5,1000,10,250,1.0,1.0,75.0,25.0,25,287.37485193268196,1460.7339519168163,238588230093835.16,143.776490154811,563011455180855.9,0.42377153768069176,57.62284623193082,False,T_0p025N,N,25,T_0p025N
lognormal,42,6,1000,10,250,1.0,1.0,75.0,25.0,25,199.98498179506868,669.9876889403257,7653231138966.947,128.83844829867024,10296749684003.29,0.7432666981170544,25.673330188294564,False,T_0p025N,N,25,T_0p025N
lognormal,42,7,1000,10,250,1.0,1.0,75.0,25.0,25,264.05153838307467,1225.048590353471,106102502198831.89,140.25725625921433,412228561941695.1,0.25738755630872284,74.26124436912771,False,T_0p025N,N,25,T_0p025N
lognormal,42,8,1000,10,250,1.0,1.0,75.0,25.0,25,135.99733709826188,354.02876156715394,194164566252.7922,112.88169976936732,246870370930.73444,0.7865041297615657,21.34958702384343,False,T_0p025N,N,25,T_0p025N
lognormal,42,9,1000,10,250,1.0,1.0,75.0,25.0,25,174.84828539352515,596.8831626234714,1893466920060.3662,122.7725772215252,4871880224825.631,0.3886521902594876,61.13478097405124,False,T_0p025N,N,25,T_0p025N
