data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
rayleigh,1000,10,250,75.0,25.0,T_0p025N,N,25,100,3.4805911030406297e+24,0.8044344409678064,0.6079335297493842,19.556555903219362,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p05K,K,12,100,2.639459884629442e+24,0.5905027560820866,0.4012935297870517,40.949724391791335,0.01
rayleigh,1000,10,250,75.0,25.0,T_0p05N,N,50,100,3.88954848492892e+24,0.9038747372833863,0.8114230004585112,9.612526271661356,0.03
rayleigh,1000,10,250,75.0,25.0,T_0p05NL_over_Lp2,N_L,42,100,3.878545037126926e+24,0.8987315471727679,0.8065795697868341,10.126845282723197,0.02
rayleigh,1000,10,250,75.0,25.0,T_0p075N,N,75,100,3.705233620811988e+24,0.855577156735838,0.7380152119301988,14.442284326416205,0.01
rayleigh,1000,10,250,75.0,25.0,T_0p075NL_over_Lp2,N_L,62,100,3.870763722477725e+24,0.8959098254323656,0.8022701664992506,10.40901745676343,0.03
rayleigh,1000,10,250,75.0,25.0,T_0p10K,K,25,100,3.4805911030406297e+24,0.8044344409678064,0.6079335297493842,19.556555903219362,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p10N,N,100,100,3.307627914971614e+24,0.7820425664038578,0.6329320634376866,21.795743359614207,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p10NL_over_Lp2,N_L,83,100,3.6230228573785346e+24,0.8376316838306366,0.6962183422362502,16.236831616936346,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p125NL_over_Lp2,N_L,104,100,3.2522841680303805e+24,0.7675191335805477,0.6156805711212041,23.248086641945246,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p15K,K,38,100,3.826571071464579e+24,0.8857132832700093,0.7479995982367003,11.428671672999092,0.01
rayleigh,1000,10,250,75.0,25.0,T_0p15NL_over_Lp2,N_L,125,100,2.854831227645676e+24,0.6809412101543428,0.5150052791454858,31.90587898456571,0.0
rayleigh,1000,10,250,75.0,25.0,T_0p20K,K,50,100,3.88954848492892e+24,0.9038747372833863,0.8114230004585112,9.612526271661356,0.03
rayleigh,1000,10,250,75.0,25.0,legacy_T100,legacy,100,100,3.307627914971614e+24,0.7820425664038578,0.6329320634376866,21.795743359614207,0.0
rayleigh,1000,10,250,75.0,25.0,legacy_T25,legacy,25,100,3.4805911030406297e+24,0.8044344409678064,0.6079335297493842,19.556555903219362,0.0
rayleigh,1000,10,250,75.0,25.0,legacy_T50,legacy,50,100,3.88954848492892e+24,0.9038747372833863,0.8114230004585112,9.612526271661356,0.03
rayleigh,1000,10,500,50.0,50.0,T_0p025N,N,25,100,4.021124189559714e+29,0.6864877729926122,0.5292657422749679,31.351222700738802,0.0
rayleigh,1000,10,500,50.0,50.0,T_0p05K,K,25,100,4.021124189559714e+29,0.6864877729926122,0.5292657422749679,31.351222700738802,0.0
rayleigh,1000,10,500,50.0,50.0,T_0p05N,N,50,100,5.176594186150273e+29,0.8847375049128336,0.7575974617629818,11.526249508716624,0.02
rayleigh,1000,10,500,50.0,50.0,T_0p05NL_over_Lp2,N_L,42,100,4.9594532744951226e+29,0.8481156561136626,0.7244728609656707,15.188434388633732,0.0
rayleigh,1000,10,500,50.0,50.0,T_0p075N,N,75,100,5.417060269917448e+29,0.918877528802321,0.8122349581988665,8.1122471197679,0.04
rayleigh,1000,10,500,50.0,50.0,T_0p075NL_over_Lp2,N_L,62,100,5.387264352253107e+29,0.9183671674006649,0.8347652323532311,8.163283259933486,0.03
rayleigh,1000,10,500,50.0,50.0,T_0p10K,K,50,100,5.176594186150273e+29,0.8847375049128336,0.7575974617629818,11.526249508716624,0.02
rayleigh,1000,10,500,50.0,50.0,T_0p10N,N,100,100,5.1502011574105006e+29,0.8901279507504527,0.7674057685079252,10.987204924954717,0.01
rayleigh,1000,10,500,50.0,50.0,T_0p10NL_over_Lp2,N_L,83,100,5.4040513853067564e+29,0.9178504953504691,0.8195849265757866,8.2149504649531,0.01
rayleigh,1000,10,500,50.0,50.0,T_0p125NL_over_Lp2,N_L,104,100,5.1062306594558245e+29,0.8811666515548279,0.7512895329488397,11.88333484451721,0.0
rayleigh,1000,10,500,50.0,50.0,T_0p15K,K,75,100,5.417060269917448e+29,0.918877528802321,0.8122349581988665,8.1122471197679,0.04
rayleigh,1000,10,500,50.0,50.0,T_0p15NL_over_Lp2,N_L,125,100,4.651049882124428e+29,0.8086590734252422,0.6646524225553596,19.13409265747578,0.0
rayleigh,1000,10,500,50.0,50.0,T_0p20K,K,100,100,5.1502011574105006e+29,0.8901279507504527,0.7674057685079252,10.987204924954717,0.01
rayleigh,1000,10,500,50.0,50.0,legacy_T100,legacy,100,100,5.1502011574105006e+29,0.8901279507504527,0.7674057685079252,10.987204924954717,0.01
rayleigh,1000,10,500,50.0,50.0,legacy_T25,legacy,25,100,4.021124189559714e+29,0.6864877729926122,0.5292657422749679,31.351222700738802,0.0
rayleigh,1000,10,500,50.0,50.0,legacy_T50,legacy,50,100,5.176594186150273e+29,0.8847375049128336,0.7575974617629818,11.526249508716624,0.02
