data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
nakagami,42,0,1000,2,250,1.0,1.0,75.0,25.0,25,7882.607946898334,345824.5057940466,15367109.792421928,71.86592194159937,15838609.184939515,0.9702310103739461,2.97689896260539,False,T_0p025N,N,25,T_0p025N
nakagami,42,1,1000,2,250,1.0,1.0,75.0,25.0,25,9193.381776085458,915732.8439312672,20679205.558452956,73.15533850272611,21773671.06482392,0.9497344520768889,5.026554792311111,False,T_0p025N,N,25,T_0p025N
nakagami,42,2,1000,2,250,1.0,1.0,75.0,25.0,25,13367.373613915053,9293.754783228122,44528241.131320864,76.48635540807219,45961240.10422876,0.9688215772755869,3.117842272441307,False,T_0p025N,N,25,T_0p025N
nakagami,42,3,1000,2,250,1.0,1.0,75.0,25.0,25,7521.256193763397,41112.80061953465,14119725.581428893,71.49826256232126,15706658.789282667,0.8989643036661237,10.103569633387632,False,T_0p025N,N,25,T_0p025N
nakagami,42,4,1000,2,250,1.0,1.0,75.0,25.0,25,9827.191281801292,2545033.391476462,22755811.379198235,73.5709232528413,24060293.73316565,0.9457827752048901,5.4217224795109935,False,T_0p025N,N,25,T_0p025N
nakagami,42,5,1000,2,250,1.0,1.0,75.0,25.0,25,9925.385850863784,1660690.95588752,23658696.57238671,73.73990814382655,23855136.632764004,0.9917652930099973,0.8234706990002727,False,T_0p025N,N,25,T_0p025N
nakagami,42,6,1000,2,250,1.0,1.0,75.0,25.0,25,11908.20145313925,1284821.88629299,34786464.09879775,75.41410286740607,36579638.71297133,0.9509788866903788,4.902111330962122,False,T_0p025N,N,25,T_0p025N
nakagami,42,7,1000,2,250,1.0,1.0,75.0,25.0,25,9512.599114778535,61461.79804619938,22595572.546638098,73.54023350345035,24218085.999811452,0.9330040593139365,6.699594068606352,False,T_0p025N,N,25,T_0p025N
nakagami,42,8,1000,2,250,1.0,1.0,75.0,25.0,25,10887.895694096087,24309.192768715806,29632413.0445965,74.71767018651234,30257306.161986485,0.9793473644334186,2.0652635566581368,False,T_0p025N,N,25,T_0p025N
nakagami,42,9,1000,2,250,1.0,1.0,75.0,25.0,25,9246.455478150134,1588495.941914614,20446610.933218416,73.10621333126902,22109360.501109645,0.9247943165154968,7.520568348450318,False,T_0p025N,N,25,T_0p025N
nakagami,42,10,1000,2,250,1.0,1.0,75.0,25.0,25,11527.27816938436,2148925.87948531,32148925.868016124,75.07166467232673,32610303.383945197,0.9858517870718057,1.4148212928194348,False,T_0p025N,N,25,T_0p025N
nakagami,42,11,1000,2,250,1.0,1.0,75.0,25.0,25,10673.989334872407,1297913.4583353382,27791617.3255451,74.43913821161014,28108766.415172946,0.9887170754865766,1.1282924513423387,False,T_0p025N,N,25,T_0p025N
nakagami,42,12,1000,2,250,1.0,1.0,75.0,25.0,25,10103.617274583017,423650.26415234833,25315721.668884147,74.03390312222439,26822743.78780645,0.9438155122815067,5.618448771849327,False,T_0p025N,N,25,T_0p025N
nakagami,42,13,1000,2,250,1.0,1.0,75.0,25.0,25,9017.480767890987,462402.9778004081,20058514.601632643,73.02298768953608,20883541.081268903,0.9604939374780529,3.9506062521947105,False,T_0p025N,N,25,T_0p025N
nakagami,42,14,1000,2,250,1.0,1.0,75.0,25.0,25,11340.616973114751,2071916.9843658074,31035932.89571928,74.9186480418811,33704250.976743385,0.9208314083922143,7.916859160778566,False,T_0p025N,N,25,T_0p025N
nakagami,42,15,1000,2,250,1.0,1.0,75.0,25.0,25,11731.982077312554,230161.79495566085,34289904.50298061,75.35166275611115,35839058.93994723,0.9567746898833918,4.322531011660824,False,T_0p025N,N,25,T_0p025N
nakagami,42,16,1000,2,250,1.0,1.0,75.0,25.0,25,8397.684433914445,1102824.113328904,17068593.18320987,72.32197727444733,18661181.928574022,0.9146576700522072,8.534232994779279,False,T_0p025N,N,25,T_0p025N
nakagami,42,17,1000,2,250,1.0,1.0,75.0,25.0,25,9765.897920571746,629347.9951463345,23538235.994966917,73.7177391278279,25643045.943969533,0.917918879309359,8.2081120690641,False,T_0p025N,N,25,T_0p025N
nakagami,42,18,1000,2,250,1.0,1.0,75.0,25.0,25,9286.351624232038,186569.70860967695,21466519.064588748,73.31761626476097,23287730.819588743,0.9217952247426331,7.820477525736691,False,T_0p025N,N,25,T_0p025N
nakagami,42,19,1000,2,250,1.0,1.0,75.0,25.0,25,8705.097993513731,398393.0224633627,18753784.211677596,72.73088914539827,19374087.907960646,0.9679828181213025,3.201718187869751,False,T_0p025N,N,25,T_0p025N
nakagami,42,20,1000,2,250,1.0,1.0,75.0,25.0,25,8487.036159122068,127441.08423387125,17939746.126233716,72.53816292846538,19212811.178546015,0.9337387412762445,6.626125872375555,False,T_0p025N,N,25,T_0p025N
nakagami,42,21,1000,2,250,1.0,1.0,75.0,25.0,25,12281.609232748442,1180147.9001613334,37039601.48304448,75.68666305368271,38911169.22720293,0.951901529012651,4.809847098734899,False,T_0p025N,N,25,T_0p025N
nakagami,42,22,1000,2,250,1.0,1.0,75.0,25.0,25,9804.442505488196,2350537.9542884626,22866006.980524633,73.59190331737061,23788045.714745168,0.9612394080086619,3.876059199133808,False,T_0p025N,N,25,T_0p025N
