data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
lognormal,42,0,1000,4,250,1.0,1.0,75.0,25.0,375,84.73132453036001,36.177737888937145,231599.97069526164,53.647385001033825,12117561.181344084,0.019112754392511554,98.08872456074884,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,1,1000,4,250,1.0,1.0,75.0,25.0,375,250.0836022390273,162.79237991066088,15756772.326547168,71.97467259833043,802439338.4831908,0.01963609156591372,98.03639084340863,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,2,1000,4,250,1.0,1.0,75.0,25.0,375,141.79333419599433,146.33710065148762,1625309.3948081322,62.10936045725886,106349435.99833274,0.015282726979705022,98.47172730202949,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,3,1000,4,250,1.0,1.0,75.0,25.0,375,233.38958470782475,600.9509273961764,11326782.455926046,70.54106559458396,765528891.6089718,0.014796022175099966,98.52039778249,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,4,1000,4,250,1.0,1.0,75.0,25.0,375,117.16777322581211,176.67270619002198,750642.1953752899,58.75432973484456,35714688.57969545,0.02101774438548642,97.89822556145135,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,5,1000,4,250,1.0,1.0,75.0,25.0,375,200.48537059811628,390.0192675981146,6188667.92000171,67.91597179351382,248930828.59265083,0.024860994337221345,97.51390056627787,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,6,1000,4,250,1.0,1.0,75.0,25.0,375,287.38494002603767,492.0930543033765,26571964.33594645,74.24423660873529,1138994690.0765617,0.023329313619680103,97.66706863803198,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,7,1000,4,250,1.0,1.0,75.0,25.0,375,97.4973230770644,42.661279734254585,397045.12152740086,55.98839864236274,19739184.57005048,0.020114565529207443,97.98854344707925,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,8,1000,4,250,1.0,1.0,75.0,25.0,375,278.8432228555455,678.8723696446968,23047047.292449243,73.62615292990864,1210704193.2769022,0.01903606795155298,98.0963932048447,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
lognormal,42,9,1000,4,250,1.0,1.0,75.0,25.0,375,265.7951248098569,794.3457874407537,18825293.097665492,72.74741746610206,2525765952.991848,0.007453300681073141,99.25466993189268,False,strong_weak,heuristic,375,strong/weak H3,outside_dense_0_to_K
