data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
twdp,42,0,1000,8,250,1.0,1.0,75.0,25.0,25,4746.24024253968,229081.32020485244,1.1225709836095623e+22,220.50213812317008,1.148447510162814e+22,0.9774682549056307,2.253174509436928,False,T_0p025N,N,25,T_0p025N
twdp,42,1,1000,8,250,1.0,1.0,75.0,25.0,25,4445.619247857925,291089.5980942994,5.593153331879748e+21,217.47656725331555,5.834027161683839e+21,0.9587122543093253,4.128774569067472,False,T_0p025N,N,25,T_0p025N
twdp,42,2,1000,8,250,1.0,1.0,75.0,25.0,25,4283.719838207803,258314.1350148354,4.2805420958430543e+21,216.31498772360152,5.310491402994821e+21,0.806053860369507,19.394613963049302,False,T_0p025N,N,25,T_0p025N
twdp,42,3,1000,8,250,1.0,1.0,75.0,25.0,25,3786.6901173822716,197768.12863624797,1.6344221048003242e+21,212.13364227295392,1.7384733768616766e+21,0.9401479059465451,5.985209405345493,False,T_0p025N,N,25,T_0p025N
twdp,42,4,1000,8,250,1.0,1.0,75.0,25.0,25,4700.606056353701,330383.08861146285,9.024031274455349e+21,219.55400591770012,9.30607988380551e+21,0.9696920064224912,3.0307993577508796,False,T_0p025N,N,25,T_0p025N
twdp,42,5,1000,8,250,1.0,1.0,75.0,25.0,25,4560.9244762981,250566.2696938899,7.507562030110864e+21,218.75498929179187,8.435694651876735e+21,0.8899755550588375,11.002444494116247,False,T_0p025N,N,25,T_0p025N
twdp,42,6,1000,8,250,1.0,1.0,75.0,25.0,25,4722.253109589344,229745.51506655818,1.0566556302178802e+22,220.23933471447137,1.0903050640806956e+22,0.9691375973831807,3.0862402616819273,False,T_0p025N,N,25,T_0p025N
twdp,42,7,1000,8,250,1.0,1.0,75.0,25.0,25,4749.91638102353,329126.6094567901,9.621995092730096e+21,219.83265131074052,1.0461333175916154e+22,0.9197675794211044,8.023242057889558,False,T_0p025N,N,25,T_0p025N
twdp,42,8,1000,8,250,1.0,1.0,75.0,25.0,25,4602.28394668874,299077.6302686988,7.120167312603153e+21,218.52490198986092,8.045185460887222e+21,0.8850221473723419,11.497785262765813,False,T_0p025N,N,25,T_0p025N
twdp,42,9,1000,8,250,1.0,1.0,75.0,25.0,25,4837.696113899336,369507.9982013291,1.0644578285765622e+22,220.27128460345236,1.1151766112381916e+22,0.9545195064615677,4.548049353843231,False,T_0p025N,N,25,T_0p025N
