data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
twdp,42,0,2000,10,500,1.0,1.0,75.0,25.0,120,0.06,0.24,15064.91659054703,1915393.3406607234,3.873538658152385e+31,315.8810789460982,119,3.8247121992808196e+31,121,3.8695459310923578e+31,0.22794396453282392,0.24744973316833707,1.4117080604872052,1.558189271605361,1.30049877444207,0.04127860973215866,3,0.0015,0.2659722693603327,0.1422671495916549,0.07503424382708085,0.01655445238341062
twdp,42,1,2000,10,500,1.0,1.0,75.0,25.0,60,0.03,0.12,13904.579239491519,1586112.0176634244,1.7759601226473174e+31,312.49433209917436,59,1.7751243998732392e+31,61,1.762750318816158e+31,0.23196531109514368,0.337398033429934,1.4159562191916826,1.5952256784601162,1.4293302855802619,0.11209874280860666,2,0.001,0.2682089720261517,0.14327154013502003,0.07547909768294911,0.016869691229138884
twdp,42,2,2000,10,500,1.0,1.0,75.0,25.0,121,0.0605,0.242,15202.20206076592,1608418.7314970756,4.565785572257046e+31,316.59515511409086,120,4.525755609395564e+31,122,4.517742674602221e+31,0.2334189579373732,0.23553899101619677,1.4049050138691062,1.5965388417574204,1.3086100104010745,0.06731858948529834,1999,0.9995,0.26780062046341874,0.14300057906006475,0.07570460438917008,0.016565739743804174
twdp,42,3,2000,10,500,1.0,1.0,75.0,25.0,82,0.041,0.164,15327.8928892095,1474780.1701013774,5.200913669110274e+31,317.16079644903425,81,5.111846265104611e+31,83,5.171189834710499e+31,0.23237678577991894,0.2500606670040349,1.396242406699524,1.6031727803944782,1.2919978726657566,0.20063819131896143,1999,0.9995,0.2671821973734708,0.14274036791600692,0.07551963377004477,0.0169573898940475
twdp,42,4,2000,10,500,1.0,1.0,75.0,25.0,127,0.0635,0.254,14035.574723653126,1224130.8097881076,2.165148332632441e+31,313.35487654886623,126,2.156665023779633e+31,128,2.1522102675544384e+31,0.23305367865490628,0.19411316674973186,1.3877162640458638,1.5595878667821093,1.4083047732112435,0.2290647806386099,1999,0.9995,0.26611447151788187,0.14233804485633106,0.07539645671770374,0.016848490377662086
twdp,42,5,2000,10,500,1.0,1.0,75.0,25.0,110,0.055,0.22,13959.03368342988,1174476.8385147075,2.0442077072691776e+31,313.10525021373576,109,2.0075831410775023e+31,111,2.033236033568842e+31,0.23157430462068818,0.3209097132350021,1.4161956541444598,1.6121563057762447,1.4080803847003276,0.051349639445520144,1,0.0005,0.267564516885788,0.1430580784741573,0.07589620069119682,0.01698809567992614
twdp,42,6,2000,10,500,1.0,1.0,75.0,25.0,105,0.0525,0.21,15658.73265250252,1780009.0779256024,5.941506805785425e+31,317.7389659892919,104,5.9053913677764585e+31,106,5.931853739206984e+31,0.2321290111557359,0.17888100334622684,1.4067709419759846,1.572002833504195,1.2523892159029488,0.15191105137935024,1998,0.999,0.2667164789944964,0.14262098321700362,0.07536703314871074,0.016416868826501927
twdp,42,7,2000,10,500,1.0,1.0,75.0,25.0,79,0.0395,0.158,13946.307982210543,1355421.766808609,1.9698040346377442e+31,312.9442302265462,78,1.9687930299941185e+31,80,1.955909318880456e+31,0.22794380617311744,0.3044574004788522,1.4063564414729255,1.5972350634975085,1.4230508501176615,0.15500885424648692,1999,0.9995,0.2662731563040265,0.1422269872025632,0.0753260329238957,0.016851596191836068
twdp,42,8,2000,10,500,1.0,1.0,75.0,25.0,66,0.033,0.132,15087.499430161288,1663948.6206695552,4.2016035102307895e+31,316.2341506724098,65,4.133484686014411e+31,67,4.169072012559664e+31,0.234992928343037,0.28752169504736586,1.443313360182945,1.6152259147889998,1.2995516976741859,0.3068351616075906,1999,0.9995,0.2689705219885191,0.14400467584606327,0.07572311429013401,0.016698617132367068
twdp,42,9,2000,10,500,1.0,1.0,75.0,25.0,106,0.053,0.212,15515.56039593352,2232104.497144829,5.0175279392674175e+31,317.0048979946264,105,4.986813472663729e+31,107,5.00055458520011e+31,0.2281303498259381,0.2517985473065484,1.4097072428503703,1.6130088994888359,1.2716775178877469,0.14050970517019468,1999,0.9995,0.2657566655725797,0.14263107921000548,0.0754298663128292,0.016490686342035803
