data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
twdp,2000,10,500,75.0,25.0,T_0p025N,N,50,100,3.431705350327198e+31,0.8875997067411312,0.777774602402218,11.240029325886878,0.0
twdp,2000,10,500,75.0,25.0,T_0p05K,K,25,100,2.880724321280357e+31,0.7457758664007157,0.611973433226715,25.42241335992843,0.0
twdp,2000,10,500,75.0,25.0,T_0p05N,N,100,100,3.700386957004033e+31,0.9552325445091553,0.8855726763804096,4.476745549084472,0.03
twdp,2000,10,500,75.0,25.0,T_0p05NL_over_Lp2,N_L,83,100,3.66505499916204e+31,0.9473287842500906,0.8750603673040611,5.267121574990923,0.01
twdp,2000,10,500,75.0,25.0,T_0p075N,N,150,100,3.523157874838247e+31,0.9125872179233953,0.8351485870160498,8.74127820766048,0.0
twdp,2000,10,500,75.0,25.0,T_0p075NL_over_Lp2,N_L,125,100,3.6514730778013083e+31,0.9447294468273626,0.8796928036181859,5.527055317263744,0.02
twdp,2000,10,500,75.0,25.0,T_0p10K,K,50,100,3.431705350327198e+31,0.8875997067411312,0.777774602402218,11.240029325886878,0.0
twdp,2000,10,500,75.0,25.0,T_0p10N,N,200,100,3.230801174938249e+31,0.8363051085402511,0.756275035063301,16.369489145974907,0.0
twdp,2000,10,500,75.0,25.0,T_0p10NL_over_Lp2,N_L,167,100,3.4245183190690697e+31,0.8877626178394474,0.8082453808816165,11.223738216055246,0.0
twdp,2000,10,500,75.0,25.0,T_0p125NL_over_Lp2,N_L,208,100,3.1756963560278675e+31,0.8224024437351425,0.7409720209772365,17.75975562648577,0.0
twdp,2000,10,500,75.0,25.0,T_0p15K,K,75,100,3.639894153106358e+31,0.9416911291847475,0.871927230007125,5.8308870815252405,0.0
twdp,2000,10,500,75.0,25.0,T_0p15NL_over_Lp2,N_L,250,100,2.910329202595131e+31,0.75408982039149,0.668552397958052,24.591017960851,0.0
twdp,2000,10,500,75.0,25.0,T_0p20K,K,100,100,3.700386957004033e+31,0.9552325445091553,0.8855726763804096,4.476745549084472,0.03
twdp,2000,10,500,75.0,25.0,legacy_T100,legacy,100,100,3.700386957004033e+31,0.9552325445091553,0.8855726763804096,4.476745549084472,0.03
twdp,2000,10,500,75.0,25.0,legacy_T25,legacy,25,100,2.880724321280357e+31,0.7457758664007157,0.611973433226715,25.42241335992843,0.0
twdp,2000,10,500,75.0,25.0,legacy_T50,legacy,50,100,3.431705350327198e+31,0.8875997067411312,0.777774602402218,11.240029325886878,0.0
twdp,2000,10,1000,50.0,50.0,T_0p025N,N,50,100,7.162224082357014e+36,0.8016454232890244,0.6921123928183903,19.83545767109755,0.0
twdp,2000,10,1000,50.0,50.0,T_0p05K,K,50,100,7.162224082357014e+36,0.8016454232890244,0.6921123928183903,19.83545767109755,0.0
twdp,2000,10,1000,50.0,50.0,T_0p05N,N,100,100,8.480576300434548e+36,0.9460537591527977,0.887193946343104,5.394624084720229,0.04
twdp,2000,10,1000,50.0,50.0,T_0p05NL_over_Lp2,N_L,83,100,8.182014751648411e+36,0.914278551098932,0.821582566498858,8.57214489010681,0.01
twdp,2000,10,1000,50.0,50.0,T_0p075N,N,150,100,8.559750910919789e+36,0.9577888216891983,0.9114792875634415,4.221117831080156,0.0
twdp,2000,10,1000,50.0,50.0,T_0p075NL_over_Lp2,N_L,125,100,8.6462637160652e+36,0.9661596531444944,0.9174175028714964,3.38403468555055,0.03
twdp,2000,10,1000,50.0,50.0,T_0p10K,K,100,100,8.480576300434548e+36,0.9460537591527977,0.887193946343104,5.394624084720229,0.04
twdp,2000,10,1000,50.0,50.0,T_0p10N,N,200,100,8.194914498046126e+36,0.9157478931667513,0.8436844237840614,8.425210683324861,0.0
twdp,2000,10,1000,50.0,50.0,T_0p10NL_over_Lp2,N_L,167,100,8.453891839580799e+36,0.9463133435266364,0.9051592884233159,5.368665647336356,0.0
twdp,2000,10,1000,50.0,50.0,T_0p125NL_over_Lp2,N_L,208,100,8.105043675126006e+36,0.9057840003063043,0.8349380075581316,9.421599969369563,0.0
twdp,2000,10,1000,50.0,50.0,T_0p15K,K,150,100,8.559750910919789e+36,0.9577888216891983,0.9114792875634415,4.221117831080156,0.0
twdp,2000,10,1000,50.0,50.0,T_0p15NL_over_Lp2,N_L,250,100,7.608843244245394e+36,0.8502876312776132,0.7752124746061871,14.971236872238656,0.0
twdp,2000,10,1000,50.0,50.0,T_0p20K,K,200,100,8.194914498046126e+36,0.9157478931667513,0.8436844237840614,8.425210683324861,0.0
twdp,2000,10,1000,50.0,50.0,legacy_T100,legacy,100,100,8.480576300434548e+36,0.9460537591527977,0.887193946343104,5.394624084720229,0.04
twdp,2000,10,1000,50.0,50.0,legacy_T25,legacy,25,100,5.624072654958304e+36,0.6300043795284075,0.5185719218940199,36.99956204715925,0.0
twdp,2000,10,1000,50.0,50.0,legacy_T50,legacy,50,100,7.162224082357014e+36,0.8016454232890244,0.6921123928183903,19.83545767109755,0.0
