data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
twdp,42,0,2000,10,500,1.0,1.0,75.0,25.0,750,12858.552775392383,917412.8140562046,9.269119193626107e+30,309.6703846688211,3.873538658152385e+31,0.23929331837486623,76.07066816251337,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,1,2000,10,500,1.0,1.0,75.0,25.0,750,11707.40149606076,901681.0288670518,3.4034272441275256e+30,305.31916471023567,1.7759601226473174e+31,0.19163871985223635,80.83612801477636,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,2,2000,10,500,1.0,1.0,75.0,25.0,750,12869.40127378872,918801.450608967,9.113629067095689e+30,309.5969134842991,4.565785572257046e+31,0.19960703197435675,80.03929680256432,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,3,2000,10,500,1.0,1.0,75.0,25.0,750,13112.70060449053,1114682.008005179,1.0767934837549922e+31,310.32132418743004,5.200913669110274e+31,0.20703929199024762,79.29607080097524,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,4,2000,10,500,1.0,1.0,75.0,25.0,750,12134.656403548217,1064409.3354570342,4.8028100046968407e+30,306.8149540663817,2.165148332632441e+31,0.22182360128913042,77.81763987108697,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,5,2000,10,500,1.0,1.0,75.0,25.0,750,11863.821925849867,1010430.5903419898,3.8582120621633736e+30,305.86386094457765,2.0442077072691776e+31,0.1887387494159042,81.12612505840958,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,6,2000,10,500,1.0,1.0,75.0,25.0,750,13553.113449937986,1483978.6709534759,1.3658244697806514e+31,311.3539488916692,5.941506805785425e+31,0.22987846592226516,77.01215340777348,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,7,2000,10,500,1.0,1.0,75.0,25.0,750,11827.806544306814,908479.1089998329,3.8070389574321395e+30,305.8058732097282,1.969804034637744e+31,0.19326993398773656,80.67300660122633,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,8,2000,10,500,1.0,1.0,75.0,25.0,750,12563.19551319559,1078779.0953474455,6.95247983482873e+30,308.4213973789789,4.2016035102307895e+31,0.1654720588913169,83.45279411086831,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,9,2000,10,500,1.0,1.0,75.0,25.0,750,13234.0105485752,1371699.5449240205,1.0869264738067457e+31,310.3620016680937,5.0175279392674175e+31,0.2166258936597854,78.33741063402147,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
twdp,42,10,2000,10,500,1.0,1.0,75.0,25.0,750,13083.86287947405,1225532.9520162141,1.0119664827123447e+31,310.0516612849772,5.148206701239698e+31,0.1965667933396422,80.34332066603578,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
