data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
rician,42,0,2000,2,500,1.0,1.0,75.0,25.0,750,40869.86504035754,702209450.6245944,65936375.156586,78.19125068182267,110434400.5672863,0.5970637303039625,40.29362696960375,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,1,2000,2,500,1.0,1.0,75.0,25.0,750,38650.17066034407,614040122.2385123,66373384.795606285,78.21993965609066,99256475.406955,0.6687058403340749,33.12941596659251,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,2,2000,2,500,1.0,1.0,75.0,25.0,750,38030.41869942629,587452691.2939003,67065589.68821855,78.26499747565529,101373376.26935756,0.6615700507993307,33.84299492006693,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,3,2000,2,500,1.0,1.0,75.0,25.0,750,42468.227024405525,734060860.7729268,83898714.24611518,79.23755305285243,125153917.3808152,0.6703642682700077,32.963573172999226,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,4,2000,2,500,1.0,1.0,75.0,25.0,750,33536.00751580749,447022191.2745381,57178011.37316141,77.57229046707855,85350054.9761925,0.6699235447371489,33.00764552628511,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,5,2000,2,500,1.0,1.0,75.0,25.0,750,44338.95907442125,838385682.8507998,72329376.46857591,78.59314721181397,131096943.86404043,0.5517243525035039,44.8275647496496,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,6,2000,2,500,1.0,1.0,75.0,25.0,750,43443.63390623715,774524637.6222402,84198247.18952638,79.25303050598936,146579477.27247986,0.5744204356317111,42.55795643682889,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,7,2000,2,500,1.0,1.0,75.0,25.0,750,41566.28300061044,709528158.3288064,77167050.71165618,78.8743190203653,118151382.5301038,0.6531201671888586,34.68798328111414,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,8,2000,2,500,1.0,1.0,75.0,25.0,750,36850.10501499828,576578339.3302034,50768722.081308916,77.05596231751645,87388970.39510854,0.5809511412226298,41.904885877737016,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,9,2000,2,500,1.0,1.0,75.0,25.0,750,39471.59692028802,619346712.3465242,79863854.23024653,79.02350265419261,118924927.92192058,0.6715484770584065,32.845152294159355,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,10,2000,2,500,1.0,1.0,75.0,25.0,750,41312.42054881467,690337675.5562594,81551497.36248644,79.11431939506217,124093929.04570872,0.6571755603970585,34.28244396029415,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,11,2000,2,500,1.0,1.0,75.0,25.0,750,38638.38162658441,611007211.3500718,67233523.12038912,78.2758586942302,111877125.7557684,0.6009586201486996,39.90413798513004,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,12,2000,2,500,1.0,1.0,75.0,25.0,750,38164.46915069953,595035296.6575552,66324761.444811285,78.21675696598001,98008718.82566825,0.676723073615375,32.3276926384625,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rician,42,13,2000,2,500,1.0,1.0,75.0,25.0,750,39578.803037468795,632495816.093277,75098340.70159566,78.75630341370322,116145101.549806,0.6465906844068802,35.34093155931198,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
