data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
gaussian,2000,4,500,75.0,25.0,T_0p025N,N,50,100,575076460342888.4,0.9171899271243553,0.8201151895469682,8.281007287564467,0.03
gaussian,2000,4,500,75.0,25.0,T_0p05K,K,25,100,500565981766795.7,0.796790848759618,0.6712158898220851,20.320915124038205,0.0
gaussian,2000,4,500,75.0,25.0,T_0p05N,N,100,100,601067097587186.8,0.9607447295940952,0.9151255766415438,3.9255270405905067,0.01
gaussian,2000,4,500,75.0,25.0,T_0p05NL_over_Lp2,N_L,67,100,594369368491169.5,0.9485477014071324,0.8857273745561081,5.145229859286782,0.02
gaussian,2000,4,500,75.0,25.0,T_0p075N,N,150,100,573139285309363.2,0.9169934743641158,0.8559890477570387,8.300652563588438,0.01
gaussian,2000,4,500,75.0,25.0,T_0p075NL_over_Lp2,N_L,100,100,601067097587186.8,0.9607447295940952,0.9151255766415438,3.9255270405905067,0.01
gaussian,2000,4,500,75.0,25.0,T_0p10K,K,50,100,575076460342888.4,0.9171899271243553,0.8201151895469682,8.281007287564467,0.03
gaussian,2000,4,500,75.0,25.0,T_0p10N,N,200,100,530302624639528.56,0.8479070922578192,0.7730577881149413,15.209290774218093,0.0
gaussian,2000,4,500,75.0,25.0,T_0p10NL_over_Lp2,N_L,133,100,586752276085446.1,0.9373395546798396,0.8798014594081944,6.266044532016041,0.0
gaussian,2000,4,500,75.0,25.0,T_0p125NL_over_Lp2,N_L,167,100,561217602067834.5,0.8977306062082012,0.8413431880635049,10.226939379179866,0.0
gaussian,2000,4,500,75.0,25.0,T_0p15K,K,75,100,599404212342793.8,0.9573031621824771,0.9039864113721352,4.2696837817522875,0.01
gaussian,2000,4,500,75.0,25.0,T_0p15NL_over_Lp2,N_L,200,100,530302624639528.56,0.8479070922578192,0.7730577881149413,15.209290774218093,0.0
gaussian,2000,4,500,75.0,25.0,T_0p20K,K,100,100,601067097587186.8,0.9607447295940952,0.9151255766415438,3.9255270405905067,0.01
gaussian,2000,4,500,75.0,25.0,legacy_T100,legacy,100,100,601067097587186.8,0.9607447295940952,0.9151255766415438,3.9255270405905067,0.01
gaussian,2000,4,500,75.0,25.0,legacy_T25,legacy,25,100,500565981766795.7,0.796790848759618,0.6712158898220851,20.320915124038205,0.0
gaussian,2000,4,500,75.0,25.0,legacy_T50,legacy,50,100,575076460342888.4,0.9171899271243553,0.8201151895469682,8.281007287564467,0.03
gaussian,2000,4,1000,50.0,50.0,T_0p025N,N,50,100,3.5763994573477308e+16,0.8468332043727403,0.7522075236342413,15.316679562725964,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p05K,K,50,100,3.5763994573477308e+16,0.8468332043727403,0.7522075236342413,15.316679562725964,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p05N,N,100,100,4.029168868380164e+16,0.9558223098788613,0.8924949257909832,4.417769012113877,0.01
gaussian,2000,4,1000,50.0,50.0,T_0p05NL_over_Lp2,N_L,67,100,3.806852674936855e+16,0.9020399985262205,0.8248908921639772,9.79600014737794,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p075N,N,150,100,4.036095444511913e+16,0.9573617806401502,0.9165146084326169,4.26382193598499,0.01
gaussian,2000,4,1000,50.0,50.0,T_0p075NL_over_Lp2,N_L,100,100,4.029168868380164e+16,0.9558223098788613,0.8924949257909832,4.417769012113877,0.01
gaussian,2000,4,1000,50.0,50.0,T_0p10K,K,100,100,4.029168868380164e+16,0.9558223098788613,0.8924949257909832,4.417769012113877,0.01
gaussian,2000,4,1000,50.0,50.0,T_0p10N,N,200,100,3.865897768072348e+16,0.9162401178362868,0.8601470608221982,8.375988216371317,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p10NL_over_Lp2,N_L,133,100,4.073891675101746e+16,0.9650425271022927,0.9272527244409552,3.4957472897707396,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p125NL_over_Lp2,N_L,167,100,4.003517908454098e+16,0.9494035818373705,0.9077742957095679,5.059641816262948,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p15K,K,150,100,4.036095444511913e+16,0.9573617806401502,0.9165146084326169,4.26382193598499,0.01
gaussian,2000,4,1000,50.0,50.0,T_0p15NL_over_Lp2,N_L,200,100,3.865897768072348e+16,0.9162401178362868,0.8601470608221982,8.375988216371317,0.0
gaussian,2000,4,1000,50.0,50.0,T_0p20K,K,200,100,3.865897768072348e+16,0.9162401178362868,0.8601470608221982,8.375988216371317,0.0
gaussian,2000,4,1000,50.0,50.0,legacy_T100,legacy,100,100,4.029168868380164e+16,0.9558223098788613,0.8924949257909832,4.417769012113877,0.01
gaussian,2000,4,1000,50.0,50.0,legacy_T25,legacy,25,100,2.950880508831613e+16,0.6970261353424213,0.5878910154132632,30.297386465757885,0.0
gaussian,2000,4,1000,50.0,50.0,legacy_T50,legacy,50,100,3.5763994573477308e+16,0.8468332043727403,0.7522075236342413,15.316679562725964,0.0
