data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
gaussian,42,0,2000,4,500,1.0,1.0,75.0,25.0,750,15086.220963971182,412689.5943990308,196661998114635.3,142.93720447343918,731980234824201.5,0.2686711864041893,73.13288135958106,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,1,2000,4,500,1.0,1.0,75.0,25.0,750,14608.56123773214,1419274.7896127875,168698628933282.2,142.27111552955873,730724250692428.9,0.2308649655098002,76.91350344901998,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,2,2000,4,500,1.0,1.0,75.0,25.0,750,13048.179300724063,854127.2736260784,107856045518615.94,140.32844493080574,431772842802738.2,0.24979812259265127,75.02018774073487,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,3,2000,4,500,1.0,1.0,75.0,25.0,750,14079.360424604836,1489227.8658817096,141201902363135.47,141.49840547850678,698551990411361.6,0.20213513711411063,79.78648628858893,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,4,2000,4,500,1.0,1.0,75.0,25.0,750,15848.863220804738,1138922.0018128664,236265996960407.34,143.7340122313445,859903947815205.0,0.27475859084110327,72.52414091588967,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,5,2000,4,500,1.0,1.0,75.0,25.0,750,12334.46577924286,440861.8647659164,88276721362856.67,139.45846194896717,401583587187693.3,0.21982153698327725,78.01784630167228,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,6,2000,4,500,1.0,1.0,75.0,25.0,750,14946.70779225901,1244698.443220038,185657073909560.0,142.68711501374506,758895443454958.5,0.24464117621306947,75.53588237869306,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,7,2000,4,500,1.0,1.0,75.0,25.0,750,14024.75905393332,1134862.285390857,142906780950768.2,141.55052836626035,716486278490269.2,0.1994550143401093,80.05449856598908,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,8,2000,4,500,1.0,1.0,75.0,25.0,750,14595.521764797517,459071.12552008167,173781301689206.5,142.40003045932806,703314405732153.5,0.24708906894676694,75.2910931053233,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,9,2000,4,500,1.0,1.0,75.0,25.0,750,14525.926782862629,496990.9159950718,169242117844672.12,142.28508451323046,589752524810392.8,0.2869714172043333,71.30285827956668,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,10,2000,4,500,1.0,1.0,75.0,25.0,750,14804.678022774193,1849673.2059803526,173529091963511.8,142.39372294228238,851887295686834.8,0.2036995889504419,79.63004110495581,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,11,2000,4,500,1.0,1.0,75.0,25.0,750,14383.523040322087,1212714.4686950978,159383173767899.62,142.02442470601682,674752972779656.4,0.2362096651628194,76.37903348371806,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,12,2000,4,500,1.0,1.0,75.0,25.0,750,14440.285319970493,955573.8753019453,162154202089402.4,142.09928207530078,668314473885727.0,0.24263158801065957,75.73684119893404,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
gaussian,42,13,2000,4,500,1.0,1.0,75.0,25.0,750,13473.020973797991,672928.0032871633,122979859945961.39,140.89833994118203,572180770503859.5,0.21493182973916783,78.50681702608323,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
