data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
rayleigh,42,0,2000,4,500,1.0,1.0,75.0,25.0,750,14381.866197222429,1001006.111638324,160049849128713.75,142.04255269091848,755490758013225.9,0.21184885113566387,78.81511488643362,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,1,2000,4,500,1.0,1.0,75.0,25.0,750,13553.447225939202,646832.7683350486,127393257380642.84,141.05146442443032,497997726764393.06,0.25581092148421325,74.41890785157868,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,2,2000,4,500,1.0,1.0,75.0,25.0,750,13586.313274801556,525648.7373400907,128038836219370.23,141.07341718066576,594839801281660.1,0.2152492754242299,78.47507245757701,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,3,2000,4,500,1.0,1.0,75.0,25.0,750,14852.935902607038,983673.8042235227,180765805742978.7,142.5711628132949,705341938653030.4,0.2562810969218441,74.37189030781559,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,4,2000,4,500,1.0,1.0,75.0,25.0,750,12228.47500067339,982817.4813545241,82360879188696.78,139.1572097399215,389139417290508.1,0.21164877041281863,78.83512295871815,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,5,2000,4,500,1.0,1.0,75.0,25.0,750,13307.036869523776,1098721.4494412686,114300395896343.34,140.58047734641121,479820313312299.7,0.23821499991799822,76.17850000820017,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,6,2000,4,500,1.0,1.0,75.0,25.0,750,13104.56444524041,451607.3809323859,112759214797655.23,140.52152042986788,495739888747530.8,0.2274564088085334,77.25435911914667,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,7,2000,4,500,1.0,1.0,75.0,25.0,750,13041.361470331567,1064718.5386803756,106805811216599.69,140.28594882942002,563511413183833.0,0.18953619876685032,81.04638012331496,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,8,2000,4,500,1.0,1.0,75.0,25.0,750,17179.322588774816,1893237.9332415564,322515456677567.56,145.08550533200489,1570693501426983.8,0.20533315785960818,79.46668421403919,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,9,2000,4,500,1.0,1.0,75.0,25.0,750,13364.659521183867,441007.44723152445,120723324980051.73,140.8179118833648,471450639549264.3,0.25606779342895925,74.39322065710408,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,10,2000,4,500,1.0,1.0,75.0,25.0,750,15018.059555303924,1145283.9771474951,189642683286435.94,142.77936091596553,700954635832169.9,0.27054915338607194,72.9450846613928,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,11,2000,4,500,1.0,1.0,75.0,25.0,750,14574.32156502488,915101.1423545163,169030506223027.4,142.27965092120817,669211032890117.4,0.2525817685536899,74.741823144631,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,12,2000,4,500,1.0,1.0,75.0,25.0,750,13159.96984584907,841294.3018863265,112777763055435.08,140.52223476115824,478175070946622.2,0.23585036089851755,76.41496391014824,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,13,2000,4,500,1.0,1.0,75.0,25.0,750,16764.81781833378,728536.5155145646,300940218112436.0,144.78480231399521,1342952409194111.8,0.22408852022762765,77.59114797723723,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,14,2000,4,500,1.0,1.0,75.0,25.0,750,13502.659269357802,650781.368639655,125883152742127.39,140.99967611277745,629025369200486.5,0.20012412679337455,79.98758732066254,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,15,2000,4,500,1.0,1.0,75.0,25.0,750,13804.182939621278,800082.8070434807,136849620456027.88,141.36243597258886,717910742082571.4,0.1906220542947217,80.93779457052783,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,16,2000,4,500,1.0,1.0,75.0,25.0,750,13492.182144135682,574842.5782812379,125944616663023.73,141.0017960888448,514426149226046.6,0.24482545619523274,75.51745438047672,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,17,2000,4,500,1.0,1.0,75.0,25.0,750,12599.171827863134,630249.2526485173,94491254096935.23,139.75391613025496,410883800587058.4,0.22997074589440855,77.00292541055914,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,18,2000,4,500,1.0,1.0,75.0,25.0,750,13081.48079731406,506991.6985124043,110005836764881.36,140.41415728863046,526491675498422.3,0.2089412651410687,79.10587348589313,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,19,2000,4,500,1.0,1.0,75.0,25.0,750,11963.85250267128,338087.9200031817,77802433897461.44,138.90993183258368,306893911751527.3,0.25351572943699574,74.64842705630042,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,20,2000,4,500,1.0,1.0,75.0,25.0,750,13854.41507357437,599067.3958583976,139661451811887.92,141.450765523163,533213016206926.3,0.26192431086057527,73.80756891394246,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,21,2000,4,500,1.0,1.0,75.0,25.0,750,15208.237135177447,1559996.0569111328,197158021712979.12,142.94814451786158,972477023049274.6,0.2027379743068637,79.72620256931363,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,22,2000,4,500,1.0,1.0,75.0,25.0,750,13491.183975188365,520097.8017371201,125367275310389.1,140.98184187157682,563566912183166.6,0.22245322179177737,77.75467782082227,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,23,2000,4,500,1.0,1.0,75.0,25.0,750,15522.247850686588,1374505.262884298,211543747066741.16,143.25400192727844,884976392908764.0,0.2390388588462044,76.09611411537955,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,24,2000,4,500,1.0,1.0,75.0,25.0,750,12131.606402748504,420152.8300639575,82590669662723.38,139.16930987479338,324894897797205.0,0.25420734589151767,74.57926541084822,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,25,2000,4,500,1.0,1.0,75.0,25.0,750,11656.114137548642,581255.9333034027,69287727538941.25,138.4065631781368,306443666148602.0,0.22610265831156695,77.3897341688433,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,26,2000,4,500,1.0,1.0,75.0,25.0,750,12589.453616288818,1355431.5611352473,90405791320957.05,139.5619625191534,439939182381909.94,0.20549611160225334,79.45038883977466,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,27,2000,4,500,1.0,1.0,75.0,25.0,750,11043.966242528571,678980.2075696674,55150573447452.85,137.4155003252906,237566911785727.4,0.2321475370155744,76.78524629844257,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,28,2000,4,500,1.0,1.0,75.0,25.0,750,12979.85932448331,929912.84627161,105946447262233.02,140.25086397948394,369918832680929.4,0.28640457825410665,71.35954217458934,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,29,2000,4,500,1.0,1.0,75.0,25.0,750,13818.246128323248,1158887.3492192773,134933805351726.22,141.30120768341018,574490333497763.5,0.23487567585373745,76.51243241462625,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,30,2000,4,500,1.0,1.0,75.0,25.0,750,10358.781352528076,387329.96780690463,43590922467620.414,136.39396059620077,203206244241881.5,0.2145156642712861,78.54843357287139,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,31,2000,4,500,1.0,1.0,75.0,25.0,750,12619.218689251144,796395.26335268,95148190225697.66,139.78400532166205,403531741066483.4,0.2357886147301152,76.42113852698849,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,32,2000,4,500,1.0,1.0,75.0,25.0,750,13345.767789106554,473035.95360072353,120614688738417.03,140.81400200420927,512563057325262.06,0.23531678105680842,76.46832189431916,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,33,2000,4,500,1.0,1.0,75.0,25.0,750,13187.429307883145,580549.1654577937,114585358306510.28,140.5912912711711,451044111247776.9,0.2540446831009925,74.59553168990075,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,34,2000,4,500,1.0,1.0,75.0,25.0,750,14286.742934048661,1006256.5863039709,155971587374983.38,141.93045492135855,693112123390877.1,0.22503081696498328,77.49691830350167,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,35,2000,4,500,1.0,1.0,75.0,25.0,750,13485.933817176534,575203.9777027906,125323608103829.86,140.98032889856543,541958237899292.25,0.23124218683270156,76.87578131672984,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,36,2000,4,500,1.0,1.0,75.0,25.0,750,15560.063473161657,691801.4509853651,223123223093263.47,143.48544774839513,1032497920623661.4,0.2161004091499671,78.3899590850033,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
rayleigh,42,37,2000,4,500,1.0,1.0,75.0,25.0,750,14217.406911037688,1246320.0419752104,151512477421555.88,141.8044839951948,645325805725017.5,0.23478447022792312,76.52155297720769,False,strong_weak,heuristic,750,strong/weak H3,outside_dense_0_to_K
