data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
gaussian,42,0,2000,8,500,1.0,1.0,75.0,25.0,50,12899.539182760182,800173.6947744926,3.817907143344465e+25,255.81825361558037,4.976665741885804e+25,0.7671616582989053,23.283834170109476,False,T_0p025N,N,50,T_0p025N
gaussian,42,1,2000,8,500,1.0,1.0,75.0,25.0,50,14552.969680257,1475926.9475306098,9.50513318866232e+25,259.7795820670339,1.0524077867256794e+26,0.9031796712788792,9.682032872112078,False,T_0p025N,N,50,T_0p025N
gaussian,42,2,2000,8,500,1.0,1.0,75.0,25.0,50,13165.012845289144,837317.2772643762,4.602805458501886e+25,256.63022619455216,5.617535619541118e+25,0.8193638225435724,18.06361774564276,False,T_0p025N,N,50,T_0p025N
gaussian,42,3,2000,8,500,1.0,1.0,75.0,25.0,50,11802.068858963108,526655.038436539,1.920346739422928e+25,252.83379652360924,1.969732561863383e+25,0.9749276508919894,2.5072349108010594,False,T_0p025N,N,50,T_0p025N
gaussian,42,4,2000,8,500,1.0,1.0,75.0,25.0,50,14158.35741029733,1218289.5854488898,7.909361883679265e+25,258.98141446636,9.063615874338202e+25,0.8726497231720759,12.73502768279241,False,T_0p025N,N,50,T_0p025N
gaussian,42,5,2000,8,500,1.0,1.0,75.0,25.0,50,12469.975399997218,903694.7951460022,2.8639424304780244e+25,254.5696428375558,3.0179178040437796e+25,0.9489795999879652,5.102040001203479,False,T_0p025N,N,50,T_0p025N
gaussian,42,6,2000,8,500,1.0,1.0,75.0,25.0,50,10446.795925532537,641047.4320975855,6.884031592589796e+24,248.3784285474906,8.400906365200897e+24,0.8194391525544843,18.05608474455157,False,T_0p025N,N,50,T_0p025N
gaussian,42,7,2000,8,500,1.0,1.0,75.0,25.0,50,13016.566144470436,958362.3489869267,3.9960900000285895e+25,256.0163526085415,5.400969770454773e+25,0.7398837930715007,26.011620692849934,False,T_0p025N,N,50,T_0p025N
gaussian,42,8,2000,8,500,1.0,1.0,75.0,25.0,50,14043.377200063433,885864.3353842827,7.707326367398734e+25,258.8690374961262,9.451935494897168e+25,0.8154230815011064,18.457691849889358,False,T_0p025N,N,50,T_0p025N
gaussian,42,9,2000,8,500,1.0,1.0,75.0,25.0,50,11003.057142523627,748167.0547115395,1.0492150262485405e+25,250.20864501676317,1.2721718884353276e+25,0.8247431308508109,17.525686914918914,False,T_0p025N,N,50,T_0p025N
gaussian,42,10,2000,8,500,1.0,1.0,75.0,25.0,50,14063.075785134568,1038616.1257859489,7.642518227871386e+25,258.8323648321815,8.460009251623798e+25,0.903369961020373,9.663003897962696,False,T_0p025N,N,50,T_0p025N
