data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
nakagami,2000,8,500,75.0,25.0,T_0p025N,N,50,100,2.332873842293682e+26,0.8810316104650535,0.7853004036768226,11.896838953494628,0.0
nakagami,2000,8,500,75.0,25.0,T_0p05K,K,25,100,1.9310868431375923e+26,0.7311470890596204,0.608695712688647,26.885291094037942,0.0
nakagami,2000,8,500,75.0,25.0,T_0p05N,N,100,100,2.533639892192675e+26,0.9549940023461808,0.9023083904504043,4.500599765381932,0.0
nakagami,2000,8,500,75.0,25.0,T_0p05NL_over_Lp2,N_L,80,100,2.5143918615421387e+26,0.9446656436341789,0.8854450133105359,5.533435636582118,0.02
nakagami,2000,8,500,75.0,25.0,T_0p075N,N,150,100,2.4620685858634794e+26,0.9308982934740633,0.8613616833863333,6.910170652593674,0.0
nakagami,2000,8,500,75.0,25.0,T_0p075NL_over_Lp2,N_L,120,100,2.5142573954769636e+26,0.9492728914278257,0.8870510412779601,5.072710857217428,0.02
nakagami,2000,8,500,75.0,25.0,T_0p10K,K,50,100,2.332873842293682e+26,0.8810316104650535,0.7853004036768226,11.896838953494628,0.0
nakagami,2000,8,500,75.0,25.0,T_0p10N,N,200,100,2.2959114742782534e+26,0.8683733379187882,0.7930258545287073,13.162666208121204,0.0
nakagami,2000,8,500,75.0,25.0,T_0p10NL_over_Lp2,N_L,160,100,2.4332959146733304e+26,0.9216900563416003,0.8517092638612094,7.830994365839972,0.01
nakagami,2000,8,500,75.0,25.0,T_0p125NL_over_Lp2,N_L,200,100,2.2959114742782534e+26,0.8683733379187882,0.7930258545287073,13.162666208121204,0.0
nakagami,2000,8,500,75.0,25.0,T_0p15K,K,75,100,2.5000221190955894e+26,0.9393050487520028,0.8740655265227973,6.069495124799731,0.0
nakagami,2000,8,500,75.0,25.0,T_0p15NL_over_Lp2,N_L,240,100,2.1472120137852494e+26,0.8132064260236628,0.7301738468104156,18.679357397633733,0.0
nakagami,2000,8,500,75.0,25.0,T_0p20K,K,100,100,2.533639892192675e+26,0.9549940023461808,0.9023083904504043,4.500599765381932,0.0
nakagami,2000,8,500,75.0,25.0,legacy_T100,legacy,100,100,2.533639892192675e+26,0.9549940023461808,0.9023083904504043,4.500599765381932,0.0
nakagami,2000,8,500,75.0,25.0,legacy_T25,legacy,25,100,1.9310868431375923e+26,0.7311470890596204,0.608695712688647,26.885291094037942,0.0
nakagami,2000,8,500,75.0,25.0,legacy_T50,legacy,50,100,2.332873842293682e+26,0.8810316104650535,0.7853004036768226,11.896838953494628,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p025N,N,50,100,3.454798218206213e+30,0.7799467701163428,0.6693560323094844,22.005322988365688,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p05K,K,50,100,3.454798218206213e+30,0.7799467701163428,0.6693560323094844,22.005322988365688,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p05N,N,100,100,4.119161489561033e+30,0.927825158310058,0.8402597772193998,7.217484168994221,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p05NL_over_Lp2,N_L,80,100,3.9561225111805856e+30,0.8883013502853525,0.8082315600534206,11.169864971464754,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p075N,N,150,100,4.2721957352850863e+30,0.9643153006299605,0.924816305278313,3.568469937003936,0.01
nakagami,2000,8,1000,50.0,50.0,T_0p075NL_over_Lp2,N_L,120,100,4.20746229191954e+30,0.949265109019709,0.892044495360738,5.073489098029087,0.01
nakagami,2000,8,1000,50.0,50.0,T_0p10K,K,100,100,4.119161489561033e+30,0.927825158310058,0.8402597772193998,7.217484168994221,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p10N,N,200,100,4.166241023355344e+30,0.9411802702994375,0.890047284468864,5.881972970056246,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p10NL_over_Lp2,N_L,160,100,4.2652587815719886e+30,0.9646954976945012,0.929524263946337,3.530450230549875,0.01
nakagami,2000,8,1000,50.0,50.0,T_0p125NL_over_Lp2,N_L,200,100,4.166241023355344e+30,0.9411802702994375,0.890047284468864,5.881972970056246,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p15K,K,150,100,4.2721957352850863e+30,0.9643153006299605,0.924816305278313,3.568469937003936,0.01
nakagami,2000,8,1000,50.0,50.0,T_0p15NL_over_Lp2,N_L,240,100,4.007469194496435e+30,0.9067171623422812,0.8485974860127877,9.32828376577188,0.0
nakagami,2000,8,1000,50.0,50.0,T_0p20K,K,200,100,4.166241023355344e+30,0.9411802702994375,0.890047284468864,5.881972970056246,0.0
nakagami,2000,8,1000,50.0,50.0,legacy_T100,legacy,100,100,4.119161489561033e+30,0.927825158310058,0.8402597772193998,7.217484168994221,0.0
nakagami,2000,8,1000,50.0,50.0,legacy_T25,legacy,25,100,2.671221302189615e+30,0.6046031346588783,0.490517545376385,39.53968653411216,0.0
nakagami,2000,8,1000,50.0,50.0,legacy_T50,legacy,50,100,3.454798218206213e+30,0.7799467701163428,0.6693560323094844,22.005322988365688,0.0
