data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label
rician,42,0,2000,8,500,1.0,1.0,75.0,25.0,50,59856.31504460147,3004999669.9535403,1.1813759873133683e+20,200.7238813912775,2.1367090197945732e+20,0.5528951187873713,44.71048812126287,False,T_0p025N,N,50,T_0p025N
rician,42,1,2000,8,500,1.0,1.0,75.0,25.0,50,69212.8548504778,4011338384.33351,4.686824254684346e+20,206.70878668764118,8.66511400938388e+20,0.5408843149217369,45.9115685078263,False,T_0p025N,N,50,T_0p025N
rician,42,2,2000,8,500,1.0,1.0,75.0,25.0,50,72151.06458224657,4355136935.1689205,8.076293375502947e+20,209.0721208652815,1.3191718446545222e+21,0.6122245110240393,38.77754889759607,False,T_0p025N,N,50,T_0p025N
rician,42,3,2000,8,500,1.0,1.0,75.0,25.0,50,72924.27846356505,4462296268.570846,5.273896933437754e+20,207.2213163822256,1.1099775611236052e+21,0.4751354548193846,52.48645451806154,False,T_0p025N,N,50,T_0p025N
rician,42,4,2000,8,500,1.0,1.0,75.0,25.0,50,71965.95504506861,4339353946.138981,6.053592912536006e+20,207.82013212493754,1.2967194272070597e+21,0.46683906984987045,53.31609301501295,False,T_0p025N,N,50,T_0p025N
rician,42,5,2000,8,500,1.0,1.0,75.0,25.0,50,69410.56353975165,4042396861.219777,3.521577987859561e+20,205.4673731059631,7.720657273642214e+20,0.45612411781079615,54.38758821892038,False,T_0p025N,N,50,T_0p025N
rician,42,6,2000,8,500,1.0,1.0,75.0,25.0,50,67756.3694626894,3853122842.151043,2.5524746209960873e+20,204.06961432633128,4.6863626829186256e+20,0.5446600687351045,45.53399312648955,False,T_0p025N,N,50,T_0p025N
rician,42,7,2000,8,500,1.0,1.0,75.0,25.0,50,69407.61749796284,4052985871.639382,2.1145845122159847e+20,203.25225046993253,3.77182807246928e+20,0.5606259011778452,43.93740988221548,False,T_0p025N,N,50,T_0p025N
rician,42,8,2000,8,500,1.0,1.0,75.0,25.0,50,75400.52782147349,4774112970.310627,5.581231510499481e+20,207.46730037504494,9.708459053513694e+20,0.5748833547873404,42.511664521265956,False,T_0p025N,N,50,T_0p025N
rician,42,9,2000,8,500,1.0,1.0,75.0,25.0,50,65497.511064783444,3587476666.7447367,3.72734821623175e+20,205.71399967297364,5.4249034943396184e+20,0.6870810181454639,31.291898185453615,False,T_0p025N,N,50,T_0p025N
rician,42,10,2000,8,500,1.0,1.0,75.0,25.0,50,69282.0040134376,4025713516.4544477,3.8399810217669014e+20,205.84329077971105,6.031217150474495e+20,0.6366842589086347,36.33157410913653,False,T_0p025N,N,50,T_0p025N
rician,42,11,2000,8,500,1.0,1.0,75.0,25.0,50,64553.679370011785,3496457579.4310665,1.9990014556473924e+20,203.0081311036594,3.975698355419967e+20,0.5028051116911838,49.719488830881616,False,T_0p025N,N,50,T_0p025N
rician,42,12,2000,8,500,1.0,1.0,75.0,25.0,50,72408.04968638197,4410697878.9593525,3.307616791961978e+20,205.19515188070153,9.003796707721382e+20,0.3673580045543972,63.264199544560284,False,T_0p025N,N,50,T_0p025N
rician,42,13,2000,8,500,1.0,1.0,75.0,25.0,50,59192.32787113511,2937341188.9436555,1.1710395670221226e+20,200.68571569238944,2.6742635658631738e+20,0.43789235360731743,56.21076463926826,False,T_0p025N,N,50,T_0p025N
