data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
nakagami,42,0,500,2,125,1.0,1.0,75.0,25.0,24,0.048,0.192,3767.3192499753027,179792.65905555378,3462036.1658697785,65.39331600383869,23,3448755.184812675,25,3421838.986658408,0.4840074540420711,0.6462337397254807,2.060911174972005,2.4991746059219073,1.341530763586246,0.23889424951102267,499,0.998,0.351632390782363,0.1956263081499232,0.10723441429213838,0.02399236171904341
nakagami,42,1,500,2,125,1.0,1.0,75.0,25.0,18,0.036,0.144,2443.7545421287487,93982.24665398746,1443113.9877553782,61.59300636220319,17,1419878.0136197635,19,1427860.4791366814,0.5031952622107335,1.1015906774456463,2.0746602431495553,2.7174948408977198,2.0742322330781264,0.5569941171887711,498,0.996,0.3539914342617701,0.20146219179106487,0.11346963014839755,0.029970250356283024
nakagami,42,2,500,2,125,1.0,1.0,75.0,25.0,31,0.062,0.248,2398.7521639196616,50377.65231952029,1415534.7419971,61.50920532883369,30,1367017.0033289618,32,1412543.952398616,0.5072268549610046,1.231735077304806,2.065611475852881,2.8428425271362485,1.902558972009293,0.572967324320381,499,0.998,0.35604871828456786,0.20744332498790952,0.11962863802320564,0.030597583941482518
nakagami,42,3,500,2,125,1.0,1.0,75.0,25.0,25,0.05,0.2,2640.4077211698927,64741.485548343626,1713093.25847394,62.33781006011731,24,1694267.3907825546,26,1689687.0332393008,0.4987508676867514,1.1373502616008506,2.111024554665855,2.9972854169683996,1.8283380435064045,0.19563632158926342,1,0.002,0.35623427480484093,0.2047260235886528,0.11679960024029411,0.029074782796325277
nakagami,42,4,500,2,125,1.0,1.0,75.0,25.0,24,0.048,0.192,3435.504462064942,21600.58631159681,2942973.1269076057,64.68786296456042,23,2801429.1289437395,25,2934024.59438595,0.4790842568090931,0.7362075061230442,1.9712619507924043,2.539962171456093,1.4541582921011038,0.12516516056922677,495,0.99,0.3472115943205296,0.1976427830601075,0.10914873656895938,0.025014619116010852
nakagami,42,5,500,2,125,1.0,1.0,75.0,25.0,21,0.042,0.168,3407.5903033900217,20381.26204473036,2884869.028343838,64.6012610118024,20,2862122.1382827056,22,2879725.4697005423,0.48466009017957673,0.7727614209315077,2.0662400179993194,2.5843660008389304,1.3736164975706016,0.09257400184256781,499,0.998,0.3521122825227313,0.19964446355042828,0.10993968256778593,0.025418448236315117
nakagami,42,6,500,2,125,1.0,1.0,75.0,25.0,23,0.046,0.184,3253.743238088301,20403.8681198451,2630033.4448041543,64.19961271227986,22,2629738.9753036373,24,2606373.628895169,0.48910680929002714,0.7226958164846323,1.9945820648027115,2.433936786904053,1.5468179434943248,0.21964992056414578,499,0.998,0.34913729572804497,0.19776482951506602,0.10906846149335861,0.025629963696446087
nakagami,42,7,500,2,125,1.0,1.0,75.0,25.0,8,0.016,0.064,2518.2389163173634,60480.244657185314,1556044.8176223484,61.920221015005666,7,1532224.7317386295,9,1549769.8092102455,0.5002571286567947,0.9860244522993927,2.169830845620596,2.5961454566720126,1.912360644522857,0.29949701672955686,1,0.002,0.35811636293817606,0.2034323029364441,0.1118762739475272,0.02759205724922352
nakagami,42,8,500,2,125,1.0,1.0,75.0,25.0,15,0.03,0.12,3705.949895777009,92980.6215217168,3374974.6857392597,65.28270519719642,14,3319543.5449043754,16,3363333.6048769723,0.4948592569907894,0.7666963998692786,2.166668234085791,2.594971408208244,1.3256872428039022,0.33037102859123024,498,0.996,0.35805933079607644,0.20140897425635287,0.10936010633591814,0.02435874379075634
nakagami,42,9,500,2,125,1.0,1.0,75.0,25.0,11,0.022,0.088,2493.759883867682,79490.17028685927,1512005.154202682,61.79553271613579,10,1400866.9776453255,12,1507508.021582058,0.47178327363819367,1.026537256645252,2.050772687340175,2.429774450193305,1.9757486189714146,0.38466900083837896,1,0.002,0.34847964845747353,0.19777444618525789,0.10769179732555141,0.026431458015401258
