data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,T,u_bf,u_i,u_g,u_g_db,best_tested_u_g,fraction_best_tested_u_g,gap_to_best_tested_pct,is_best_tested_T,formula,formula_family,formula_T,formula_label,rule_note
nakagami,42,0,500,4,125,1.0,1.0,75.0,25.0,188,1302.0350883887925,39458.11302456872,9450046184.537382,99.75433931010926,32042015985.77319,0.29492670463472864,70.50732953652714,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,1,500,4,125,1.0,1.0,75.0,25.0,188,1387.7367174866881,39370.66702609671,11865669047.069227,100.74292230986431,24667320189.180004,0.4810278926153457,51.897210738465425,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,2,500,4,125,1.0,1.0,75.0,25.0,188,1652.1813650258364,38428.8440201577,24750640618.898174,103.93586444225221,66776206771.33585,0.370650592712651,62.9349407287349,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,3,500,4,125,1.0,1.0,75.0,25.0,188,1262.4078328722553,27530.509358352192,8701300572.401497,99.39584170917799,22201172659.630745,0.3919297735215316,60.80702264784684,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,4,500,4,125,1.0,1.0,75.0,25.0,188,1540.8078083805005,40297.1430170954,19510080437.56128,102.902590599387,67145324372.047966,0.29056498899993644,70.94350110000636,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,5,500,4,125,1.0,1.0,75.0,25.0,188,1161.112404574943,48440.59156138476,5281998376.8902445,97.22798263416207,16237674344.661736,0.32529278915035903,67.4707210849641,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,6,500,4,125,1.0,1.0,75.0,25.0,188,1539.5085709027824,28057.162808277768,19292492679.625732,102.85388344132629,57808178242.80476,0.3337329295968087,66.62670704031912,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,7,500,4,125,1.0,1.0,75.0,25.0,188,1199.9160082278531,33860.271334995305,6579387147.91884,98.18185442143948,17333942421.2742,0.3795666899091497,62.04333100908504,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,8,500,4,125,1.0,1.0,75.0,25.0,188,1532.0990030690432,31731.70769497676,19019230221.6114,102.7919293545777,39966946860.68801,0.4758739837672953,52.41260162327047,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,9,500,4,125,1.0,1.0,75.0,25.0,188,1323.1871531816591,29069.852286711473,10556354640.5647,100.23513971909242,25883024318.211773,0.4078485771516682,59.21514228483318,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,10,500,4,125,1.0,1.0,75.0,25.0,188,1612.589949039647,56923.375130322405,20934644458.145016,103.20865589484383,66868835449.10478,0.3130702713385639,68.6929728661436,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,11,500,4,125,1.0,1.0,75.0,25.0,188,1582.1887630763597,42606.71847611818,20997982013.811207,103.22177559382601,55902727500.840576,0.37561641359083014,62.43835864091698,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
nakagami,42,12,500,4,125,1.0,1.0,75.0,25.0,188,1444.859246442641,48922.12441702081,14246234559.370241,101.5370009057724,42959828960.00826,0.33161758098786204,66.83824190121379,False,strong_weak,heuristic,188,strong/weak H3,outside_dense_0_to_K
