data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
rician,500,6,125,75.0,25.0,0,100,0.0,4017.3628441469364,13074699.546689441,6691097278.863456,1165149847.9637434,5355586177.322875,19054782068.112698,96.68623423709633,0.21388471174669355,0.08686378820746264,78.61152882533064,6.294588965829461e-05
rician,500,6,125,75.0,25.0,1,100,0.0,4238.993239629248,14440754.719839478,8672278903.541857,1474225359.231769,7334886543.025632,25769291343.062157,98.21383860285984,0.29871471578981357,0.13377619094540968,70.12852842101864,3.5039110807701943e-05
rician,500,6,125,75.0,25.0,2,100,0.0,4341.5082969103505,15099029.866191361,9950863168.319958,2418483954.490592,8768382742.089142,27075224481.344204,98.95905683718215,0.35269225890463984,0.16788078930383687,64.73077410953601,3.2751068065408614e-05
rician,500,6,125,75.0,25.0,3,100,0.0,4410.257384752174,15555533.817335786,10868990284.106813,2833900932.700087,9021430643.22157,27233231164.994778,99.4426189309776,0.3879915154129748,0.1750879924485632,61.200848458702524,3.209801943739876e-05
rician,500,6,125,75.0,25.0,4,100,0.0,4450.846503228147,15833352.08256822,11839505027.041914,3369634480.237829,9467087961.75734,30529978471.72954,99.80841297914677,0.42244280919718125,0.2019945543947595,57.75571908028188,3.122778929537162e-05
rician,500,6,125,75.0,25.0,5,100,0.01,4495.147903524981,16147036.78498561,12631482363.85312,3610550065.523256,10299799410.565763,29046000976.600853,100.12747532181908,0.45126692353180226,0.21836763213854507,54.873307646819775,3.048959973966703e-05
rician,500,6,125,75.0,25.0,6,100,0.0,4525.941506554775,16355757.916579552,13282962363.461199,3918035171.4858646,10512623883.064741,29369334984.554028,100.38166379962473,0.4757292825844944,0.23475770899702075,52.42707174155056,3.0425259901676326e-05
rician,500,6,125,75.0,25.0,7,100,0.0,4543.095621274914,16468524.348965703,13749078622.513174,3991951804.9019713,11278352357.046549,29164519008.659393,100.58220390636781,0.4954884672519944,0.263656941310266,50.45115327480056,3.04574376787059e-05
rician,500,6,125,75.0,25.0,8,100,0.0,4565.713905048807,16625481.416264338,14469027759.01278,4500383040.1098795,11711644438.07486,29219041798.832096,100.81256369740444,0.5216419935798138,0.25826811600934935,47.83580064201862,3.0147428915370256e-05
rician,500,6,125,75.0,25.0,9,100,0.0,4588.392958881343,16790694.671747882,15093061700.18932,4682260686.6452465,12408836663.32041,31888918629.621063,100.97966452801424,0.541393197027063,0.24797508302871957,45.86068029729369,3.099240071605891e-05
