data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
lognormal,500,8,125,75.0,25.0,0,100,0.0,53.276040493933806,157.8553491044965,855435914.2560066,1983.0198463367299,1750707.1257913855,1242364482.9396255,61.429873525344235,0.01807142630655171,0.00037532833754360626,98.19285736934484,6.516336055938155e-05
lognormal,500,8,125,75.0,25.0,1,100,0.0,64.66732668879749,196.05246631165326,1491801834.944895,10986.374828855889,9021114.791269122,3057486832.082946,68.73357928958566,0.06627029396522321,0.0028891568289099757,93.37297060347768,3.4575332538224753e-05
lognormal,500,8,125,75.0,25.0,2,100,0.0,70.58581658976361,211.84976103732046,1765899559.3721304,155092.70488621664,14382124.406554071,4075954162.7961407,72.21267618104736,0.12482272468650078,0.008849217819698541,87.51772753134992,3.221045015379786e-05
lognormal,500,8,125,75.0,25.0,3,100,0.01,75.77055984034641,234.32528761448924,3343150578.991814,243792.93844828376,27592184.827215854,5702773324.044884,74.65011794103273,0.20075790050277725,0.022023066897573187,79.92420994972227,3.2417210168205205e-05
lognormal,500,8,125,75.0,25.0,4,100,0.0,78.78860552295356,245.7792176146566,3094408133.401703,475685.03990031267,37101125.18920453,8184384202.894067,76.02178162443951,0.252474347998998,0.026452911436530002,74.75256520010021,3.187237947713584e-05
lognormal,500,8,125,75.0,25.0,5,100,0.02,81.74501790474613,254.48139473129334,3125667175.602916,405298.22384409833,42015854.561648354,9498382439.119316,77.29699210524129,0.31004821931418863,0.04543597553306631,68.99517806858114,3.12627392122522e-05
lognormal,500,8,125,75.0,25.0,6,100,0.01,84.0393972245974,262.5966308699243,3829048993.617939,376549.9175737704,68233483.53323156,8264209591.073971,78.24962033713979,0.35605329609789804,0.06813925003193066,64.3946703902102,3.058175090700388e-05
lognormal,500,8,125,75.0,25.0,7,100,0.04,86.34722800431477,274.5301883143917,4543581216.105069,411888.8995988559,76376251.38753197,11551072527.741856,79.01144983467603,0.41808486768242703,0.07155775385357817,58.1915132317573,3.097144974162802e-05
lognormal,500,8,125,75.0,25.0,8,100,0.02,87.0095421208947,273.580828402855,4200895411.1724153,897510.1215835086,77363587.71120524,11763039783.837358,79.36460856937828,0.450408571410723,0.07929511832269424,54.9591428589277,3.0337930365931242e-05
lognormal,500,8,125,75.0,25.0,9,100,0.08,88.83616903263115,282.7695479386354,4254946528.968598,791956.3808932944,99997706.00376144,10979482258.907335,80.06768089112639,0.5050203166622591,0.10189412781609485,49.49796833377409,3.060900024138391e-05
lognormal,500,8,125,75.0,25.0,10,100,0.01,88.57290356529892,279.272702371283,3552195110.4164233,744117.850370505,109098085.59366429,13416227809.97414,80.10988905582929,0.4888203131121173,0.12586243471775738,51.11796868878827,3.081851144088432e-05
lognormal,500,8,125,75.0,25.0,11,100,0.01,88.85255294420577,276.35778131411803,3783504934.8144894,762558.7652837735,133415723.68799183,12453394922.883873,80.31324854220557,0.5007128603833944,0.14210576887205595,49.92871396166057,3.0248700350057335e-05
lognormal,500,8,125,75.0,25.0,12,100,0.03,89.44807982863216,273.5989680152152,4034219396.924738,761092.7622177631,131108834.1549424,11249586312.489613,80.57250184809304,0.5292265706669441,0.14573813629933025,47.07734293330559,3.0361719836946577e-05
lognormal,500,8,125,75.0,25.0,13,100,0.05,90.3160427975919,274.95488408477576,5104558232.978861,923445.487550934,132341498.7144937,13524604771.828463,80.95235322751743,0.5614851189833271,0.22300751078119674,43.85148810166729,3.117335989372805e-05
lognormal,500,8,125,75.0,25.0,14,100,0.03,90.49641631113944,274.8767572058148,5265260353.7979,1112107.1845414622,135767647.6200526,12660417063.17911,81.051738405654,0.5622049167341576,0.26550609589719937,43.77950832658425,3.0420481052715332e-05
lognormal,500,8,125,75.0,25.0,15,100,0.04,91.22025018822075,278.22742899847344,5270798011.147643,1363678.6389490718,146832499.30660006,14357696161.975983,81.28627749825895,0.5886042865795423,0.27503058670710434,41.13957134204576,3.065653872909024e-05
lognormal,500,8,125,75.0,25.0,16,100,0.03,91.35830385688399,278.70640059125617,5237147924.911216,1687566.217271247,148663329.53774893,12365089125.093931,81.40543949840534,0.5989512531172551,0.2930694239428753,40.1048746882745,3.0209441611077637e-05
lognormal,500,8,125,75.0,25.0,17,100,0.02,92.01060204801475,281.56812446806214,4809349953.150486,1567720.000959782,178052888.96608254,13036694983.030996,81.64479590829403,0.6306693698458915,0.3215771403220727,36.93306301541085,3.0746550182811914e-05
lognormal,500,8,125,75.0,25.0,18,100,0.05,91.64500894600451,276.3624258316191,4391866864.934636,1395264.5634504345,165053897.06425026,17191574617.122665,81.55878682699468,0.6198163236220934,0.30893247118655454,38.018367637790654,3.0699749477207664e-05
lognormal,500,8,125,75.0,25.0,19,100,0.07,92.00302093267464,277.6754480184764,4939999535.684292,1460673.124717441,159373962.85762143,19114481434.04887,81.67939823668152,0.636530047620762,0.3125573089747946,36.34699523792379,2.9958040395285936e-05
lognormal,500,8,125,75.0,25.0,20,100,0.07,92.30749500550839,277.73547395363806,4919565808.475036,1195264.324362303,177032500.75132,19114216136.11731,81.83123343439983,0.6571600792001493,0.31765887720457714,34.28399207998506,3.0204599897842855e-05
lognormal,500,8,125,75.0,25.0,21,100,0.01,91.86747376681073,273.4648164229844,4737561050.291347,1012001.3373009604,176246587.76177722,16456991798.945631,81.73681061894544,0.6374291578216165,0.3181489391477854,36.257084217838354,3.027023049071431e-05
lognormal,500,8,125,75.0,25.0,22,100,0.05,92.1116992288588,272.64669588001243,4687313251.529047,1040714.1215258283,177348266.02464876,16362127253.796007,81.86449925045686,0.6574807477055152,0.3160582897280397,34.251925229448474,3.052648971788585e-05
lognormal,500,8,125,75.0,25.0,23,100,0.06,91.96471599259421,269.01323217169863,4466990905.123634,1377139.9670234944,172898704.7909329,14494574727.482912,81.87946989286158,0.6589471856333471,0.3172901561516179,34.1052814366653,3.0240987543947996e-05
lognormal,500,8,125,75.0,25.0,24,100,0.03,91.90127831680327,267.44760620871534,4184048957.530084,1347234.683756851,170129365.2146204,12609102866.970818,81.89433023888938,0.660104968056244,0.31751092250035257,33.989503194375594,3.1015440472401676e-05
lognormal,500,8,125,75.0,25.0,25,100,0.03,91.63861536747513,265.2593733879418,4101815253.3044324,1300362.3400619857,164054638.27051952,12660108396.488655,81.83222046381617,0.6534831222448182,0.303118151881883,34.651687775518184,3.075429907767102e-05
lognormal,500,8,125,75.0,25.0,26,100,0.02,91.46278425297375,262.55241747844366,4068419560.0132203,1410827.6227619855,161686735.7008136,13978695125.015556,81.76401733900178,0.642526780264957,0.2787701286254165,35.7473219735043,3.090788115514442e-05
lognormal,500,8,125,75.0,25.0,27,100,0.0,91.28206103425502,261.3911643564984,3913062326.774643,1314260.3836301276,172690402.93665308,12239786725.89238,81.70057165710696,0.6310527102707479,0.28342589448480465,36.89472897292521,3.111187921604142e-05
lognormal,500,8,125,75.0,25.0,28,100,0.02,91.14217139489561,262.6138905286451,3718529862.24169,1147766.9994312578,158624331.8723534,11334512661.628927,81.61446599026434,0.6242066251216456,0.3016112388127187,37.57933748783544,3.035270026884973e-05
lognormal,500,8,125,75.0,25.0,29,100,0.05,91.01677294724615,261.7706986085785,3569635832.682715,1186565.8589222857,146520351.20475975,10951873437.404861,81.594175889654,0.6224613149020048,0.3086454369037018,37.75386850979951,3.0569889640901235e-05
lognormal,500,8,125,75.0,25.0,30,100,0.02,90.87729865927878,259.3049821536045,3770708879.1017,1246093.8462168986,140280370.51989454,11978508369.510788,81.52375888559285,0.6162111920948893,0.27909295661832834,38.37888079051107,3.0725620745215566e-05
lognormal,500,8,125,75.0,25.0,31,100,0.03,90.5286749961155,257.48738478970523,3406014722.3601384,1196815.1172282451,132797728.92172831,11531413289.206907,81.42962369492983,0.6058159406362872,0.2741825137052008,39.418405936371286,3.0854840006213635e-05
lognormal,500,8,125,75.0,25.0,32,100,0.03,90.01738316611305,254.94849085341843,3061551150.042459,1057762.6571338824,145769727.4561453,11478581580.882055,81.2760634022208,0.5880834308203128,0.2537364854261798,41.19165691796872,3.0766819254495206e-05
lognormal,500,8,125,75.0,25.0,33,100,0.02,89.83376325410663,252.45125928488184,3270490572.1284337,985962.5822669782,135451317.56405097,11452767416.873,81.20638560483025,0.5821593995098954,0.23709786709383077,41.78406004901047,3.080104972468689e-05
lognormal,500,8,125,75.0,25.0,34,100,0.0,89.2088664079555,248.76681241375044,3210101065.8346224,945127.5214677424,124245788.67030127,11147912171.375856,80.99108020214867,0.5598976130017747,0.1989656615599796,44.01023869982253,3.072494902880862e-05
lognormal,500,8,125,75.0,25.0,35,100,0.01,88.66266993154585,244.84828486368107,3201296182.6257653,1003455.5771340937,114010745.82613757,10182446081.3081,80.80450253400517,0.5403452347662904,0.18903746710407646,45.96547652337096,3.070818114792928e-05
lognormal,500,8,125,75.0,25.0,36,100,0.0,88.32411495339552,242.77515222678122,2982313845.0570197,901871.4683942437,123668874.63835141,9116727203.161247,80.69198039553382,0.5239430308856714,0.2129435056425777,47.60569691143285,3.0107501370366663e-05
lognormal,500,8,125,75.0,25.0,37,100,0.01,87.8258205966939,240.88702691140733,3067106180.7705555,814060.0995373753,129373734.97330385,8253362719.495316,80.50481296136739,0.5025544029184191,0.21085957786071302,49.744559708158086,3.0462308204732834e-05
lognormal,500,8,125,75.0,25.0,38,100,0.02,87.29262124082884,237.895662828273,2814441545.1512556,734498.2441835363,125136124.42526066,7697322996.507838,80.31858381063368,0.48180186500439776,0.19522051744752347,51.81981349956023,3.034780005691573e-05
