data_profile,N,L,K,off_pct,active_pct,formula,formula_family,T,cases,u_g_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,winner_rate
lognormal,5000,10,1250,75.0,25.0,T_0p025N,N,125,100,1.150472094700709e+26,0.6354831526516518,0.42419889369627,36.45168473483483,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p05K,K,62,100,4.262606284538099e+25,0.2533939236957076,0.1019919192260688,74.66060763042923,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p05N,N,250,100,1.5151050381859374e+26,0.8182484022599003,0.6292166873468907,18.175159774009963,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p05NL_over_Lp2,N_L,208,100,1.4208030847659488e+26,0.835831160421008,0.6866438807443558,16.4168839578992,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p075N,N,375,100,1.0091462235340832e+26,0.5780440400434633,0.4170053664476397,42.195595995653655,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p075NL_over_Lp2,N_L,312,100,1.2822438882659583e+26,0.7316185898475729,0.5296070840320147,26.838141015242723,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p10K,K,125,100,1.150472094700709e+26,0.6354831526516518,0.42419889369627,36.45168473483483,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p10N,N,500,100,6.408219284788816e+25,0.34490614799638947,0.23881551117338953,65.50938520036105,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p10NL_over_Lp2,N_L,417,100,9.116585865105272e+25,0.4989069192825536,0.349281736836471,50.10930807174464,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p125NL_over_Lp2,N_L,521,100,5.6588760225528185e+25,0.31047375276605194,0.2221759906766697,68.95262472339479,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p15K,K,188,100,1.4187581897458375e+26,0.8234263455986661,0.6338894512289286,17.657365440133393,0.01
lognormal,5000,10,1250,75.0,25.0,T_0p15NL_over_Lp2,N_L,625,100,3.364085710556836e+25,0.18344156620297597,0.11945700918037973,81.6558433797024,0.0
lognormal,5000,10,1250,75.0,25.0,T_0p20K,K,250,100,1.5151050381859374e+26,0.8182484022599003,0.6292166873468907,18.175159774009963,0.0
lognormal,5000,10,1250,75.0,25.0,legacy_T100,legacy,100,100,9.619716589995919e+25,0.5199711077586647,0.2664278963214543,48.00288922413353,0.01
lognormal,5000,10,1250,75.0,25.0,legacy_T25,legacy,25,100,7.01450084398499e+24,0.03676831128017573,0.009270113465660161,96.32316887198243,0.0
lognormal,5000,10,1250,75.0,25.0,legacy_T50,legacy,50,100,3.5462272682039477e+25,0.17596846735481883,0.0809867911738678,82.40315326451811,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p025N,N,125,100,3.2485618703550423e+28,0.38453475720806224,0.21025675211198352,61.54652427919376,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p05K,K,125,100,3.2485618703550423e+28,0.38453475720806224,0.21025675211198352,61.54652427919376,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p05N,N,250,100,7.169737419107907e+28,0.8114457342285805,0.6429972959271916,18.855426577141937,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p05NL_over_Lp2,N_L,208,100,5.79458434610701e+28,0.7210739162023972,0.5467894986203697,27.892608379760286,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p075N,N,375,100,6.670117315138708e+28,0.8019769586812813,0.6562377557731683,19.802304131871885,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p075NL_over_Lp2,N_L,312,100,7.276227005023005e+28,0.8654022516879106,0.7259828628990049,13.45977483120894,0.01
lognormal,5000,10,2500,50.0,50.0,T_0p10K,K,250,100,7.169737419107907e+28,0.8114457342285805,0.6429972959271916,18.855426577141937,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p10N,N,500,100,5.341351151131602e+28,0.6158840706337879,0.46561620001486725,38.41159293662121,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p10NL_over_Lp2,N_L,417,100,6.5529548496317295e+28,0.7604642511700647,0.5864136792368447,23.953574882993518,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p125NL_over_Lp2,N_L,521,100,4.881692729554445e+28,0.5756322431509777,0.4075293402872366,42.43677568490222,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p15K,K,375,100,6.670117315138708e+28,0.8019769586812813,0.6562377557731683,19.802304131871885,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p15NL_over_Lp2,N_L,625,100,3.3353730356587346e+28,0.39711148848093686,0.28755145263063137,60.28885115190633,0.0
lognormal,5000,10,2500,50.0,50.0,T_0p20K,K,500,100,5.341351151131602e+28,0.6158840706337879,0.46561620001486725,38.41159293662121,0.0
lognormal,5000,10,2500,50.0,50.0,legacy_T100,legacy,100,100,2.3654110366646244e+28,0.27543318965368857,0.13123212653033392,72.45668103463113,0.0
lognormal,5000,10,2500,50.0,50.0,legacy_T25,legacy,25,100,9.778585951956427e+26,0.01128109847017047,0.002357808354653358,98.87189015298294,0.0
lognormal,5000,10,2500,50.0,50.0,legacy_T50,legacy,50,100,6.215110781510383e+27,0.06644220473402994,0.026897116571812815,93.35577952659703,0.0
