data_profile,N,L,K,off_pct,active_pct,T,samples,winner_rate,u_bf_mean,u_i_mean,u_g_mean,u_g_p05,u_g_p50,u_g_p95,u_g_db_mean,fraction_best_tested_u_g_mean,fraction_best_tested_u_g_p05,gap_to_best_tested_pct_mean,elapsed_seconds_mean
gaussian,5000,2,1250,75.0,25.0,0,100,0.0,95959.88936589407,11572632.082242908,2385074835.21553,1055454830.8462367,2323703750.478606,3855524539.7196817,93.42863782132659,0.36092820520479324,0.2501716537975027,63.907179479520686,8.714082010556012e-05
gaussian,5000,2,1250,75.0,25.0,1,100,0.0,103601.47698320131,13140375.057741703,2745003034.3704987,1481467957.2325459,2680364512.4910173,4189126542.2357397,94.15785982595537,0.4234528467434764,0.32035790223517335,57.65471532565236,3.588546009268612e-05
gaussian,5000,2,1250,75.0,25.0,2,100,0.0,108067.22434497812,14213552.679297516,2967861287.334168,1679654753.3661273,2905837007.3798995,4274187851.173273,94.55419676740536,0.4617075557646702,0.37792780384662944,53.829244423532984,3.2370258704759184e-05
gaussian,5000,2,1250,75.0,25.0,3,100,0.0,111248.27468015431,15277094.413186442,3141925815.2140465,1831074007.6007879,3114071309.016034,4555108178.94389,94.8104112357892,0.4895626523480084,0.391637364539531,51.04373476519916,3.122627007542178e-05
gaussian,5000,2,1250,75.0,25.0,4,100,0.0,114004.74923041622,16077132.796199366,3293964825.414634,1955754943.585027,3339470537.715131,4724630794.964243,95.03028543674472,0.5145253464582374,0.42758386643442153,48.54746535417625,3.0841430707369e-05
gaussian,5000,2,1250,75.0,25.0,5,100,0.0,116552.30542836292,16863174.457197107,3439267903.153817,2072006235.243882,3422092177.010526,4790891979.174117,95.22720865009366,0.5381138732105147,0.4679341206121165,46.18861267894853,3.0975519330240786e-05
gaussian,5000,2,1250,75.0,25.0,6,100,0.0,118804.98195496335,17543773.06189868,3571618218.853794,2256562731.5206003,3538351058.0213594,5052492652.525346,95.39590685199143,0.5588468396152299,0.49741156239096423,44.11531603847701,3.059212933294475e-05
gaussian,5000,2,1250,75.0,25.0,7,100,0.0,120387.0361980354,18063148.809992667,3666300104.5589375,2292825038.7165546,3572584019.694084,5237514370.753456,95.51193513500428,0.5738761676668465,0.5023394767542068,42.61238323331535,3.0569028458558025e-05
gaussian,5000,2,1250,75.0,25.0,8,100,0.0,121995.31988228047,18611668.60394965,3765309545.161891,2330676094.436043,3718469013.2443886,5326080745.424949,95.62664083462316,0.5890032296604546,0.5300233043265058,41.09967703395454,3.062974981730804e-05
gaussian,5000,2,1250,75.0,25.0,9,100,0.0,123585.1883320919,19106674.599575866,3860668403.958494,2494893439.747749,3786215814.0851264,5348713959.664809,95.74320226068077,0.604841614589957,0.5372838016862332,39.5158385410043,2.959264238597825e-05
gaussian,5000,2,1250,75.0,25.0,10,100,0.0,125188.9358039285,19289512.40223746,3960358761.202053,2522090175.195868,3911510389.331521,5577732444.955005,95.85664559368055,0.6206156407300611,0.5474390249868101,37.93843592699388,3.0429340258706362e-05
gaussian,5000,2,1250,75.0,25.0,11,100,0.0,126614.00852337792,19651873.87230842,4048926072.133457,2604404016.5499587,3994529619.232858,5601154824.628159,95.9571704282957,0.6352292734179954,0.568550074464341,36.47707265820047,3.0151411483529955e-05
gaussian,5000,2,1250,75.0,25.0,12,100,0.0,127512.27014656682,19942511.407401387,4106656731.725218,2598554818.693513,4074716030.9002066,5650812580.587876,96.0184762310483,0.6442146473655528,0.5701957039662261,35.57853526344473,2.9391539574135094e-05
gaussian,5000,2,1250,75.0,25.0,13,100,0.0,128700.39488528662,20059042.145679846,4182943410.9165306,2636519554.909343,4153529948.0672836,5654336591.4884405,96.10008955323272,0.6562128345707766,0.5938575480949372,34.37871654292234,2.9772140260320155e-05
gaussian,5000,2,1250,75.0,25.0,14,100,0.0,129898.57933395948,20445093.0326846,4259556051.859236,2724422392.6447973,4197976145.188012,5692503692.721132,96.18216878997856,0.6687064808679805,0.6022344401876595,33.12935191320195,2.968348970171064e-05
gaussian,5000,2,1250,75.0,25.0,15,100,0.0,130712.15660510157,20662559.142982412,4312072637.112663,2747520532.138392,4273567533.8140583,5761081474.706539,96.23724015248186,0.677150821421085,0.6096511094474879,32.28491785789149,3.0122119933366776e-05
gaussian,5000,2,1250,75.0,25.0,16,100,0.0,131378.00264132288,21054685.24078598,4355481480.959897,2804905141.917025,4312524034.99309,5825680905.743019,96.28190878533538,0.6841217084885048,0.6158726802488718,31.58782915114952,2.9172878712415695e-05
gaussian,5000,2,1250,75.0,25.0,17,100,0.0,132179.79052817763,21466404.28011728,4408693160.704406,2830874475.3508434,4378636185.53566,6019734840.567355,96.33462350779062,0.6924925081560069,0.628825260340652,30.750749184399314,2.9492110479623078e-05
gaussian,5000,2,1250,75.0,25.0,18,100,0.0,132968.56354117376,21870053.492196046,4461020178.479459,2849142349.4534926,4465701777.069271,6043084806.660809,96.3865149377484,0.700751827983873,0.637385457409695,29.924817201612697,2.914985117968172e-05
gaussian,5000,2,1250,75.0,25.0,19,100,0.0,133603.51998006532,22007622.2281512,4504565365.914876,2884895155.3011827,4485464379.871916,6082908249.132171,96.42735070065092,0.7073350969480159,0.6495032683497921,29.266490305198413,2.872798213502392e-05
gaussian,5000,2,1250,75.0,25.0,20,100,0.0,134264.36484179494,22283480.85092807,4548765126.229272,2943167011.171977,4538732724.327131,6209455166.827802,96.4706620633705,0.7144247825647352,0.6535108031819797,28.557521743526472,2.9073690238874406e-05
gaussian,5000,2,1250,75.0,25.0,21,100,0.0,134944.59687745,22283760.152777858,4595252335.00814,3011559332.8423576,4577799320.937269,6281668237.068347,96.51463175297224,0.7217437305103604,0.656064832156468,27.825626948963954,2.9585671436507256e-05
gaussian,5000,2,1250,75.0,25.0,22,100,0.0,135605.6104496173,22280394.509834994,4639343150.57313,3032270673.3363066,4636392522.329272,6280618840.549656,96.55826160880544,0.7290392034976365,0.6585813056064579,27.096079650236344,2.898432983784005e-05
gaussian,5000,2,1250,75.0,25.0,23,100,0.0,136206.20006821628,22581153.65435755,4679633979.558343,3120074487.186282,4675108340.512297,6308125884.422067,96.59737297710895,0.7355640907877974,0.6677681684032747,26.443590921220263,2.8833451215177773e-05
gaussian,5000,2,1250,75.0,25.0,24,100,0.0,136702.62549202642,22790323.15367701,4713715960.769428,3115561352.9283843,4700480372.015507,6354255116.7242565,96.62901503618583,0.7409013313150546,0.6762848437427638,25.909866868494536,2.8994178283028305e-05
gaussian,5000,2,1250,75.0,25.0,25,100,0.0,137233.17542111472,23096397.612944126,4750471457.640711,3161444401.7424064,4707298964.07588,6399568188.960025,96.66238148209654,0.7465426837432076,0.6798827805624011,25.345731625679228,2.8604420949704946e-05
gaussian,5000,2,1250,75.0,25.0,26,100,0.0,137835.9665522849,23101406.188269153,4791930665.373493,3182470038.4647603,4731567960.831381,6453921689.137408,96.70084501740477,0.7531677815198874,0.6861303098666935,24.68322184801126,2.8960598865523934e-05
gaussian,5000,2,1250,75.0,25.0,27,100,0.0,138264.8311680575,23321702.70125387,4821331126.316789,3239693617.367619,4759580204.331053,6458843235.091321,96.72801334813225,0.7578822280125077,0.6899178359013215,24.211777198749225,2.915829187259078e-05
gaussian,5000,2,1250,75.0,25.0,28,100,0.0,138854.03806897494,23590301.06084423,4862633101.866801,3244305861.0780535,4794676709.556773,6518681764.125876,96.76466486508005,0.7642910865486808,0.7022214389115691,23.57089134513191,2.907582966145128e-05
gaussian,5000,2,1250,75.0,25.0,29,100,0.0,139342.1098806591,24117744.205024585,4896611315.117472,3236406535.7821746,4849107327.964971,6526254848.595391,96.79501549328363,0.7696500918060951,0.7024025898930989,23.034990819390483,2.8722439019475132e-05
gaussian,5000,2,1250,75.0,25.0,30,100,0.0,139782.34427493083,24172242.152488664,4927976918.066153,3288780839.632655,4906758094.274061,6548550364.032314,96.82214051302297,0.7744697216637314,0.7107450724451664,22.553027833626857,2.8823659231420607e-05
gaussian,5000,2,1250,75.0,25.0,31,100,0.0,140249.26490694203,24061702.328004718,4961351089.191633,3281413746.1407366,4988010217.459539,6671572060.371037,96.85115208526571,0.7796683353025757,0.7092164237293742,22.033166469742426,2.8994790045544506e-05
gaussian,5000,2,1250,75.0,25.0,32,100,0.0,140708.8246344199,24291701.178833693,4993889258.635495,3285095381.1361065,5021850011.69132,6687996599.16419,96.87964973102375,0.7847534307010032,0.7138396664303063,21.524656929899674,2.8779679269064218e-05
gaussian,5000,2,1250,75.0,25.0,33,100,0.0,141178.00728580556,24582525.69455842,5026741149.0337,3279556601.306505,5036823439.792795,6704135526.88248,96.90868012606566,0.7899309487870667,0.7242712101355838,21.006905121293325,2.8758031548932193e-05
gaussian,5000,2,1250,75.0,25.0,34,100,0.0,141527.7638189914,24618404.98428867,5051300023.722317,3293889369.263959,5052544032.030983,6722290891.865631,96.93040192947456,0.793888536215469,0.7305086663843813,20.611146378453103,2.8973231674171985e-05
gaussian,5000,2,1250,75.0,25.0,35,100,0.0,141949.61656103708,24739082.636989895,5080834031.057799,3290045080.1627636,5075657629.341793,6709634800.358236,96.9567268289979,0.7986765660053164,0.7335935486482186,20.13234339946835,2.8693079948425292e-05
gaussian,5000,2,1250,75.0,25.0,36,100,0.0,142250.2019882462,24884451.288773473,5102725146.188065,3286481804.3954782,5145810965.131328,6724423367.468613,96.97490072890892,0.8020214622625698,0.7388466707500488,19.79785377374303,2.9198728443589063e-05
gaussian,5000,2,1250,75.0,25.0,37,100,0.0,142555.20378650355,25244217.094676822,5124742749.866488,3301688271.6346116,5141924983.9054575,6901959107.860551,96.99304219252456,0.8053510753449059,0.7412199752891844,19.464892465509415,2.8841751045547426e-05
gaussian,5000,2,1250,75.0,25.0,38,100,0.0,142935.3439253172,25279265.758356042,5152261610.049178,3395121887.2746167,5190926268.418777,6964760942.99142,97.01627078589114,0.809640865936112,0.7456548531145766,19.035913406388794,2.8960588679183275e-05
gaussian,5000,2,1250,75.0,25.0,39,100,0.0,143229.56640604496,25101677.514971763,5173931319.4342,3451863467.1001678,5215026382.687578,7055107766.613624,97.03399428851245,0.8129086857797506,0.7530116802802338,18.709131422024935,2.9051420860923826e-05
gaussian,5000,2,1250,75.0,25.0,40,100,0.0,143570.66108246244,25081934.72099636,5198424958.588624,3456464945.5616536,5218166225.889344,7079245965.272959,97.0548011419809,0.8167412282961173,0.7598219577893295,18.325877170388267,2.9239948489703237e-05
gaussian,5000,2,1250,75.0,25.0,41,100,0.0,143972.65784692543,25352597.81899926,5228325501.866767,3463857425.429225,5237489231.1957035,7078729072.265924,97.07836691762421,0.8211882952547072,0.7579909620349549,17.881170474529284,2.8802102024201302e-05
gaussian,5000,2,1250,75.0,25.0,42,100,0.0,144267.9238442857,25741941.29935481,5249637808.985366,3472961290.9098005,5271210825.405455,7100519343.986728,97.09603438181159,0.8245291740745476,0.7644045049454262,17.547082592545234,2.9355119040701537e-05
gaussian,5000,2,1250,75.0,25.0,43,100,0.0,144595.80651278622,25733084.90811893,5274106917.537458,3466491555.7131453,5267238397.601782,7112688384.985725,97.11522005375996,0.8281823137235481,0.7669420014010938,17.181768627645187,2.8606457344722003e-05
gaussian,5000,2,1250,75.0,25.0,44,100,0.0,144851.97779533538,25897878.363737397,5292270556.718034,3508267624.500291,5313192190.168003,7129212957.20054,97.1308928174321,0.8311367436796744,0.7734210765542359,16.88632563203256,2.8767070616595448e-05
gaussian,5000,2,1250,75.0,25.0,45,100,0.0,145093.81346689092,25902893.542290054,5309648969.41671,3535234294.735015,5330242913.814175,7182031371.650421,97.145785868497,0.8339822819974444,0.7788125583830598,16.601771800255555,2.9204278253018856e-05
gaussian,5000,2,1250,75.0,25.0,46,100,0.0,145369.22862942392,25936842.108192377,5329147869.307219,3545288337.1373634,5338732948.321423,7172090847.223595,97.16295997565027,0.8372301359120082,0.7834764953359572,16.276986408799175,2.8651189350057393e-05
gaussian,5000,2,1250,75.0,25.0,47,100,0.0,145592.76728034328,25786864.81283263,5345710113.130856,3558134842.353208,5349716892.671379,7157641319.419963,97.17633862021465,0.8397788786849847,0.7859295327467076,16.022112131501537,2.8495410515461116e-05
gaussian,5000,2,1250,75.0,25.0,48,100,0.0,146067.57962590174,25862036.01485622,5381071609.946453,3548614779.3340874,5350986406.457375,7162664981.331777,97.20424077878613,0.8451888848956877,0.7894890081187167,15.481111510431228,2.824957075063139e-05
gaussian,5000,2,1250,75.0,25.0,49,100,0.0,146410.51722256007,26397130.6749972,5406244428.9794235,3597901377.0919924,5368766306.82106,7191964093.976742,97.2242685370225,0.8490707337500661,0.7930166196960788,15.092926624993385,2.9330748948268592e-05
gaussian,5000,2,1250,75.0,25.0,50,100,0.0,146662.0392326615,26667115.109195407,5424071563.191234,3633699317.3838625,5372093848.984772,7201599469.49528,97.23988009867836,0.852108539637473,0.7909135053494005,14.789146036252708,2.862529130652547e-05
gaussian,5000,2,1250,75.0,25.0,51,100,0.0,146917.09271084602,26793549.268774964,5443426561.514231,3637983646.2044644,5391178760.428892,7234864013.887457,97.25462538388618,0.8550035827265856,0.8000849902579197,14.499641727341436,2.9532608168665318e-05
gaussian,5000,2,1250,75.0,25.0,52,100,0.0,147130.25404834782,26604144.539139796,5458907811.804766,3640201119.6433115,5378189189.861986,7229668540.376534,97.26776712389056,0.8575590263136889,0.7981667050048751,14.244097368631124,2.9124020365998148e-05
gaussian,5000,2,1250,75.0,25.0,53,100,0.0,147319.5944727339,26418116.54193965,5473425209.819034,3635355581.583797,5390835859.028689,7296242564.248592,97.27883356217119,0.8597279658278179,0.8047422226179703,14.027203417218221,2.9365608643274754e-05
gaussian,5000,2,1250,75.0,25.0,54,100,0.0,147651.30824809434,26571063.843435556,5497524146.791091,3639872250.5730515,5409401113.280388,7321748210.803596,97.29879777314306,0.8636675694592494,0.808379797716048,13.633243054075065,2.9128860333003104e-05
gaussian,5000,2,1250,75.0,25.0,55,100,0.0,147884.79819757145,26230367.529031973,5515576403.770617,3677989650.0577273,5462188094.196375,7327628531.764819,97.3123553964178,0.8663610695862382,0.8144309745060645,13.363893041376189,2.956120006274432e-05
gaussian,5000,2,1250,75.0,25.0,56,100,0.0,148124.72782809258,26148254.883692384,5533719823.295011,3674863357.7906694,5480142653.7636795,7335996867.173327,97.32641725147357,0.8691615735356574,0.8169977791924876,13.083842646434256,2.8630897868424655e-05
gaussian,5000,2,1250,75.0,25.0,57,100,0.0,148377.64621112944,26114509.233640708,5552897900.400573,3680000558.417129,5472934152.0606575,7355841540.64837,97.34103639801306,0.8721134008712603,0.8183396026492703,12.788659912873966,2.862253022613004e-05
gaussian,5000,2,1250,75.0,25.0,58,100,0.0,148566.62823304918,26209674.944256805,5566649397.434772,3697624005.035154,5497398005.690798,7397905287.798152,97.35249537742622,0.8743996939148474,0.8233982826261103,12.560030608515268,2.898365957662463e-05
gaussian,5000,2,1250,75.0,25.0,59,100,0.0,148811.58538473528,26333574.274406303,5584779662.660415,3697694121.7155433,5523550781.120619,7438671400.857229,97.36700547568546,0.8773036064046046,0.8223451362232237,12.269639359539543,2.9527020815294235e-05
gaussian,5000,2,1250,75.0,25.0,60,100,0.0,148954.4774935541,26695866.253865134,5595310869.240142,3698995226.2901373,5540693797.429182,7432084864.971274,97.37528799656906,0.8789622627171283,0.826202494822256,12.103773728287162,2.9536710935644806e-05
gaussian,5000,2,1250,75.0,25.0,61,100,0.0,149144.69598193042,27078974.243735444,5609435592.690527,3699320180.6762815,5563848420.501641,7427763476.965106,97.38621859486253,0.881171185353766,0.8247778338827714,11.882881464623402,2.9514449124690145e-05
gaussian,5000,2,1250,75.0,25.0,62,100,0.0,149306.52227650935,26719355.247757994,5622432841.358718,3719483059.520279,5549103118.265762,7475860706.1445055,97.39536406551235,0.8829952829571802,0.8289239966604663,11.700471704281979,2.928676112787798e-05
gaussian,5000,2,1250,75.0,25.0,63,100,0.0,149576.18704016457,27050678.156534843,5642421828.3749695,3731255685.905315,5541144038.911951,7536340934.416006,97.41100382898021,0.8861992313876512,0.8314602737061815,11.380076861234881,2.9363599023781716e-05
gaussian,5000,2,1250,75.0,25.0,64,100,0.0,149743.8870572838,27193271.25293689,5654987565.331524,3736744477.845738,5587764594.024945,7523310742.81834,97.4207163507798,0.8881802036378292,0.8344415872693778,11.181979636217074,2.9618458356708288e-05
gaussian,5000,2,1250,75.0,25.0,65,100,0.0,149956.15824908338,27424400.270402744,5670824297.841872,3758198957.880005,5590300445.055798,7560214329.583134,97.4331568409922,0.8907196070394368,0.836277482457247,10.928039296056323,2.9600329289678483e-05
gaussian,5000,2,1250,75.0,25.0,66,100,0.0,150165.3693303192,27328821.20660491,5686604292.237487,3746974462.2343574,5622473214.395254,7589524157.54654,97.44521744247203,0.893171010818928,0.8423109577316561,10.6828989181072,3.0228150426410138e-05
gaussian,5000,2,1250,75.0,25.0,67,100,0.0,150309.26409375662,27539535.214496765,5697180882.790588,3794878349.9210286,5617231382.201838,7606815581.880766,97.45358550313462,0.8948728229223729,0.8473299006855448,10.512717707762704,2.899761835578829e-05
gaussian,5000,2,1250,75.0,25.0,68,100,0.0,150449.4120632527,27594668.740979888,5707786744.966593,3788324797.4488754,5638871352.8176775,7595894850.647634,97.46176523176194,0.8965571766706701,0.846052834316587,10.344282332932988,2.907299087382853e-05
gaussian,5000,2,1250,75.0,25.0,69,100,0.0,150577.99559200412,27434838.38775572,5717471707.220187,3840275586.005385,5650951030.906876,7591900507.677214,97.46943595324224,0.8981347439740887,0.847838520806865,10.186525602591125,2.902624983107671e-05
gaussian,5000,2,1250,75.0,25.0,70,100,0.0,150705.6042696783,27487611.624910757,5727369010.152866,3855019780.3422055,5687248159.408164,7595933361.688324,97.47664753206487,0.8996256737002473,0.8453825797344412,10.037432629975276,2.8716141532640904e-05
gaussian,5000,2,1250,75.0,25.0,71,100,0.0,150936.91046166306,27529462.061258793,5745620390.81359,3844546109.9719014,5681383848.344734,7591049461.335278,97.48938438498465,0.9022634635840661,0.8447265849637631,9.773653641593397,2.8457040316425263e-05
gaussian,5000,2,1250,75.0,25.0,72,100,0.0,151115.24134946606,27381806.12701932,5759632408.326232,3853014845.429548,5682946170.119718,7620199367.956958,97.49943392441315,0.9043505352415597,0.8498491196084639,9.564946475844028,2.9338481544982643e-05
gaussian,5000,2,1250,75.0,25.0,73,100,0.0,151312.14804700462,27397110.185239248,5775202025.996613,3853187372.8438864,5674427921.671367,7742782967.434259,97.51048528074878,0.906641299156106,0.8538510898955679,9.335870084389395,2.8985759417992085e-05
gaussian,5000,2,1250,75.0,25.0,74,100,0.0,151420.08798488535,27192689.739891883,5783922316.753573,3854608852.9011135,5676079107.763393,7762652413.78731,97.5164985091762,0.9079155670984652,0.8548794912849929,9.208443290153477,2.8718189569190144e-05
gaussian,5000,2,1250,75.0,25.0,75,100,0.0,151612.9800091972,27284541.066124815,5798683648.464002,3855171559.9829893,5696648085.686377,7748533736.684099,97.52761124375884,0.9102564369043481,0.8618934493102002,8.97435630956519,2.8363490127958357e-05
gaussian,5000,2,1250,75.0,25.0,76,100,0.0,151699.0455724786,27110536.604569454,5805311951.946222,3873425042.6288834,5727944322.832035,7765172184.972563,97.53267666578792,0.9113060045012505,0.8639519986374881,8.869399549874947,2.885735942982137e-05
gaussian,5000,2,1250,75.0,25.0,77,100,0.0,151862.44354020248,27136723.858938657,5818623902.05167,3865399291.727436,5770170151.511113,7802782910.755157,97.54152498732965,0.9131475803046145,0.8621420415595864,8.685241969538547,2.8908229433000086e-05
gaussian,5000,2,1250,75.0,25.0,78,100,0.0,152008.34685229883,27146322.195558853,5829557359.17151,3891214894.9634423,5787352748.589768,7846470746.103704,97.5501307401381,0.9149228733427753,0.8710024002025688,8.507712665722465,2.9980970721226187e-05
gaussian,5000,2,1250,75.0,25.0,79,100,0.0,152209.36740091653,27381910.09230416,5845047710.550441,3908192251.978896,5857601024.861009,7858462850.113042,97.56130725683417,0.9172665269583199,0.8756056076335288,8.273347304168013,2.9591228812932968e-05
gaussian,5000,2,1250,75.0,25.0,80,100,0.0,152367.77731872452,27471470.023848437,5857737653.574864,3909326143.4482946,5869612744.687644,7878287220.247495,97.56989888455408,0.9190713978119693,0.8788505424628792,8.092860218803066,2.9277640278451146e-05
gaussian,5000,2,1250,75.0,25.0,81,100,0.0,152455.84331156316,27438238.344523463,5864541478.756384,3905539299.741935,5865877378.233383,7863703715.721179,97.5749651950544,0.9201300129378635,0.87826319582286,7.986998706213659,2.9156820382922887e-05
gaussian,5000,2,1250,75.0,25.0,82,100,0.0,152592.38415643096,27276888.092278134,5875006789.43312,3912578339.291908,5859641208.407446,7884826491.471812,97.58282680652088,0.9217756844812774,0.8829518743702071,7.822431551872261,2.9621319263242186e-05
gaussian,5000,2,1250,75.0,25.0,83,100,0.0,152704.86509374718,27387858.865607042,5884225966.10018,3901831211.795447,5896864385.711939,7882745684.378558,97.58866609193659,0.9230238993566264,0.8828447489281145,7.697610064337353,2.9357201128732413e-05
gaussian,5000,2,1250,75.0,25.0,84,100,0.0,152841.49236132094,27901225.726366725,5894616651.234472,3921111108.3288946,5884127316.272104,7902544699.352689,97.5960645907891,0.9245911894597657,0.8810537989743142,7.540881054023423,2.9534648638218643e-05
gaussian,5000,2,1250,75.0,25.0,85,100,0.0,152970.74741593192,28221970.67534123,5903683512.372589,3916837646.2660923,5907510052.550578,7892707547.71877,97.60394456868568,0.926237420365201,0.8827347776796757,7.376257963479905,2.9770047985948624e-05
gaussian,5000,2,1250,75.0,25.0,86,100,0.0,153080.01455280857,27996837.305750262,5911880467.394173,3909777095.987065,5910002813.544271,7887081119.394657,97.61055737088164,0.9276478991278276,0.8822963416560186,7.2352100872172445,2.9416700708679855e-05
gaussian,5000,2,1250,75.0,25.0,87,100,0.0,153169.23025279824,27767033.441913486,5919116365.897686,3902166789.13369,5929621496.661131,7945288832.189351,97.61561331813796,0.9287197893270667,0.8837579875828555,7.128021067293335,3.0056379619054495e-05
gaussian,5000,2,1250,75.0,25.0,88,100,0.0,153304.256660643,28048275.507125843,5929010029.442524,3901024367.5558486,5920627303.518017,7926950178.099404,97.62344058465534,0.9303797343805588,0.8815433072720606,6.962026561944125,2.929863112512976e-05
gaussian,5000,2,1250,75.0,25.0,89,100,0.0,153379.23788411974,28137385.08653965,5934939708.154011,3892358221.311066,5914410160.53225,7907304399.191924,97.62758169349465,0.9312753716835347,0.8814227821905948,6.872462831646532,2.9250429943203926e-05
gaussian,5000,2,1250,75.0,25.0,90,100,0.0,153479.11563409338,28318360.287211966,5942822895.321907,3910489010.28225,5948009530.155665,7922308269.507975,97.63306526157608,0.9324435186020988,0.883375099799117,6.755648139790114,2.8971699939575047e-05
gaussian,5000,2,1250,75.0,25.0,91,100,0.0,153556.3883592357,28294240.551171895,5948836619.573254,3902149917.622508,5948328242.1467495,7981489109.123134,97.63734642058448,0.9333686461541397,0.8880754475141581,6.663135384586031,2.8968240367248655e-05
gaussian,5000,2,1250,75.0,25.0,92,100,0.0,153668.60623926533,28218492.82857687,5957220542.82143,3892450493.5096073,5940524488.427512,7966695748.727654,97.64397205388605,0.9347870630392472,0.8913641011451824,6.521293696075276,2.9427860281430184e-05
gaussian,5000,2,1250,75.0,25.0,93,100,0.0,153768.06309961138,28008326.11527363,5964852338.320152,3920605718.761004,5995776282.027677,7955356901.689383,97.64981369105949,0.9360350511468879,0.8910874386024262,6.3964948853112125,2.96408572467044e-05
gaussian,5000,2,1250,75.0,25.0,94,100,0.0,153844.33679081945,28260109.90082957,5970812021.391875,3933382815.353012,5987350655.418903,7990951301.343471,97.65393701253457,0.9369240017387434,0.88897679908674,6.307599826125668,2.9259599978104232e-05
