data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
rayleigh,42,0,5000,4,1250,1.0,1.0,75.0,25.0,253,0.0506,0.2024,122225.79260548373,17530261.185086213,8.633299082615329e+17,179.36176786397033,252,8.552764188791644e+17,254,8.609723617723282e+17,0.49962117611272827,0.9554762081535227,2.0796745381633404,2.779217692217659,1.875587091895706,0.45752270054494604,4998,0.9996,0.3540721951164924,0.20351067652131852,0.11432006143602184,0.028380532132687947
rayleigh,42,1,5000,4,1250,1.0,1.0,75.0,25.0,203,0.0406,0.1624,120543.92748582736,16861309.163516868,8.157895303912104e+17,179.11578127406057,202,8.106344971135466e+17,204,8.146963393451926e+17,0.5026227701602906,0.9953435011488806,2.154161896832082,2.710558153845343,1.8182476108444943,0.28340479166416044,4997,0.9994,0.3570582913134305,0.20602968507185243,0.11529538465712037,0.02821377217314941
rayleigh,42,2,5000,4,1250,1.0,1.0,75.0,25.0,237,0.0474,0.1896,116079.49155348256,31235719.00044381,6.956893120929755e+17,178.42415331322724,236,6.904632789139116e+17,238,6.94155836007976e+17,0.49564664643387746,1.0166379640696688,2.078932774418508,2.683246920279354,1.9868122293674917,0.25942786690675046,4998,0.9996,0.35330286125542537,0.20286340595373473,0.11400284382937016,0.028257283169382034
rayleigh,42,3,5000,4,1250,1.0,1.0,75.0,25.0,169,0.0338,0.1352,131149.43237498406,28747496.957117733,1.13571844275797e+18,180.55270678283068,168,1.1274077785670989e+18,170,1.133558980646886e+18,0.49824154880667204,0.8974128620799183,2.1295774131533696,2.683442583056423,1.7579942770971715,0.14993711617533023,4998,0.9996,0.35512727751315126,0.2031006972200555,0.11320163330765481,0.027385943094863054
rayleigh,42,4,5000,4,1250,1.0,1.0,75.0,25.0,237,0.0474,0.1896,123611.59021400365,32023829.57829013,8.948615923305476e+17,179.51755868460694,236,8.909132500753444e+17,238,8.925628468149523e+17,0.4979244364013744,1.0280351283131597,2.08995120173156,2.774976510171668,1.8340806934199392,0.19932426392418945,4994,0.9988,0.35343171714649335,0.2043026779100308,0.11538107367524572,0.02880942833844122
rayleigh,42,5,5000,4,1250,1.0,1.0,75.0,25.0,243,0.0486,0.1944,99592.73599736704,12647552.339037511,3.796570136372253e+17,175.79391427276784,242,3.777973729593769e+17,244,3.786426556555417e+17,0.4949055251721597,0.9301651933732291,2.0848261004085207,2.6476930990616663,2.3547466953150558,0.20699818279765303,4997,0.9994,0.35329539715041425,0.2013710495860586,0.11224191148469725,0.027754290072299827
rayleigh,42,6,5000,4,1250,1.0,1.0,75.0,25.0,184,0.0368,0.1472,127462.12271557779,26740435.095515743,1.0161048272137981e+18,180.06938514573955,183,1.0096706735532388e+18,185,1.0138261653116819e+18,0.5066430750045916,0.923170099480957,2.1741538528799267,2.7135557273635267,1.7850222314504818,0.3667631333066592,4999,0.9998,0.3591862547695882,0.20607099344426066,0.11408059641989621,0.027572767872299814
rayleigh,42,7,5000,4,1250,1.0,1.0,75.0,25.0,195,0.039,0.156,118365.15460673024,26607228.245678753,7.532194816312982e+17,178.7692154429146,194,7.519483542065651e+17,196,7.508075361197356e+17,0.49955618150702424,1.0315321694882513,2.109335197010541,2.7687858259671345,1.9272327456335496,1.2028430983796143,4999,0.9998,0.3548786417403275,0.2041836038586717,0.11454007164625307,0.028795105802950513
rayleigh,42,8,5000,4,1250,1.0,1.0,75.0,25.0,153,0.0306,0.1224,104331.62288882566,36399831.06604009,4.5028979326406746e+17,176.53492102904903,152,4.480316493738802e+17,154,4.493062713589626e+17,0.49895275816127926,1.0295934331914693,2.1260595676813985,2.6991365985777382,2.1332425442328837,0.2086854017456785,4996,0.9992,0.3557485151387472,0.20508663300305952,0.11494019145760784,0.028322771134092307
rayleigh,42,9,5000,4,1250,1.0,1.0,75.0,25.0,197,0.0394,0.1576,109498.87443923735,24746092.968429934,5.491368266495623e+17,177.39680569687147,196,5.485981541454434e+17,198,5.4757685456752006e+17,0.49530640316310365,0.9657378695669215,2.0861435456100272,2.734179016695908,2.099242538690391,0.2306628179757677,4999,0.9998,0.3532143571427285,0.2023829043782557,0.11362066180700282,0.027952919330326453
rayleigh,42,10,5000,4,1250,1.0,1.0,75.0,25.0,258,0.0516,0.2064,106921.59736499093,27859659.264741745,5.002499926724901e+17,176.99187090946836,257,4.9670107371538125e+17,259,4.9916330246937594e+17,0.5158782274121553,1.138050368647467,2.154275004735119,2.8706857183627643,2.0947637707054634,0.13437314305536674,4993,0.9986,0.36007458595985614,0.208866770980038,0.11851117118132841,0.03005915221687177
rayleigh,42,11,5000,4,1250,1.0,1.0,75.0,25.0,228,0.0456,0.1824,112874.33974075511,30795622.2022214,6.199415697609792e+17,177.92350758649542,227,6.187619082114676e+17,229,6.194341469739944e+17,0.49532118728188346,1.0217023967963625,2.096793733933987,2.7028695376863006,2.017885468139284,0.13494990360789405,4999,0.9998,0.35350179346756744,0.20331792709508542,0.11451554747005564,0.028495265145255428
rayleigh,42,12,5000,4,1250,1.0,1.0,75.0,25.0,212,0.0424,0.1696,97634.51087266204,9590898.647698803,3.520779139516215e+17,175.46638782384065,211,3.483030939120331e+17,213,3.51230137580932e+17,0.4990155620910203,1.093241337778074,2.0656418971688204,2.7464664288590215,2.3984308576203968,0.300438952769325,4999,0.9998,0.3523848910237013,0.20220955912884253,0.11397328105286822,0.029553291817611346
rayleigh,42,13,5000,4,1250,1.0,1.0,75.0,25.0,183,0.0366,0.1464,107307.79723464423,36603004.60871621,5.041048373635526e+17,177.02520864925194,182,4.964443715154428e+17,184,5.033301460690597e+17,0.5002285172212582,1.0403927508220063,2.117802586837878,2.7129801795294535,2.07865091352284,0.45672134970688116,4999,0.9998,0.35453661604124675,0.20472411363853837,0.11540334498542293,0.028530868175632176
rayleigh,42,14,5000,4,1250,1.0,1.0,75.0,25.0,222,0.0444,0.1776,98083.72529406715,18934408.819738414,3.5526658892773414e+17,175.50554366153537,221,3.50892192470343e+17,223,3.5415356704039264e+17,0.5106260381508452,1.0738172661174603,2.1417545451831863,2.7619231349849445,2.2954146122788646,0.37804748235311436,4999,0.9998,0.35953150327968747,0.2074533793920879,0.1166327694477786,0.028840506144596885
rayleigh,42,15,5000,4,1250,1.0,1.0,75.0,25.0,194,0.0388,0.1552,110105.50463753789,37905113.57031828,5.578825827298565e+17,177.46542802811354,193,5.578063408015659e+17,195,5.5772796594589734e+17,0.4993705500153851,1.0880505370986386,2.1291823791531157,2.7426901704920135,2.049503661643227,0.318199582820315,4997,0.9994,0.35497344386397417,0.2047337928482622,0.11483561433749359,0.02930323242292022
rayleigh,42,16,5000,4,1250,1.0,1.0,75.0,25.0,154,0.0308,0.1232,127502.85077329255,16848184.34761412,1.0219860253282118e+18,180.0944495728173,153,1.0121390749138089e+18,155,1.0212754877483416e+18,0.5016502149337966,0.9638681678441247,2.166889314996101,2.7331221385616713,1.78021773427524,0.51221847488394,4999,0.9998,0.35804036321157295,0.20553088131075406,0.11445924528309236,0.027649461690873907
rayleigh,42,17,5000,4,1250,1.0,1.0,75.0,25.0,283,0.0566,0.2264,121394.2794906675,34325970.58408723,8.300954677820527e+17,179.19128042673265,282,8.232008785705715e+17,284,8.296059181512383e+17,0.5014980221610116,0.9353969798146906,2.13107779649212,2.746711375301273,1.8809643748945528,0.23366898577014128,4999,0.9998,0.35620278354474255,0.20393529375209699,0.11445745199079548,0.027702660376441146
rayleigh,42,18,5000,4,1250,1.0,1.0,75.0,25.0,140,0.028,0.112,115437.5561503676,19824451.80365858,6.841576522942895e+17,178.3515618890182,139,6.777231671147756e+17,141,6.823254927392968e+17,0.504354062801894,1.0675955667033679,2.136421523740851,2.791293767547726,1.9684378168585892,0.14339823935263452,4999,0.9998,0.35654889530592704,0.20521603250206177,0.11547359006408842,0.029490436930969026
rayleigh,42,19,5000,4,1250,1.0,1.0,75.0,25.0,264,0.0528,0.2112,108876.24101570495,21918384.677214663,5.404240602608847e+17,177.32734676038234,263,5.371060042349183e+17,265,5.390169903398812e+17,0.5043069629746509,1.0851303527124978,2.1146095915416385,2.7749584090484696,2.0642642839294236,0.6794861095229958,4999,0.9998,0.35560735041610875,0.20618585644238435,0.11633369370821772,0.02917012739395554
rayleigh,42,20,5000,4,1250,1.0,1.0,75.0,25.0,144,0.0288,0.1152,124036.83069925877,27694667.961524125,9.105684716150596e+17,179.59312608809142,143,9.042812377387977e+17,145,9.08569435502163e+17,0.4977431179827007,0.9226004711209136,2.117841687730913,2.718797225912193,1.8246942958715733,0.42289383094979804,4999,0.9998,0.354490463361205,0.20324602019796062,0.11372304157203703,0.027656447781681245
rayleigh,42,21,5000,4,1250,1.0,1.0,75.0,25.0,217,0.0434,0.1736,119805.54788848726,9353069.476570588,7.992786527812927e+17,179.0269821394186,216,7.972511858458143e+17,218,7.98874280929534e+17,0.4990969581607261,0.9798292908078355,2.1247077238037506,2.7339119857651966,1.8845032334100604,0.5176153339077283,4999,0.9998,0.35614872550195675,0.20460056775045043,0.11468115085830352,0.027917287373870205
rayleigh,42,22,5000,4,1250,1.0,1.0,75.0,25.0,202,0.0404,0.1616,116349.74083289616,20248137.11190667,7.062785264961993e+17,178.48976002278386,201,7.057097219540586e+17,203,7.054775855125146e+17,0.5021570300710286,0.9337122117041239,2.1284403322454395,2.704800594167479,1.948166957153779,0.2844984458806219,4999,0.9998,0.35487129239436255,0.20389421567233265,0.11413764933495071,0.027898042624299478
rayleigh,42,23,5000,4,1250,1.0,1.0,75.0,25.0,198,0.0396,0.1584,133711.89123573835,46285770.74871644,1.2191614710607194e+18,180.86061229282495,197,1.2082680462851272e+18,199,1.2167211204396588e+18,0.49754650320321475,0.9168257407594926,2.11676702708919,2.7257853828181933,1.7278455088568225,0.32054292829895603,4998,0.9996,0.3551199298038868,0.20309008379324806,0.11362302839621699,0.027555032917984616
rayleigh,42,24,5000,4,1250,1.0,1.0,75.0,25.0,278,0.0556,0.2224,104492.97201118963,11381324.5650819,4.6000382089502976e+17,176.62761439044044,277,4.5887239178750925e+17,279,4.597375667328673e+17,0.4978078638029435,0.9926616978507793,2.1064749139699988,2.71404778675417,2.1860143678480233,0.09405750346462372,1,0.0002,0.35505519932325824,0.20346120028731454,0.11383855991917276,0.028292491260464042
rayleigh,42,25,5000,4,1250,1.0,1.0,75.0,25.0,182,0.0364,0.1456,107157.2875266323,23548059.71485428,5.044477211515914e+17,177.02816164444408,181,4.992402342439396e+17,183,5.030145286411589e+17,0.5079701112985998,1.0646798437250145,2.1167880555868686,2.7542458942242547,2.109663080629866,0.11253361817849933,3,0.0006,0.35752286253889287,0.20629721566528594,0.11629469881025135,0.02913254569444525
rayleigh,42,26,5000,4,1250,1.0,1.0,75.0,25.0,314,0.0628,0.2512,117938.93344836196,22853441.251366895,7.451038145468554e+17,178.7221678676681,313,7.414008520257684e+17,315,7.437180212230126e+17,0.49955282663441697,0.942761422654804,2.1197845020630535,2.691588247059178,1.8954464696301834,0.11085095656975685,4994,0.9988,0.35450142974337284,0.20412400160828842,0.11466743669191902,0.02767437812640698
rayleigh,42,27,5000,4,1250,1.0,1.0,75.0,25.0,268,0.0536,0.2144,107645.86388340015,18044346.26123984,5.153264441563544e+17,177.1208242900583,267,5.150389358871113e+17,269,5.1374212837489555e+17,0.5012997083818449,1.0236140846516877,2.107088441622838,2.728854630023993,2.1643277771690266,0.33870864895371877,4999,0.9998,0.3558661970277839,0.20414219044007306,0.11450898715387227,0.028459037206249947
rayleigh,42,28,5000,4,1250,1.0,1.0,75.0,25.0,327,0.0654,0.2616,116085.43096663023,55776728.37584647,6.829441241338973e+17,178.34385172827956,326,6.735053665435556e+17,328,6.817151841256927e+17,0.5019448460832384,0.9880586652750079,2.0910915804631522,2.735791475091395,1.963999782824939,0.16318494837274145,4994,0.9988,0.3547443502056154,0.20443167677471635,0.11570658472186333,0.02847143236483625
rayleigh,42,29,5000,4,1250,1.0,1.0,75.0,25.0,140,0.028,0.112,91042.2073695893,18028702.698877048,2.6360532236489107e+17,174.2095417470182,139,2.634608503368967e+17,141,2.6309871996138768e+17,0.4990307510359817,1.0765637519349909,2.111713724823638,2.735125834870343,2.47315360153896,0.1768026991470917,1,0.0002,0.3542823026135812,0.20446964042857438,0.11475456318461884,0.02893681535344175
rayleigh,42,30,5000,4,1250,1.0,1.0,75.0,25.0,236,0.0472,0.1888,103788.85871588606,35022236.4446876,4.418105644852466e+17,176.45236096421772,235,4.401614996334492e+17,237,4.408681704010063e+17,0.5031314986745316,1.0203871124464554,2.127577559773565,2.7041045010357103,2.1645647504929473,0.17436502475948998,1,0.0002,0.3564269793812463,0.2051356570122293,0.11518624748173072,0.028713522419311584
rayleigh,42,31,5000,4,1250,1.0,1.0,75.0,25.0,231,0.0462,0.1848,101730.83946950662,14650165.818824297,4.136165682282899e+17,176.1659792695727,230,4.116353358768515e+17,232,4.1237299131645466e+17,0.5050436781462605,1.0282523360917988,2.1105018829824185,2.708889240258747,2.2424287445356934,0.2532426767063196,4998,0.9996,0.3562905824906392,0.20465374985629084,0.11497147869989584,0.029000132109347078
rayleigh,42,32,5000,4,1250,1.0,1.0,75.0,25.0,207,0.0414,0.1656,119003.2100661379,25456162.259600095,7.716362472121317e+17,178.8741262020885,206,7.603481308979661e+17,208,7.708380281838143e+17,0.4925996168534706,0.9830218676195638,2.1023678966608097,2.711801611277065,1.8971866968191513,0.15906058922648825,4999,0.9998,0.3524676030624244,0.20289602058678788,0.11398222042536545,0.028136740528689464
