data_profile,generator_seed,sample,N,L,K,sigma,P,off_pct,active_pct,best_tested_T,best_tested_T_over_N,best_tested_T_over_K,best_tested_u_bf,best_tested_u_i,best_tested_u_g_value,best_tested_u_g_db,prev_T,prev_T_u_g,next_T,next_T_u_g,row_power_cv,row_power_skew3,row_power_p95_p50,row_power_p99_p50,row_power_max_p95,log_power_gap_max,log_power_gap_rank,log_power_gap_rank_pct,tail_mass_p80,tail_mass_p90,tail_mass_p95,tail_mass_p99
gaussian,42,0,5000,8,1250,1.0,1.0,75.0,25.0,320,0.064,0.256,82962.95831141867,10681684.866407424,1.2683319947495781e+32,321.0323294803751,319,1.264102783902471e+32,321,1.2643402915811396e+32,0.346988052434996,0.6442785193704256,1.6907642000271792,2.0550860067728935,1.5829945962606946,0.2051049816035384,4997,0.9994,0.30476331059070766,0.16895285823216905,0.09218484191753325,0.021456421696872067
gaussian,42,1,5000,8,1250,1.0,1.0,75.0,25.0,118,0.0236,0.0944,69681.25947832837,9777365.06296126,3.090187013635268e+31,314.899847630922,117,3.0846817289892594e+31,119,3.087006254315058e+31,0.3543217419658477,0.6673086880420294,1.7282629756441108,2.0600315136803933,1.8966436815562977,0.19619448671729067,4998,0.9996,0.3075325008591315,0.17004275938318356,0.09239019748173444,0.021805329791642264
gaussian,42,2,5000,8,1250,1.0,1.0,75.0,25.0,197,0.0394,0.1576,78897.82467985249,11223389.23219666,8.417778929308708e+31,319.25197515966283,196,8.223510911125167e+31,198,8.377852628224527e+31,0.35732753402522344,0.7079386643089239,1.728716019310293,2.1327078869283693,1.6543872138339417,0.08787523684520095,1,0.0002,0.3084312683063249,0.17163213006923875,0.09379413113328196,0.02215025088715343
gaussian,42,3,5000,8,1250,1.0,1.0,75.0,25.0,293,0.0586,0.2344,74335.10787180498,8951810.74197486,5.270985374153374e+31,317.2189181114319,292,5.213593287618858e+31,294,5.245542583105369e+31,0.35566295463808695,0.7265721983615673,1.7347395054005217,2.0747265788746474,1.7518616731132366,0.13212453712681738,4998,0.9996,0.3082122179142756,0.17165026361137536,0.09377515173874269,0.021883613533939736
gaussian,42,4,5000,8,1250,1.0,1.0,75.0,25.0,217,0.0434,0.1736,77811.78489573892,12862361.08738311,7.447155213741164e+31,318.71990405510996,216,7.395066145178513e+31,218,7.429536947755678e+31,0.34920200566677984,0.7088522046975141,1.6987393316122505,2.067804576870189,1.6947805677797496,0.11663826092650353,4999,0.9998,0.3051540239969666,0.16971515134955167,0.09286513743347365,0.02205940408685866
gaussian,42,5,5000,8,1250,1.0,1.0,75.0,25.0,211,0.0422,0.1688,76468.8440685495,11680272.311344612,6.518314761673236e+31,318.1413532819989,210,6.514150366846045e+31,212,6.495790652943924e+31,0.35070121256668707,0.7102747845653455,1.7238892202129346,2.0354103456590154,1.6974696247671417,0.17063795739656484,4998,0.9996,0.30606656228389933,0.16997719298165678,0.09256081717009121,0.021877053621508588
gaussian,42,6,5000,8,1250,1.0,1.0,75.0,25.0,162,0.0324,0.1296,71661.86103558674,9165185.516761526,3.8911588893969858e+31,315.9007896490281,161,3.886019751167399e+31,163,3.88442674234939e+31,0.3479122891600325,0.697877377619113,1.693613602198872,2.066010383390726,1.831540283697607,0.19680915637012797,4998,0.9996,0.30501087399910953,0.16920937915948142,0.09220404856339837,0.022028877357743573
gaussian,42,7,5000,8,1250,1.0,1.0,75.0,25.0,344,0.0688,0.2752,74798.55788405894,12760487.056972371,5.38408522128565e+31,317.3111192544348,343,5.3444933036456845e+31,345,5.358761943457444e+31,0.34870169784241706,0.7125476282138268,1.7218563434910306,2.0562397160709094,1.7215869540748086,0.08040983224289047,2,0.0004,0.3055326259910753,0.17022973090513596,0.09311812686974935,0.021867466216705066
gaussian,42,8,5000,8,1250,1.0,1.0,75.0,25.0,171,0.0342,0.1368,82602.64331240157,17083426.326026157,1.1889983220486965e+32,320.75181241729285,170,1.1852437068368605e+32,172,1.1837164851639893e+32,0.349037586633385,0.6528835893130043,1.6956703567049414,2.028925312130663,1.6045940527531135,0.054771533860435095,4998,0.9996,0.30543963305058186,0.16915408677425917,0.09208887492379644,0.021703949617898014
gaussian,42,9,5000,8,1250,1.0,1.0,75.0,25.0,210,0.042,0.168,84671.47686258351,23418848.752803255,1.4093979800978305e+32,321.4903364474533,209,1.3986825371793982e+32,211,1.4062149902116207e+32,0.35776660378994135,0.733139464426642,1.728993860243917,2.1237626999885637,1.5280698615554034,0.27628316209412995,4999,0.9998,0.30910630768258596,0.17239870318337858,0.09414987337766369,0.022369420300723756
gaussian,42,10,5000,8,1250,1.0,1.0,75.0,25.0,289,0.0578,0.2312,73081.83021395486,13195510.223463133,4.466369410060385e+31,316.4995464039148,288,4.46543598204391e+31,290,4.4467572711623675e+31,0.35689367840967867,0.6759222797227886,1.7056542542946904,2.080092390687476,1.8327194804083131,0.33899047038216557,4999,0.9998,0.30776340208026615,0.17027613207601777,0.09287939503267618,0.021992330840076697
